Macedonian	Macedonian	probability
ˈ_ɛ	ɕ	1.0
ˈ	-	1.0
ʧ	ʦ	1.0
ʦ	ʦ	1.0
ʣ	-	1.0
ʒ̊	-	1.0
ʃ	-	1.0
ɾ	rʲ	1.0
ɲ	ɲ	1.0
ɡ̊	ɡ̊	1.0
ɡ	ɡ	1.0
ɟ	ʑ	1.0
ɛ_t	e_ɕ	1.0
ɔ_ˈ	ɛ	1.0
ɔ	-	1.0
z̥	z̥	1.0
z	z	1.0
x	x_ɨ	1.0
s_a	s_a	1.0
s	s	1.0
o_k	kʲ	1.0
o_#>	ɔ_#>	1.0
l	l	1.0
k_o	k_ɛ	1.0
e	-	1.0
d̥	d̥	1.0
c	ʦ	1.0
b̥	b̥	1.0
a_r	r_ɨ	1.0
<#_ɫ	<#_l	1.0
<#_ɛ	<#_j_a	1.0
<#_v	<#	1.0
<#_t	<#_ɕ	1.0
<#_r	<#_r	1.0
<#_o	<#_v_ɛ	1.0
<#_n	<#_n	1.0
<#	<#_k	1.0
k	k	0.895
a	a	0.881
u	u	0.833
b	b	0.8
#>	ɨ_#>	0.786
j	j	0.75
ɫ	w	0.72
t	t	0.696
o	ɔ	0.692
d	d	0.684
a_ˈ	ɔ	0.647
m	m	0.619
n	n	0.611
ɛ_#>	ɛ_#>	0.6
ʒ	ʐ	0.571
p	p	0.556
ɛ_ˈ	ɔ	0.5
ɛ_ˈ	a	0.5
r	r	0.474
i	ɨ	0.45
i	i	0.45
p	pʲ	0.444
v	vʲ	0.44
v	v	0.44
r̩	a_r	0.429
ɛ_#>	#>	0.4
f	x_ɨ	0.4
f	v_ɨ	0.4
m	mʲ	0.381
a_ˈ	u	0.353
n	ɲ	0.333
r	rʲ	0.316
ɛ	ɪ	0.314
ʒ	-	0.286
r̩	r	0.286
r̩	e	0.286
ɛ	ɛ	0.255
j	-	0.25
ɛ	e	0.235
t	ɕ	0.217
#>	i_#>	0.214
d	ʑ	0.211
ɫ	l	0.2
f	f	0.2
b	bʲ	0.2
u	ɨ	0.167
o	ɛ	0.154
ʒ	ʒ	0.143
v	x	0.12
a	-	0.119
r	ʂ	0.105
r	ɕ	0.105
k	-	0.105
d	-	0.105
i	-	0.1
t	ʨ	0.087
ɫ	d_w	0.08
ɛ	ɔ	0.078
ɛ	-	0.078
o	w	0.077
o	-	0.077
n	nʲ	0.056
