Aromanian	Spanish	probability
#>	#>	0.973
<#	<#	0.967
<#_a	<#	1.0
<#_f	<#	1.0
<#_j	<#	1.0
a	a	0.707
a	ˈa	0.186
a	e	0.099
b	b	0.379
b	b_w	0.311
b	β	0.185
b	ɡ	0.076
d	d	0.527
d	-	0.364
d	t	0.065
d	ð	0.063
e	a	0.344
e	l	0.179
e_#>	#>	1.0
e̯a	-	0.272
e̯ˈa	ˈe	0.889
e̯ˈa	ˈa	0.068
e̯ˈa	-	0.052
f	f	0.304
f	ʝ	0.198
f	-	0.182
f	θ	0.125
f	ɟ͡ʝ	0.056
i	-	0.334
i	e	0.319
i	a	0.111
j	-	0.326
j	β_e	0.198
j	j	0.131
j	ɟ͡ʝ	0.114
k	k	0.581
k	ɣ_o	0.17
k	ɣ	0.067
k	-	0.055
k	p_j	0.052
k	p	0.051
k_ʎ	x	0.76
k_ʎ	ɟ͡ʝ	0.229
l	l	0.701
l	-	0.234
l	ɾ	0.063
m	m	0.785
m	n	0.07
m	-	0.068
m_n	ɲ	1.0
n	n	0.771
n	-	0.12
n	ɲ	0.066
o̯ˈa	ˈo	0.357
o̯ˈa	w_ˈe	0.244
o̯ˈa	o	0.14
o̯ˈa	ˈa	0.14
o̯ˈa	w	0.083
p	p	0.604
p	β	0.121
p	-	0.072
p	β_o	0.069
p_l	ɟ͡ʝ	0.521
p_t	ʧ	1.0
r	ɾ	0.682
r	r	0.109
r	-	0.091
r	l_o	0.082
r_i	ɾ	0.892
r_i	l	0.105
s	s	1.0
t	t	0.446
t	ð	0.243
t	ð_o	0.103
t	-	0.072
t	ʧ	0.057
t_i	ˈe	1.0
u	o	0.887
v	b	0.57
v	b_j	0.29
v_r	ɾ	0.521
w	ˈe_β	0.286
w	-	0.174
w	a	0.174
w	o	0.125
w	β	0.096
w	j	0.093
z	-	1.0
ç	j	0.272
ç_ˈi	ˈi	1.0
ŋ	e	0.3
ŋ	ɲ	0.3
ə	a	0.713
ə	e	0.067
ə	o	0.053
ɡ	-	0.206
ɡ	ɣ	0.189
ɡ	ɡ	0.179
ɡ	b	0.164
ɡ	β	0.164
ɨ	o	0.3
ɨ	ˈa	0.206
ɨ	ˈe	0.107
ɲ	m	0.514
ɲ	n	0.232
ɲ	ɲ	0.232
ʃ	s	0.394
ʃ	θ	0.332
ʃ	x	0.101
ʃ	-	0.08
ʃ	ð	0.08
ʃ_t	θ	0.521
ʎ	l	0.62
ʎ	x_o	0.19
ʎ	x	0.125
ʎ_i	a	0.521
ʣ	d	0.471
ʣ	-	0.259
ʣ	x	0.1
ʣ	ɟ͡ʝ	0.076
ʣ	θ	0.075
ʤ	x	0.437
ʤ	ʝ	0.214
ʤ	-	0.186
ʤ	ɡ	0.134
ʦ	θ	0.698
ʦ	k	0.068
ʦ	j	0.06
ʦ	ʝ	0.06
ʦ	-	0.059
ʦ	ʧ	0.056
ʧ	θ	0.644
ʧ	-	0.091
ʧ	p	0.091
ˈa	ˈa	0.645
ˈa	j	0.104
ˈa	a	0.076
ˈa	ˈo	0.074
ˈa	ˈe	0.066
ˈe	ˈe	0.839
ˈe	j_ˈe	0.154
ˈi	ˈe	0.5
ˈi	ˈi	0.323
ˈi	-	0.137
ˈo	w_ˈe	0.498
ˈo	ˈo	0.356
ˈo	w	0.077
ˈo	-	0.052
ˈu	ˈu	0.341
ˈu	ˈo	0.338
ˈu	ˈe	0.099
ˈu	ˈi	0.07
ˈu	w_ˈe	0.059
ˈu_l	ˈu	1.0
ˈə	ˈi	0.425
ˈə	e	0.255
ˈə	a	0.153
ˈɨ	ˈa	0.834
ˈɨ	ˈi	0.084
ˈɨ	ˈo	0.084
