Bavarian	American English	probability
#>	#>	0.968
<#	<#	1.0
a	ɚ	0.865
a	ɪ	0.075
a	-	0.06
a_#>	#>	1.0
b̥	b	0.663
b̥	v	0.133
b̥	f	0.123
d	d	1.0
d̥	d	0.711
d̥	θ	0.181
d̥	ð	0.101
d̥_#>	#>	0.49
f	f	0.714
f	p	0.229
f	v	0.052
h	h	1.0
i	i	0.361
i	ŋ	0.361
i	ɫ	0.203
j	ɫ	0.545
j	-	0.195
j	j	0.141
j	l_oʊ̯	0.107
k	k	1.0
kʰ	kʰ	0.578
kʰ	ʧ	0.213
kʰ	-	0.108
l	l	0.808
l	ɫ	0.084
l	-	0.054
l	θ	0.054
m	m	0.825
m	-	0.13
n	n	0.796
n	-	0.168
n_#>	#>	1.0
p	p	0.209
p	-	0.102
p͡f	p	0.66
p͡f	d	0.158
r	ɹ	0.938
s	s	0.565
s	t	0.329
t	d	0.542
t	t	0.3
t	ð	0.08
t	θ	0.063
x	k	0.416
x	-	0.268
x	ʧ	0.102
x	t	0.092
x_t	t	1.0
ç	ʧ	0.488
ç	-	0.28
ç	k	0.171
ŋ	ŋ	0.674
ŋ	-	0.112
ŋ	i	0.089
ŋ	n	0.085
ɐ	ɹ	0.306
ɐ	ɚ	0.293
ɐ	-	0.161
ɐ	ˈɝ	0.157
ə	ɫ	1.0
ə_#>	#>	1.0
ɡ̊	ɡ	0.468
ɡ̊	-	0.279
ɡ̊	ʤ	0.14
ɡ̊	k	0.059
ɡ̊	j	0.05
ɡ̊_#>	#>	1.0
ɪ	i	1.0
ʃ	s	0.513
ʃ	ʃ	0.474
ʋ	w	0.831
ʋ	-	0.167
ʦ	tʰ	0.599
ʦ	t	0.396
ˈa	ˈeɪ̯	0.339
ˈa	ˈæ	0.231
ˈa	ˈɛ	0.133
ˈa	ˈi	0.099
ˈa	ˈu	0.093
ˈa	ˈɑ	0.071
ˈai̯	ˈaɪ̯	0.558
ˈai̯	ˈɪ	0.116
ˈai̯	ˈɛ	0.088
ˈai̯	ˈi	0.086
ˈai̯	ˈoʊ̯	0.067
ˈai̯	ˈu	0.057
ˈau̯	ˈaʊ̯	0.806
ˈau̯	ˈaɪ̯	0.145
ˈaː	ˈi	0.863
ˈaː	ˈɛ	0.062
ˈe	ˈɛ	0.433
ˈe	ˈi	0.148
ˈe	ˈɑ	0.145
ˈe	-	0.129
ˈe	ˈɪ	0.093
ˈeɐ̯	ˈi	0.629
ˈeɐ̯	ˈu	0.361
ˈeː	ˈɛ	0.361
ˈeː	ˈi	0.315
ˈeː	ˈɪ	0.181
ˈeː	ˈeɪ̯	0.117
ˈi	ˈɪ	0.509
ˈi	ˈaɪ̯	0.186
ˈi	ˈi	0.133
ˈiɐ̯	ˈi	0.736
ˈiɐ̯	ˈaɪ̯	0.186
ˈiː	ˈɪ	0.784
ˈiː	ˈi	0.124
ˈo	ˈoʊ̯	0.296
ˈo	ˈɑ	0.249
ˈo	ˈæ	0.157
ˈo	ˈeɪ̯	0.137
ˈo	ˈʊ	0.137
ˈou̯	ˈaɪ̯	0.322
ˈou̯	ˈeɪ̯	0.322
ˈou̯	ˈɛ	0.239
ˈoɐ̯	ˈɔ_ɹ	0.272
ˈoɐ̯	ˈoʊ̯	0.223
ˈoɐ̯	ˈɛ	0.206
ˈoɐ̯	ˈɑ	0.122
ˈoɐ̯	ˈaɪ̯	0.081
ˈoɐ̯	ˈu	0.081
ˈoː	ˈæ	0.167
ˈoː	ɚ	0.146
ˈoː	ˈaʊ̯	0.146
ˈoː	ˈi	0.134
ˈoː	ˈɑ	0.127
ˈoː	ˈeɪ̯	0.082
ˈu	ˈʌ	0.336
ˈu	ˈɪ	0.227
ˈu	ˈɑ	0.079
ˈu	ˈaɪ̯	0.078
ˈu	ˈi	0.062
ˈu	ˈaʊ̯	0.062
ˈu	ˈɛ	0.062
ˈu	ˈɔ	0.06
ˈuɐ̯	ˈʌ	0.437
ˈuɐ̯	ˈʊ	0.381
ˈuɐ̯	ˈaʊ̯	0.136
ˈy	ˈoʊ̯	0.49
ˈɑː	ˈi	0.49
ˈɒ	ˈeɪ̯	0.278
ˈɒ	ˈɛ	0.211
ˈɒ	ˈɑ	0.136
ˈɒ	ˈɔ	0.136
ˈɒ	ˈʌ	0.136
ˈɒː	ˈæ	0.53
ˈɒː	ˈi	0.461
ˈɔ	ˈɑ	0.258
ˈɔ	ˈaɪ̯	0.162
ˈɔ	ˈeɪ̯	0.148
ˈɔ	ˈi	0.107
ˈɔ	ˈæ	0.096
ˈɔ	ˈu	0.071
ˈɔ	ˈɛ	0.069
ˈɛ	ˈɛ	0.343
ˈɛ	ˈi	0.168
ˈɛ	ˈɪ	0.121
ˈɛ	ˈʌ	0.117
ˈɛ	ˈɔ	0.113
ˈɛ	ˈæ	0.056
ˈɛː	ˈoʊ̯	0.66
ˈɛː	ˈi	0.158
ˈʏ	ˈɪ	0.24
