Proto-Germanic	Proto-Germanic	probability
ˈɛː	ˈoː	1.0
ˈɔː_θ	ˈʊː_t	1.0
ˈɑː	-	1.0
ˈɑi̯_w	ˈeː	1.0
ˈɑ_ŋ	ˈɒ	1.0
ˈɑ_w	ˈɔi̯	1.0
ˈɑ_t	ˈɒ_s	1.0
ˈu_ŋ	ˈu	1.0
ˈĩː	ˈi	1.0
ˈiu̯	-	1.0
ˈeu̯	ˈiː	1.0
ɸ	f	1.0
ɣ_ɑ	j	1.0
ɣ_j_ɔː_#>	k_#>	1.0
ɡʷ	-	1.0
ɛː	ə	1.0
ɔ̃ː	-	1.0
ɔːu̯	-	1.0
ɔː	-	1.0
ɑ̃_#>	#>	1.0
ɑi̯	ˈɒ_n	1.0
ɑ_ɣ	i	1.0
ɑ_z_#>	#>	1.0
ɑ_n	ə	1.0
ŋ	ŋ	1.0
ð	t	1.0
z	-	1.0
xʷ	ʋ	1.0
x_u	eː	1.0
x_t	x_t	1.0
x_s	k_s	1.0
u	-	1.0
t_ɑ	s	1.0
sː	s	1.0
s_t	ʃ_t	1.0
s_k	ʃ	1.0
s_#>	#>	1.0
r_ɑ	ə	1.0
r_u	ə	1.0
r_n	ʁ_n	1.0
pː	-	1.0
nː	n	1.0
n_ɑ̃_#>	ə_#>	1.0
n_ɑ	ə	1.0
n_u	n	1.0
n_s	n_z̥	1.0
n	n	1.0
mː	m	1.0
m_ɑ_z_#>	m_#>	1.0
lː	l	1.0
l	l	1.0
k_s	ʃ	1.0
jː	ˈəi̯	1.0
j	-	1.0
iː	-	1.0
e	ə	1.0
b	b̥	1.0
<#_θ	<#_d̥	1.0
<#_ˈɑ	<#_ˈɒ	1.0
<#_ˈu	<#_ˈu	1.0
<#_x_r	<#_ʁ	1.0
<#_x	<#	1.0
<#_t	<#_ʦ	1.0
<#_s	<#_s	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#_j	1.0
r	ʁ	0.917
m	m	0.905
p	f	0.857
ˈɑi̯	ˈəi̯	0.818
ˈi	ˈi	0.808
θ	d̥	0.8
z_#>	#>	0.794
i	-	0.793
ɔːː	-	0.778
ˈuː	ˈyː	0.75
ɑ	-	0.75
w	ʋ	0.75
x	h	0.708
k	kʰ	0.706
d	d̥	0.68
β	b̥	0.667
ɣ	ɡ̊	0.632
ˈiː	ˈiː	0.625
ɡ	ŋ	0.556
t	s	0.55
ˈɔː	ˈʊː	0.5
ˈɑu̯	ˈoː	0.5
s	ʃ	0.5
s	z̥	0.5
ˈɑ	ˈɒ	0.471
ɡ	-	0.444
ˈu	ˈu	0.441
ˈiː	-	0.375
β	-	0.333
ˈɔː	ˈiː	0.333
ˈu	ˈo	0.324
d	t	0.32
ˈɑu̯	ˈʊː	0.286
ˈe	ˈæ	0.278
ˈe	-	0.278
ˈɑ	ˈɒː	0.265
ɣ	-	0.263
ˈuː	-	0.25
ɑ	ə	0.25
t	ʦ	0.25
ˈe	ˈæː	0.222
ˈe	ˈe	0.222
ɔːː	ə	0.222
z_#>	ʁ_#>	0.206
θ	t	0.2
t	t	0.2
ˈɑi̯	ˈei̯	0.182
k	ʃ	0.176
ˈɔː	-	0.167
ˈɑ	ˈe	0.147
ˈɑu̯	-	0.143
p	p	0.143
x	-	0.125
w	w	0.125
w	-	0.125
ˈɑ	-	0.118
ˈu	-	0.118
k	k	0.118
ˈi	-	0.115
ɣ	k	0.105
i	ə	0.103
i	i	0.103
m	n	0.095
ˈu	ˈi	0.088
x	ʃ	0.083
x	x	0.083
r	ə_ʁ	0.083
ˈi	ˈiː	0.077
ˈɑu̯	ˈai̯	0.071
