Western Lombard	Western Lombard	probability
ˈɛ_#>	ˈe_r_#>	1.0
ˈɑː_t	ˈa_t	1.0
ˈɑː	ˈa	1.0
ˈœ	ˈɔ	1.0
ˈỹ	ˈu_n	1.0
ˈy	ˈu	1.0
ˈuː_r	ˈo_r	1.0
ˈoː	ˈɔ	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi_ŋ	1.0
ˈi_#>	ˈi_#>	1.0
ˈẽ	ˈe_ŋ	1.0
ˈã	ˈa_ŋ	1.0
ˈa_s	ˈa_s	1.0
ʃ	ˈi_s	1.0
ɲ	ɲ	1.0
z	z	1.0
w	w	1.0
u_l	o_ɰ	1.0
s_a	s_a	1.0
r_t	r_t	1.0
r_s	r_s	1.0
r_a	r_a	1.0
r_#>	#>	1.0
p	p	1.0
o	o	1.0
m	m	1.0
k_#>	ɡ_o_#>	1.0
k	k	1.0
j_ˈøː	ˈi	1.0
ĩ	i	1.0
i_#>	o_#>	1.0
ẽ	v_e_n	1.0
e_r	r_o	1.0
d_e	r_e	1.0
b	b	1.0
ã	a_ŋ	1.0
a_v	a_v	1.0
a_d	a	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʤ	<#_z	1.0
<#_ʒ	<#_z	1.0
<#_v	<#	1.0
<#_u	<#_o	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
a	a	0.967
n	n	0.947
v	v	0.92
ˈɔ	ˈɔ	0.895
ɡ	ɡ	0.889
ˈyː	ˈu	0.875
d	d	0.87
ˈu	ˈo	0.846
j	j	0.824
ˈũ	ˈo_ŋ	0.818
ˈiː	ˈi	0.8
e	e	0.8
r	r	0.78
ˈuː	ˈo	0.778
u	o	0.778
t	t	0.778
ˈɛ_l	ˈɛ_o	0.75
s	s	0.75
f	f	0.75
ˈe	ˈe	0.714
ˈɛ	ˈɛ	0.667
i	e	0.667
ˈeː	ˈe	0.647
ˈi	ˈi_r	0.625
<#_l	<#	0.625
#>	o_#>	0.605
ʒ	-	0.6
ˈøː	ˈo	0.545
l	ɰ	0.545
ˈa	ˈa	0.52
ʤ	ʤ	0.5
ʤ	-	0.5
y	o	0.5
y	-	0.5
l_a	ɰ_a	0.5
l_a	a	0.5
ˈa	ˈa_r	0.48
ˈøː	ˈɔ	0.455
ʧ	s	0.4
ʒ	z	0.4
ˈi	ˈi	0.375
<#_l	<#_ˈe	0.375
ʧ	ʧ	0.35
ˈɛ	ˈe	0.333
l	l	0.333
i	i	0.333
ˈe	ˈi	0.286
ˈɛ_l	ˈɛ	0.25
ˈuː	-	0.222
u	-	0.222
#>	e_#>	0.209
ˈiː	-	0.2
ˈũ	ˈo	0.182
ˈeː	ˈɛ	0.176
ˈeː	j_ˈɛ	0.176
j	-	0.176
r	r_o	0.171
ˈu	-	0.154
ʧ	t	0.15
f	v_e	0.143
d	-	0.13
ˈyː	ˈo	0.125
s	z_e	0.125
l	o	0.121
ɡ	-	0.111
t	d_o	0.111
t	d	0.111
f	v_o	0.107
ˈɔ	-	0.105
ʧ	z_e	0.1
e	i	0.1
e	-	0.1
#>	r_#>	0.093
s	z	0.089
v	-	0.08
#>	a_#>	0.07
n	-	0.053
