Swabian	Scots	probability
a	-	0.866
a	ə	0.084
a	e	0.054
b	b	0.647
b	v	0.136
b	f	0.104
b	-	0.098
b̥͡f	p	1.0
d	d	0.521
d	t	0.204
d	θ	0.144
d	ð	0.107
d_a	d	1.0
e	-	0.699
e	ɫ	0.147
f	f	0.788
f	p	0.135
f	-	0.042
f	v	0.042
f_a	p	0.492
h	h	1.0
i	ŋ	0.242
j	j	1.0
k	k	0.242
kʰ	kʰ	0.482
kʰ	-	0.169
kʰ	k	0.169
kʰ	ʧ	0.169
l	l	0.785
l	-	0.118
l	ɫ	0.054
l	θ	0.036
l_ɡ	l	0.242
m	m	0.937
m	-	0.064
m_a	m	0.492
n	n	0.772
n	-	0.226
p͡f	d	1.0
s	s	0.619
s	t	0.299
s	z	0.063
s	-	0.029
s_a	t	1.0
t	d	1.0
x	x	0.827
x	k	0.139
ç	k	0.605
ç	x	0.381
ŋ	ŋ	1.0
ɐ	ə	1.0
ə	-	0.242
ɡ	ɡ	0.488
ɡ	-	0.409
ɡ	k	0.091
ɡ_a	k	1.0
ɡ_l	l	1.0
ɪ	əi̯	1.0
ʁ	r	0.907
ʁ	-	0.051
ʁ	z	0.049
ʃ	s	0.637
ʃ	ʃ	0.358
ʋ	w	0.826
ʋ	ʍ	0.107
ʋ	-	0.061
ʌ	ə	0.786
ʌ	r	0.151
ʌ	ɪ	0.056
ʕ	r	1.0
ʦ	tʰ	0.566
ʦ	t	0.43
ˈa	ˈɑː	0.235
ˈa	ˈe	0.215
ˈa	ˈɑ	0.163
ˈa	ˈɪ	0.134
ˈa	ˈɛ	0.134
ˈa_l	ˈɑː	1.0
ˈae̯	ˈiː	0.282
ˈae̯	ˈəi̯	0.186
ˈae̯	ˈe	0.186
ˈae̯	ˈʉ	0.186
ˈae̯	ˈɑ	0.126
ˈao̯	ˈʉ	0.583
ˈao̯	ˈei̯	0.149
ˈao̯	ˈiː	0.113
ˈao̯	ˈaːɪ̯	0.098
ˈao̯	ˈi	0.048
ˈaː	ˈø	0.257
ˈaː	ˈɛ	0.194
ˈaː	ˈɑ	0.194
ˈaː	ˈe	0.166
ˈaː	ˈɑː	0.093
ˈaː_ɡ	ˈeː	1.0
ˈe	ˈɪ	0.496
ˈe	ˈɑ	0.132
ˈe	ˈa	0.126
ˈe	ˈɛ	0.093
ˈe	ˈi	0.058
ˈeə̯	j	0.425
ˈeə̯	ˈɛ	0.24
ˈeə̯	ˈiː	0.136
ˈeː	ˈɪ	0.268
ˈeː	ˈiː	0.174
ˈeː	ˈɑː	0.152
ˈeː	ˈei̯	0.125
ˈeː	ˈe	0.12
ˈi	ˈɪ	0.634
ˈi	ˈʌʉ̯	0.193
ˈi	ˈiː	0.096
ˈi	ˈɛ	0.075
ˈiə̯	ˈiː	0.461
ˈiə̯	ˈɪ	0.304
ˈiə̯	ˈɛ	0.172
ˈiː	ˈei̯	0.334
ˈiː	ˈi	0.291
ˈiː	ˈiː	0.164
ˈiː	ˈe	0.101
ˈo	ˈɔ	0.386
ˈo	ˈʌ	0.21
ˈo	ˈʉ	0.21
ˈo	ˈʌʉ̯	0.089
ˈo	ˈø	0.089
ˈoː	ˈei̯	0.457
ˈoː	ˈɔ	0.128
ˈoː	ˈe	0.126
ˈoː	ˈʉ	0.087
ˈoː	ˈiː	0.087
ˈu	ˈɪ	0.561
ˈu	ˈiː	0.182
ˈu	ˈɔ	0.111
ˈuə̯	ˈø	0.538
ˈuə̯	ˈɪ	0.339
ˈuə̯	ˈʉ	0.086
ˈuː	ˈø	0.66
ˈuː	ˈʉ	0.16
ˈɔ	ˈɔ	0.608
ˈɔ	ˈei̯	0.244
ˈɔ	ˈəi̯	0.097
ˈɔe̯	ˈe	0.498
ˈɔe̯	ˈe_n	0.264
ˈɔe̯	ˈɛ	0.132
ˈɔe̯	ˈɑː	0.096
ˈɔə̯	ˈø	1.0
ˈɔː	ˈe	0.276
ˈɔː	ˈɑ	0.209
ˈɔː	ˈɔ	0.096
ˈɔː	ˈɛ	0.096
ˈɔː	ˈiː	0.092
ˈəi̯	ˈəi̯	0.559
ˈəi̯	ˈɪ	0.159
ˈəi̯	ˈei̯	0.105
ˈəi̯	j	0.08
ˈəi̯	ˈe	0.078
ˈɛ	ˈɛ	0.553
ˈɛ	ˈɪ	0.156
ˈɛ	ˈɑː	0.103
ˈɛ	ˈaːɪ̯	0.077
ˈɛ	ˈei̯	0.077
ˈɛː	ˈei̯	0.275
ˈɛː	ˈəi̯	0.239
ˈɛː	ˈɪ	0.239
ˈɛː	ˈiː	0.239
ˈɪ	ˈɪ	0.646
ˈɪ	ˈe	0.164
ˈɪ	ˈəi̯	0.101
ˈʌ	ˈɪ	0.574
ˈʌ	ˈʌ	0.282
