Swabian	Scots	probability
a	ə	0.628
a	-	0.372
b	b	0.634
b	v	0.168
b	-	0.101
b	f	0.077
b̥͡f	p	0.819
b̥͡f	d	0.181
d	d	0.596
d	t	0.149
d	θ	0.146
d	ð	0.08
e	-	1.0
eə̯	i	1.0
f	f	0.626
f	p	0.288
f	-	0.057
h	h	1.0
i	ŋ	1.0
j	j	1.0
kʰ	kʰ	0.767
kʰ	ʧ	0.14
kʰ	k	0.07
l	l	0.876
l	-	0.093
m	m	0.838
m	-	0.162
n	n	0.869
n	-	0.131
s	s	0.609
s	t	0.296
s	z	0.052
t	d	0.569
t	t	0.431
x	ç	0.54
x	k	0.349
x	x	0.111
ç	k	0.477
ç	ç	0.341
ç	ʧ	0.181
ŋ	ŋ	0.895
ŋ	-	0.105
ɡ	-	0.337
ɡ	ɡ	0.276
ɡ	k	0.203
ɡ	ʤ	0.133
ɡ	j	0.05
ɪ	e	0.67
ɪ	i	0.33
ʁ	r	0.887
ʁ	kʰ	0.052
ʃ	s	0.574
ʃ	ʃ	0.426
ʋ	w	0.798
ʋ	-	0.141
ʋ	ʍ	0.061
ʌ	ə	0.699
ʌ	r	0.114
ʌ	-	0.103
ʕ	r	0.914
ʕ	-	0.086
ʣ	t	1.0
ʦ	tʰ	0.621
ʦ	t	0.379
ˈa	ˈɑː	0.268
ˈa	ˈɪ	0.221
ˈa	ˈeː	0.186
ˈa	ˈa	0.179
ˈa	ˈe	0.123
ˈae̯	ˈəi̯	0.289
ˈae̯	ˈiː	0.236
ˈae̯	ˈi	0.147
ˈae̯	ˈu	0.109
ˈae̯	ˈe	0.086
ˈae̯	ˈeː	0.058
ˈao̯	ˈu	0.442
ˈao̯	ˈi	0.199
ˈao̯	ˈiː	0.158
ˈao̯	ˈuː	0.142
ˈao̯	ˈəi̯	0.059
ˈaː	ˈeː	0.52
ˈaː	ˈø	0.133
ˈaː	ˈɑː	0.117
ˈaː	ˈɛ	0.102
ˈaː	ˈe	0.075
ˈaː	ˈa	0.053
ˈe	ˈɪ	0.673
ˈe	ˈu	0.161
ˈe	ˈa	0.132
ˈeə̯	ˈɛ	0.723
ˈeə̯	ˈi	0.277
ˈeː	ˈiː	0.249
ˈeː	ˈi	0.242
ˈeː	ˈɑː	0.208
ˈeː	ˈɛ	0.143
ˈeː	ˈɛː	0.079
ˈeː	n	0.079
ˈi	ˈɪ	0.582
ˈi	ˈi	0.087
ˈi	ˈɛ	0.083
ˈi	ˈʌu̯	0.077
ˈi	ˈo	0.074
ˈi	ˈiː	0.064
ˈiə̯	ˈi	0.656
ˈiə̯	ˈiː	0.203
ˈiə̯	ˈø	0.14
ˈiː	ˈiː	0.648
ˈiː	ˈeː	0.172
ˈiː	ˈi	0.103
ˈiː	ˈaɪ̯	0.076
ˈo	ˈʌ	0.444
ˈo	ˈu	0.126
ˈo	ˈø	0.12
ˈo	ˈɪ	0.11
ˈo	ˈuː	0.069
ˈo	ˈo	0.06
ˈoː	ˈiː	0.31
ˈoː	ˈʌ	0.181
ˈoː	ˈɪ	0.161
ˈoː	ˈi	0.106
ˈoː	ˈe	0.08
ˈoː	ˈu	0.059
ˈu	ˈɪ	0.523
ˈu	ˈi	0.187
ˈu	ˈo	0.127
ˈu	ˈʌ	0.106
ˈu	-	0.057
ˈuə̯	ˈø	0.313
ˈuə̯	ˈi	0.305
ˈuə̯	ˈɪ	0.232
ˈuə̯	ˈuː	0.075
ˈuə̯	ˈøː	0.075
ˈuː	ˈuː	0.5
ˈuː	ˈø	0.5
ˈɔ	ˈo	0.606
ˈɔ	ˈʌ	0.206
ˈɔ	ˈaɪ̯	0.128
ˈɔ	ˈi	0.059
ˈɔe̯	ˈe	0.599
ˈɔe̯	ˈɛ	0.185
ˈɔe̯	ˈɑː	0.138
ˈɔe̯	ˈeː	0.079
ˈɔə̯	ˈø	1.0
ˈɔː	ˈe	0.255
ˈɔː	ˈiː	0.255
ˈɔː	ˈi	0.197
ˈɔː	ˈa	0.12
ˈɔː	ˈeː	0.086
ˈɔː	ˈoː	0.086
ˈəi̯	ˈəi̯	0.696
ˈəi̯	ˈɪ	0.177
ˈəi̯	ˈaɪ̯	0.064
ˈɛ	ˈɛ	0.38
ˈɛ	ˈaːɪ̯	0.147
ˈɛ	ˈi	0.134
ˈɛ	ˈɪ	0.129
ˈɛ	ˈa	0.09
ˈɛː	ˈeː	0.237
ˈɛː	ˈɪ	0.224
ˈɛː	ˈiː	0.206
ˈɛː	ˈəi̯	0.206
ˈɛː	ˈɛ	0.126
ˈɪ	ˈɪ	1.0
ˈʌ	ˈɪ	0.894
ˈʌ	ˈʌ	0.106
