Palatine German	Palatine German	probability
β_ə	v_ə	1.0
ˈɪ_ʃ	ˈi_x	1.0
ˈɪ_l	ˈɛː_l	1.0
ˈɛ_r	ˈeː	1.0
ˈɑ̃ː	n	1.0
ˈɑːɪ̯	ˈɛːi̯	1.0
ˈõː	ˈʊː	1.0
ˈo	ˈɒː	1.0
ˈĩː	ˈøː_n	1.0
ˈi	ˈeː	1.0
ˈẽː	-	1.0
ˈeː_ʃ	ˈɛː_k	1.0
ˈau̯̯	ˈuː	1.0
ʣ̥	t	1.0
ɪ_ʃ	ə_ɣ̊	1.0
ɪ	ɪ	1.0
ɡ̊_s	s	1.0
ə_#>	#>	1.0
ə	ə	1.0
ɑ	-	1.0
ɐ_n	ʀ_ə	1.0
x_d̥	x	1.0
pʰ	p	1.0
m	m	1.0
l_b̥	v̥	1.0
kʰ	k	1.0
j	ɣ	1.0
h	ɦ	1.0
eː	i	1.0
d̥_#>	#>	1.0
b̥_#>	v̥_#>	1.0
<#_ˈoː	<#	1.0
<#_r	<#_ʀ	1.0
<#_j	<#_j	1.0
β	β	0.938
l	l	0.902
b̥	b	0.826
ˈau̯	ˈuː	0.8
n	n	0.792
r	ʀ	0.75
d̥_r	d_ʀ	0.75
#>	n_#>	0.727
ˈiː	ˈeː	0.722
ŋ	ŋ	0.7
f	v	0.658
x	k	0.6
ˈuː	ˈʊː	0.545
ˈɛː	ˈɛː	0.533
d̥	d̥	0.509
ˈu	ˈʊː	0.5
ɡ̊	ɣ	0.5
ɐ	ʀ	0.489
ˈeː	ˈi	0.455
ˈoː	ˈɒː	0.438
ʃ_d̥	s_t	0.417
ʃ_d̥	s	0.417
ˈɑ	ˈaː	0.406
ˈaɪ̯	ˈiː	0.4
s	z	0.4
s	t	0.4
ˈɪ	ˈɪː	0.393
d̥	d	0.382
ˈoː	ˈu	0.375
ɡ̊	k	0.357
ˈɑ	ˈɑ	0.344
ˈɛː	ˈeː	0.333
ˈɔ	ˈʊː	0.333
ˈɔ	ˈɔ	0.333
ʃ	s	0.333
ɐ	ə_ʀ	0.319
ˈɑː	ˈaː	0.316
ˈu	ˈɔ	0.312
ˈaɪ̯	-	0.3
ŋ	ŋ_k	0.3
ˈuː	ˈoː	0.273
#>	j_#>	0.273
f	p	0.263
ˈɛ	ˈeː	0.25
r	j	0.25
d̥_r	d	0.25
ˈɔ	ˈɔː	0.222
ʃ	ʃ	0.222
ˈɑː	ˈɔː	0.211
ˈaɪ̯	ˈœi̯	0.2
ˈau̯	ˈɔu̯	0.2
x	ɣ_ə	0.2
x	x	0.2
s	z̥	0.2
ˈoː	ˈoː	0.188
ˈuː	ˈøː	0.182
ˈeː	ˈøː	0.182
ˈeː	ˈeː	0.182
ˈeː	-	0.182
b̥	p	0.174
ˈɛ	ˈɪ	0.167
ˈɛ	ˈæː	0.167
ˈiː	ˈøː	0.167
ʃ_d̥	x	0.167
ˈɑː	ˈɒː	0.158
ˈɑ	ˈɑː	0.156
n	n_d	0.146
ˈɪ	ˈœ	0.143
ˈɪ	ˈeː	0.143
ɡ̊	ɣ̊	0.143
ʃ	z	0.139
ʃ	k	0.139
ˈɛː	-	0.133
ˈɛ	ˈɑ	0.125
ˈɛ	ˈæ	0.125
ˈu	ˈoː	0.125
ˈɔ	-	0.111
ˈiː	ˈiː	0.111
ʃ	ɣ̊	0.111
ˈɪ	ˈɛ	0.107
ɐ	ə	0.106
ˈɑː	ˈɔu̯	0.105
ˈɑː	ʀ	0.105
ˈɑː	-	0.105
ˈaɪ̯	ˈɛːi̯	0.1
ˈɑ	-	0.094
ɐ	ʀ_ə	0.085
ˈɛ	ˈɛ	0.083
ˈɛ	-	0.083
f	ə_v̥	0.079
d̥	t	0.073
ˈɪ	ˈʏ	0.071
ˈɪ	ˈɪ	0.071
ˈɪ	-	0.071
β	v_ə	0.062
ˈu	ˈʊ	0.062
n	-	0.062
ʃ	ŋ	0.056
