French	French	probability
ɲ	ɲː	1.0
ɡ_l	ɟ	1.0
ɡ	ɡ	1.0
œ_f	ˈɔ_v	1.0
y_m	nː_a	1.0
y	ˈu	1.0
v_a	v_ˈa	1.0
s_i	ɕ_ˈi	1.0
p_l	c	1.0
p	p	1.0
n	n	1.0
j_ɛ	ˈɛ	1.0
f_l	ç	1.0
b	b	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ʁ	<#_ʐ	1.0
<#_ɛ	<#_a	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_a	<#_ˈa	1.0
f	f	0.952
m	m	0.917
k	k	0.882
v	v	0.731
ʃ	k	0.722
ə	i	0.714
ɔ	ˈɔ	0.611
s	s	0.606
z	ɕ	0.6
w_a	ˈi	0.6
ʒ	j	0.583
ʁ	ɾ	0.5
ɥ	ˈu	0.5
œ	ˈɔ	0.5
œ	ˈu	0.5
ø	ˈɔ_k	0.5
o	ˈɛ_ɖː	0.5
d	d	0.5
<#	<#_ˈɔ	0.5
<#	<#_ˈa	0.5
w	ˈi	0.48
l	l	0.478
t	t	0.45
#>	ʊ_#>	0.442
i	ˈi	0.424
ʒ	ʤ	0.417
u	ˈu	0.409
z	-	0.4
w_a	i	0.4
ɛ	ˈa	0.39
ɛ̃	ˈa_n	0.381
o	ˈa_w	0.357
ɔ̃	ˈu_n	0.333
ɔ̃	ˈo	0.333
j	ɟː_a	0.333
#>	ɪ_#>	0.321
a	ɪ	0.29
ə	a	0.286
ɑ̃	ˈɛ_n	0.273
j	ˈɛ	0.267
j	-	0.267
a	a	0.258
ɥ	ˈɔ_tː	0.25
ɥ	ˈɔ	0.25
ø	ˈu	0.25
ø	ʊ	0.25
ɛ	ˈɛ	0.244
v	p	0.231
#>	a_#>	0.228
a	ˈa	0.226
d	ɪ	0.214
i	-	0.212
ʁ	r	0.211
ɛ̃	ˈi_n	0.19
ɑ̃	ˈɛ	0.182
ɑ̃	ˈa	0.182
ɑ̃	nː	0.182
ɑ̃	a_n	0.182
u	ˈɔ	0.182
l	ˈi	0.174
l	ɖː_a	0.174
ɛ	ˈi	0.171
ʃ	kː_a	0.167
ɔ̃	ˈɔ_n	0.167
ɔ̃	ˈu	0.167
ɔ	u	0.167
w	ˈu	0.16
w	-	0.16
e	ˈa_r	0.16
e	ˈa	0.16
e	ʃ	0.16
s	ɕ	0.152
t	ʃː	0.15
t	-	0.15
ɛ̃	ɲː	0.143
ɛ̃	n	0.143
o	-	0.143
d	j	0.143
d	-	0.143
u	u	0.136
j	cː	0.133
l	ɖː	0.13
s	-	0.121
i	ɪ	0.121
w	ˈu_ɕ	0.12
e	ˈa_ɾ	0.12
e	ˈa_t	0.12
e	ɾ_ɪ	0.12
k	-	0.118
ʃ	k_ˈa	0.111
ɔ	w	0.111
ɔ	o	0.111
t	tː	0.1
t	s_t	0.1
ɛ	i	0.098
a	w_ˈa	0.097
ɛ̃	ŋ	0.095
ʁ	ɽ	0.092
u	ˈɔ_cː	0.091
u	ˈu_tː	0.091
u	ˈu_j	0.091
m	mː	0.083
w	ˈi_t	0.08
e	a_s	0.08
e	-	0.08
a	ʊ	0.065
a	k_a	0.065
s	ɕ_ˈi	0.061
s	sː	0.061
i	ˈɛ_ʦː	0.061
i	ˈɛ_j	0.061
i	ˈɛ	0.061
i	i	0.061
ʁ	ɪ_ɾ	0.053
