Occitan	Ligurian	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_f	<#_f	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_p	<#_p	1.0
<#_r	<#_r	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_u	<#	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_ˈø	1.0
<#_ˈe	<#_l	1.0
<#_ˈɔ	<#_ˈɔ	1.0
a_l	a_l	1.0
a_n	a_ŋ	1.0
a_s	e	1.0
a_β	a_v	1.0
b	-	1.0
d	-	1.0
d_ɾ	j	1.0
f_l	<#_ʃ	1.0
i	i	1.0
i_#>	u	1.0
j_s	ʃ	1.0
j_ˈɛ	ˈeː	1.0
k_l	ʧ	1.0
n_#>	ŋ_t	1.0
n_ɔ	ŋ_a	1.0
p_#>	p_u	1.0
p_l	<#_ʧ	1.0
r_#>	#>	1.0
r_k	r_k	1.0
r_s	r_s	1.0
s_#>	#>	1.0
s_p	p	1.0
s_t	s_t	1.0
t_ɾ	t_r	1.0
v	<#_ʒ	1.0
w_t	ˈaː_t	1.0
w_ɾ	v_e	1.0
z_ˈa	j	1.0
ŋ	ŋ	1.0
ŋ_k	ŋ_k	1.0
ɣ	ɡ	1.0
ɥ	-	1.0
ɥ_ˈɔ	ˈøː	1.0
ɥ_ˈɛ	ˈø	1.0
ɲ	ɲ	1.0
ɾ_ɔ	j_a	1.0
ɾ_ˈa	r_ˈa	1.0
ʦ_#>	ʒ_e	1.0
ˈa_j	w_ˈɛː	1.0
ˈa_l	ˈaː	1.0
ˈa_n	ˈa_ŋ	1.0
ˈa_t	ˈɛː_#>	1.0
ˈa_w	ˈɔː	1.0
ˈe_#>	ˈe_j_#>	1.0
ˈe_k	ˈe_k	1.0
ˈe_n	ˈe_ŋ	1.0
ˈi_#>	ˈiː_#>	1.0
ˈu_#>	ˈu_ŋ_#>	1.0
ˈu_l	ˈuː	1.0
ˈu_n	ˈu_ŋ	1.0
ˈu_s	w_ˈiː	1.0
ˈɛ_#>	ˈeː_#>	1.0
ˈɛ_l	ˈeː	1.0
ˈɛ_r	ˈɛː_r	1.0
ˈɛ_ʦ	ˈeː_ʒ	1.0
<#_e	<#_s	0.571
l_#>	l_u_#>	0.471
u	u	0.571
ɾ	d	0.051
ˈa	ˈaː	0.41
ˈu	ˈyː	0.071
ˈu	ˈø	0.071
<#_a	<#_ˈaː	0.222
<#_ʤ	<#_ʤ	0.2
e_#>	#>	0.242
j	j	0.2
j	ˈɛ	0.2
k	k	0.412
n	n	0.692
ʧ	z	0.2
ˈa_#>	ˈaː_#>	0.682
ˈi	ˈiː	0.292
β	-	0.182
β	b	0.182
<#_a	<#	0.333
a	-	0.3
e	e	0.423
e_#>	e_#>	0.333
l	ʤ	0.333
l_#>	ʤ_u_#>	0.353
r	r	0.583
s	ʒ	0.133
s	p	0.133
s	s	0.733
t	d_u	0.133
ð	-	0.333
ɔ_#>	a_#>	0.913
ˈu	ˈu	0.393
ˈɔ	ˈɔ	0.3
#>	ŋ_#>	0.134
<#_a	<#_a	0.444
<#_ˈa	<#	0.4
e	-	0.154
e_#>	u_#>	0.424
l	l	0.4
n	-	0.154
n	ɲ	0.154
w	v_u	0.4
ʎ	ʤ	0.714
ʤ	ʤ	0.714
ˈe	ˈe_j	0.24
ˈe	-	0.24
ˈe	ˈe	0.44
m	ʒ	0.125
m	m	0.875
r	r_n	0.25
w_#>	v_e_#>	0.5
w_#>	u_#>	0.5
ɾ	r	0.615
ˈy	ˈyː	0.375
ˈɔ	ˈøː	0.35
ˈɔ	ˈɔː	0.35
ˈɛ	ˈeː	0.185
<#_ˈa	<#_ˈa	0.6
j	-	0.6
l_#>	u_#>	0.176
w	-	0.6
z	ʒ	0.286
z	ɡ	0.286
ɾ	-	0.256
ʎ	ˈeː_ʤ	0.286
ʤ	ɡ	0.286
ˈa	ˈa	0.436
β	v	0.636
#>	e_#>	0.317
a	a	0.7
e	j	0.077
e	ˈɛː	0.077
l	-	0.267
r	-	0.167
t	t	0.867
ð	t	0.667
ɔ_#>	#>	0.087
ɾ	w	0.077
ˈa	ˈa_s	0.077
ˈa	ˈɛː	0.077
ˈu	ˈy	0.107
ˈu	ˈuː	0.357
<#_ʤ	<#_z	0.8
k	ɡ	0.588
ʧ	t	0.8
ˈa_#>	ˈa_ŋ_#>	0.318
ˈe	ˈiː	0.08
ˈi	ˈi	0.708
ˈy	ˈu	0.188
ˈy	ˈy	0.438
ˈɛ	-	0.148
ˈɛ	ˈɛ	0.148
#>	u_#>	0.549
<#_e	<#	0.429
e	i	0.269
u	-	0.429
z	z	0.429
ˈɛ	ˈe	0.519
