Asturian	Asturian	probability
θ_#>	s_#>	1.0
ˈu_n	ˈỹ	1.0
ˈo_β	ˈuː	1.0
ˈo_ŋ	ˈũ	1.0
ˈo_n	ˈũ	1.0
ˈi_ɾ	ˈi	1.0
ˈi_ŋ	ˈĩ	1.0
ˈe_β	f	1.0
ˈe_ɾ_#>	#>	1.0
ˈe_u	k	1.0
ˈe_n	ˈẽ	1.0
ˈe_j	ˈɛ	1.0
ˈa_ɾ	ˈa	1.0
ˈa_ŋ	ˈã	1.0
ˈa_n	ˈã	1.0
ʧ	-	1.0
ʝ_a	a	1.0
ʃ_u	s	1.0
ɾ_β	r_b	1.0
ɾ_u	r	1.0
ɾ_n	r_n	1.0
ɾ_e	e_r	1.0
ɾ_a	a	1.0
ɾ_#>	#>	1.0
ɡ_w	ˈœ	1.0
ɟ͡ʝ	-	1.0
ŋ	-	1.0
u_#>	#>	1.0
t	t	1.0
s_e	s_e	1.0
r	r	1.0
p	p	1.0
k	k	1.0
f	f	1.0
e_n	ẽ	1.0
e_m	ũ	1.0
e_#>	#>	1.0
d_u	t	1.0
d	d	1.0
a_#>	#>	1.0
<#_θ	<#_ʧ	1.0
<#_ˈo	<#_ˈoː	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʎ	<#_l	1.0
<#_ɡ	<#	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_e	<#	1.0
<#_a	<#_a	1.0
a	a	0.908
m	m	0.885
j	-	0.867
n	n	0.8
w_ˈe	ˈɔ	0.786
j_ˈe	ˈɛ	0.733
ɾ	r	0.714
l	l	0.714
#>	t_#>	0.714
ɣ	ɡ	0.7
ʃ	ʒ	0.667
ɡ	ɡ	0.667
s	s	0.667
ˈa	ˈɑː	0.632
ˈu	ˈyː	0.625
ɲ	ɲ	0.6
ð	d	0.6
e	e	0.579
ʎ	l	0.545
β	v	0.529
ˈe_ʝ	ʧ	0.5
ˈe_ʝ	j	0.5
w	ˈøː	0.5
i	ĩ	0.5
i	-	0.5
b	v	0.483
ˈi	ˈiː	0.471
θ	s	0.455
b	b	0.448
ʝ	j	0.429
ˈo	ˈu	0.393
θ	-	0.364
w	w	0.357
o	u	0.353
o	-	0.353
ʃ	ʤ	0.333
ɡ	k	0.333
u	-	0.333
s	-	0.333
ˈa	ˈa	0.316
ɣ	-	0.3
ʝ	ʧ	0.286
ʝ	-	0.286
l	-	0.286
#>	ʧ_#>	0.286
ʎ	p_j	0.273
ð	t	0.267
j_ˈe	ˈeː	0.267
e	-	0.263
ˈe	ˈɛ	0.256
ˈe	ˈeː	0.256
ˈu	-	0.25
ˈi	ˈi	0.235
ˈo	ˈɔ	0.214
w_ˈe	ˈøː	0.214
ɲ	n	0.2
ɲ	-	0.2
n	-	0.2
u	r	0.19
θ	ʒ	0.182
ʎ	ʧ	0.182
β	f	0.176
β	b	0.176
ˈi	-	0.176
e	a	0.158
ˈo	ˈuː	0.143
ɾ	e	0.143
w	ˈuː	0.143
u	l	0.143
u	k	0.143
ˈe	ˈe	0.14
ð	-	0.133
j	i	0.133
ˈu	ˈi	0.125
β	-	0.118
ˈi	j_ˈøː	0.118
o	y	0.118
o	r	0.118
ˈe	-	0.116
m	-	0.115
ˈo	ˈyː	0.107
ɾ	-	0.095
u	y	0.095
u	a	0.095
ˈe	ˈi	0.093
ˈe	e	0.093
ˈo	ˈoː	0.071
ˈo	-	0.071
b	z_ɡ	0.069
o	o	0.059
ˈa	ˈã	0.053
