Saterland Frisian	Scots	probability
f	f	1.0
h	h	1.0
i	i	1.0
ɡ	ɡ	1.0
ˈiːu̯	ˈɪ	1.0
ˈyː	ˈi	1.0
ˈøː	ˈu	1.0
ˈœː	ˈi	1.0
ˈɔːɪ̯	ˈɛ	1.0
d	θ	0.171
j	-	0.571
n	n	0.911
p	p	0.811
v	w	0.721
ˈi	ˈaː	0.051
ˈi	ˈəi̯	0.411
ˈoː	ˈi	0.201
ˈuː	-	0.081
ˈuː	ˈu	0.271
ˈɔː	ˈoː	0.121
ˈɛ	-	0.061
ˈɛɪ̯	ˈiː	0.101
ˈɛː	ˈɛ	0.181
ˈɛː	ˈɪ	0.431
ˈɪ	ˈu	0.071
ˈʊ	ˈʌ	0.691
d	r_d	0.052
k	kʰ	0.182
m	-	0.092
p	pʰ	0.172
v	v	0.052
ə	r	0.062
ˈa	ə	0.112
ˈaː	ˈɛ	0.602
ˈeː	ˈɛ	0.112
ˈoː	ˈeː	0.102
ˈu	ˈuː	0.182
ˈɔ	ˈo	0.102
ˈɛː	ˈeː	0.142
ˈʊ	ˈeː	0.062
d	-	0.063
d	d	0.683
j	j	0.223
l	l	0.93
v	-	0.103
w	w	0.463
x	x	0.183
x	ɡ	0.433
z	r	0.143
ˈa	ˈɑː	0.093
ˈi	ˈiː	0.183
ˈoːu̯	ˈuː	0.053
ˈoːu̯	ˈo	0.103
ˈoːu̯	ˈɑː	0.223
ˈɛ	ˈɪ	0.23
ˈɛɪ̯	ˈa	0.053
ˈɛɪ̯	ˈeː	0.073
ˈɪ	ˈɪ	0.883
b	-	0.074
s	ʃ	0.194
z	s	0.234
ŋ	ŋ	0.924
ɣ	-	0.364
ɪ	ə	0.24
ɪ	ŋ	0.24
ɪ	i	0.364
ˈa	ˈʌ	0.064
ˈaːu̯	ˈʌu̯	0.974
ˈi	ˈi	0.064
ˈoː	ˈɛ	0.144
ˈoː	-	0.214
ˈʊ	ˈɪ	0.14
a	-	0.475
a	ˈɪ	0.525
s	s	0.725
z	z	0.385
ə	-	0.115
ˈa	ˈe	0.195
ˈa	ˈɛ	0.5
ˈeː	ˈi	0.125
ˈi	ˈɛː	0.155
ˈiː	ˈəi̯	0.05
ˈiː	ˈa	0.075
ˈiː	ˈʌ	0.075
ˈiː	ˈeː	0.105
ˈoː	ˈɑː	0.085
ˈoː	ˈiː	0.085
ˈuː	ˈɪ	0.35
ˈɔː	ˈa	0.145
ˈɛ	ˈi	0.115
ˈɛ	ˈeː	0.115
ˈɛ	ˈa	0.175
b	b	0.926
k	-	0.296
k	k	0.456
ŋ	-	0.076
ɣ	k	0.186
ɪ	-	0.156
ˈeː	ˈa	0.056
ˈi	ˈɪ	0.066
ˈiː	ˈi	0.066
ˈoːu̯	ˈʌ	0.066
ˈuː	ˈəi̯	0.096
ˈuː	ˈʌ	0.106
ˈɔː	ˈe	0.106
ˈɛ	ˈo	0.086
ˈʊ	ˈuː	0.056
l	-	0.07
t	tʰ	0.107
t	t	0.707
w	v	0.537
ə	ə	0.807
ˈaːi̯	ˈi	0.317
ˈaːi̯	ˈe	0.317
ˈi	-	0.07
ˈiː	ˈɪ	0.287
ˈɔː	ˈo	0.167
ˈɔː	ˈeː	0.277
ˈɛ	ˈɛ	0.217
ˈɛɪ̯	ˈi	0.547
ˈɛː	ˈaɪ̯	0.057
ˈɛː	-	0.147
j	ˈiː	0.198
m	m	0.908
t	θ	0.128
z	-	0.238
ɣ	ɡ	0.408
ˈaːi̯	ˈəi̯	0.128
ˈaːi̯	ˈeː	0.238
ˈiː	ˈiː	0.288
ˈoːu̯	ˈa	0.088
ˈoːu̯	ˈø	0.318
ˈɔ	ˈɪ	0.138
ˈɔ	ˈʌ	0.218
ˈɔ	ˈa	0.508
ˈɔː	ˈɪ	0.068
k	ʧ	0.059
n	-	0.089
r	r	0.989
v	ʍ	0.099
x	ç	0.359
ˈaː	ˈɑː	0.139
ˈaː	ˈe	0.259
ˈeː	ˈɑː	0.069
ˈeː	ˈiː	0.169
ˈeː	ˈe	0.469
ˈoː	ˈe	0.109
ˈu	ˈɪ	0.409
ˈu	ˈu	0.409
