Bulgarian	Slovak	probability
b	b	1.0
i	ˈi	1.0
j	-	1.0
lʲ	l	1.0
m	m	1.0
mʲ	m	1.0
s	s	1.0
vʲ	ʋ	1.0
z	z	1.0
ʃ	ʃ	1.0
ʒ	ʒ	1.0
ʧ	ʧ	1.0
d	ɟ	0.411
l	l	0.181
t	t	0.581
ɐ	-	0.591
ˈi	ˈi	0.81
f	ʋ	0.722
n	n	0.452
o	ˈɔ	0.532
p	f	0.092
x	x	0.62
ɛ	-	0.142
ɫ	ʎ	0.112
ˈa	a	0.352
ˈi	i	0.092
ˈɤ	-	0.662
ɐ	ɛ	0.053
ɫ	l	0.123
ɫ	ɫ	0.733
k	k_iː	0.074
ɛ	ɛ	0.394
ʦ	<#_j	0.054
ˈa	ɪ̯ˈɛ	0.14
v	v	0.195
v	ʋ	0.805
ʦ	ʦ	0.755
ˈɔ	ɔ	0.275
ˈɛ	ˈɛ	0.375
ˈɤ	ˈu	0.115
n	n_iː	0.16
ɛ	ɪ̯ˈɛ	0.096
ˈɛ	-	0.136
ɐ	ɔ	0.057
ɡ	ɦ	0.947
ˈa	ˈɛ	0.17
ˈa	ˈa	0.337
ˈɔ	ˈɛ	0.067
ˈɤ	ˈɫ̩	0.077
f	v	0.278
k	x	0.108
k	k	0.818
o	ɔ	0.468
p	p	0.908
r	r	0.958
x	x_iː	0.38
ɐ	a	0.298
ɛ	ˈɛ	0.368
ˈi	-	0.098
ˈɛ	ˈa	0.078
d	d	0.589
l	ʎ	0.819
n	ɲ	0.389
t	c	0.419
ʦ	k	0.19
ˈɔ	ʊ̯ˈɔ	0.059
ˈɔ	ˈɔ	0.599
ˈɛ	ɪ̯ˈa	0.069
ˈɛ	ɛ	0.339
