Portuguese	Bellunese	probability
b	b	1.0
d	d	0.723
d	t	0.14
d	d_j	0.136
ẽ	e	1.0
f	f	1.0
i	-	0.71
i	i	0.148
i	e	0.142
ĩ	i_ŋ	1.0
j	-	0.639
j	j	0.154
j	n	0.089
j	e	0.065
j	ˈɔ	0.054
j̃	ŋ	0.621
j̃	n	0.23
j̃	l	0.149
k	k	0.929
l	l	1.0
m	m	0.895
n	n	0.902
o	o	1.0
õ	o	1.0
p	p	0.952
s	θ	0.602
s	s	0.398
t	t	0.837
t	ŋ_t	0.055
t	θ	0.055
t	-	0.054
u	-	0.513
u	o	0.417
u	o_l	0.051
ũ	-	1.0
v	v	0.866
w	o	0.407
w	w	0.399
w	-	0.194
w̃	ŋ	1.0
z	z	0.738
z	-	0.133
z	d	0.129
ð	t	0.348
ð	-	0.313
ð	d	0.311
ɐ	a	0.779
ɐ	-	0.168
ɐ̃	-	0.385
ɐ̃	e	0.385
ɐ̃	o	0.229
ɔ	-	0.745
ɔ	u	0.16
ɔ	o	0.095
ɡ	ɡ	0.953
ɣ	ɡ	0.93
ɣ	k	0.07
ɨ	-	0.376
ɨ	e	0.269
ɨ	o	0.107
ɨ	i	0.06
ɨ	a	0.052
ɫ	l	1.0
ɲ	n	0.544
ɲ	ŋ	0.193
ɲ	ɲ	0.179
ɲ	ʤ	0.084
ɾ	r	0.915
ʁ	r	1.0
ʃ	s	0.656
ʃ	-	0.178
ʎ	ʧ	0.547
ʎ	j	0.212
ʎ	-	0.205
ʒ	ð	0.736
ʒ	-	0.159
ʒ	z	0.105
ˈa	ˈa	0.979
ˈe	ˈe	0.51
ˈe	e	0.255
ˈe	ˈi	0.115
ˈe	ˈe_d	0.075
ˈẽ	ˈe_ŋ	0.449
ˈẽ	ˈɛ_n	0.237
ˈẽ	ˈe	0.16
ˈẽ	ˈa_ŋ	0.153
ˈi	ˈi	0.744
ˈi	ɲ	0.081
ˈi	ˈa	0.068
ˈĩ	ˈi	0.554
ˈĩ	ŋ	0.223
ˈĩ	ˈe	0.223
ˈo	ˈo	0.568
ˈo	ˈɔ	0.284
ˈo	ˈo_n	0.06
ˈo	ˈu	0.056
ˈõ	ˈo_ŋ	0.911
ˈõ	ˈo	0.089
ˈu	ˈu	0.69
ˈu	ˈo	0.205
ˈũ	ˈu	1.0
ˈɐ	ˈe	0.361
ˈɐ	ˈa	0.33
ˈɐ	ˈɛ	0.132
ˈɐ	e	0.115
ˈɐ	-	0.062
ˈɐ̃	ˈa	0.371
ˈɐ̃	ˈe	0.228
ˈɐ̃	ˈa_ŋ	0.227
ˈɐ̃	ˈo	0.102
ˈɐ̃	ˈa_n	0.072
ˈɔ	ˈo	0.571
ˈɔ	ˈɔ	0.273
ˈɔ	o	0.115
ˈɛ	ˈɛ	0.672
ˈɛ	ˈe	0.29
β	v	0.765
β	-	0.188
