Logudorese	French	probability
f	f	1.0
nː	n	1.0
rː	ʁ	1.0
z	-	1.0
ð	-	1.0
ɖ	-	1.0
ɖː	-	1.0
ʣ	-	1.0
ʦ	-	1.0
b	-	0.051
e	e	0.111
i	a	0.071
i	ɑ̃	0.471
k	k	0.331
m	-	0.341
n	-	0.71
o	ɔ	0.731
u	i	0.1
ˈo	ɔ	0.411
a	a	0.412
k	s	0.132
o	u	0.212
ɡ	ɡ	0.232
ˈa	ɑ̃	0.092
ˈa	a	0.182
ˈe	ɛ	0.252
ˈo	œ	0.162
d	d	0.983
i	-	0.383
r	-	0.23
r	ʁ	0.653
ɡ	ʒ	0.463
ˈa	-	0.073
ˈo	u	0.133
a	-	0.514
b	v	0.574
j	ʒ	0.714
l	-	0.174
p	p	0.94
s	s	0.654
u	ø	0.114
ŋ	ɔ̃	0.084
ˈe	w_a	0.104
ˈi	-	0.184
ˈu	y	0.304
β	v	0.284
a	e	0.075
t	t	0.485
t	-	0.515
u	o	0.235
u	ɔ̃	0.325
ɣ	-	0.625
ˈe	j	0.15
ˈe	-	0.225
ˈi	ɛ	0.225
ˈu	ɥ	0.065
ˈu	u	0.445
i	i	0.076
j	i	0.286
l	l	0.826
m	m	0.616
p	-	0.06
s	-	0.346
sː	l	0.776
u	-	0.146
ŋ	-	0.916
ɡ	-	0.306
ˈa	ɛ	0.416
ˈi	w	0.076
ˈo	-	0.196
β	-	0.716
b	ʒ	0.077
e	ɑ̃	0.207
e	-	0.357
r	l	0.117
sː	s	0.127
ɣ	z	0.297
ˈa	ɛ̃	0.197
ˈe	w	0.127
ˈu	-	0.147
b	b	0.298
e	i	0.108
e	a	0.198
k	ʃ	0.198
o	-	0.058
sː	-	0.098
u	j	0.08
ɣ	ɡ	0.078
ˈe	i	0.08
ˈi	i	0.468
k	-	0.339
n	n	0.29
