East Frisian Low Saxon	East Frisian Low Saxon	probability
ˈʏə̯	-	1.0
ˈʊə̯	-	1.0
ˈɪə̯	-	1.0
ˈɛə̯	-	1.0
ˈɔː	-	1.0
ˈɒːɒ̯	-	1.0
ˈɑːʊ̯	-	1.0
ˈɑɪ̯	-	1.0
ˈœːy̯	ˈoːu̯	1.0
ˈœy̯	-	1.0
ˈœ_n	ɑu̯	1.0
ˈœ	-	1.0
ˈøːø̯	-	1.0
ˈøy̯	ˈaːi̯	1.0
ˈæːɪ̯	-	1.0
ˈæː	-	1.0
ˈyːʏ̯	-	1.0
ˈuː	ˈuː	1.0
ˈoːo̯	-	1.0
ˈiːi̯	ˈiː	1.0
ˈeːe̯	-	1.0
ʊ	ˈoːu̯	1.0
ɫ	ɡ̊_l	1.0
ɣ̊_#>	ɡ̊_#>	1.0
ɡ̊	r̥	1.0
ə	-	1.0
ɑɪ̯	aːu̯	1.0
ɐ_t	r̥_t	1.0
ŋ_k	ʰk	1.0
z̥_#>	s_#>	1.0
w	v	1.0
v̥	v_ʏ	1.0
t_ɐ	ʰt͡n̥	1.0
t_#>	#>	1.0
s	s	1.0
r	r	1.0
o	-	1.0
n_n	nː_a	1.0
n_#>	#>	1.0
m	m	1.0
l_#>	l_#>	1.0
f	f	1.0
d̥_#>	#>	1.0
b	b̥	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_t	<#_tʰ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_k	<#_kʰ	1.0
z	s	0.909
ŋ	ŋ_ɡ̊	0.875
h	h	0.857
ˈiː	ˈiː	0.8
ˈʊ	ˈʏ	0.778
t	t	0.757
ˈɔ	-	0.75
ɣ̊	ɣ	0.714
<#_v	<#_v	0.692
ˈʏ	-	0.667
ˈɑː	ˈa	0.667
ˈyː	-	0.667
p	p	0.636
d̥	ð	0.615
χ	ʰt	0.6
ɐ_n	r_t͡n̥	0.6
ɡ	ɟ̊	0.556
ˈɑʊ̯	ˈoːu̯	0.545
l	l	0.514
ˈɛːɪ̯	ˈiː_r̥	0.5
ˈɛːɪ̯	j_ˈoːu̯	0.5
ˈɒː	-	0.5
ˈøː	-	0.455
ˈɛ	ˈɛ	0.444
ɡ	ɡ̊	0.444
#>	ʏ_r̥_#>	0.435
χ	ˈɔu̯	0.4
ˈeː	-	0.4
ɐ_n	t͡n̥	0.4
d	θ	0.4
d	d̥	0.4
#>	r̥_#>	0.37
ˈoː	-	0.35
n	a	0.344
ˈʏ	ˈɪ	0.333
ˈɛ	-	0.333
ˈɑːɑ̯	ˈɑu̯	0.333
ˈɑːɑ̯	ˈœ	0.333
ˈɑːɑ̯	-	0.333
ˈɑː	-	0.333
ˈyː	i	0.333
ɡ_n	ˈuː_a	0.333
ɡ_n	j_a	0.333
ɡ_n	a	0.333
v	v	0.333
<#_v	<#	0.308
ˈɪ	ˈɪ	0.304
ˈɪ	-	0.304
ˈoː	ˈœːy̯	0.3
ˈeː	ˈɛ	0.3
ˈeː	j	0.3
k	k	0.3
k	c	0.3
ˈæɪ̯	ˈɛːi̯	0.294
ˈɒː	ˈaː	0.286
ɣ̊	-	0.286
ɐ	r̥	0.282
ɐ	r	0.282
n	n	0.281
ˈɑ	ˈa	0.278
ˈɑʊ̯	ˈaːi̯	0.273
p	ʰp	0.273
v	-	0.267
l	t͡l̥	0.257
ˈɔ	ˈa	0.25
ˈoː	ˈɔ	0.25
l	l̥	0.229
ˈʊ	-	0.222
ˈɛ	ˈaː	0.222
ˈɑ	ˈaː	0.222
ˈɑ	-	0.222
ˈɒː	ˈɑːu̯	0.214
ˈiː	-	0.2
v	v_ˈɛː	0.2
v	kʰ_v	0.2
#>	a_#>	0.196
d̥	d̥_ʏ	0.192
ˈɑʊ̯	-	0.182
ˈøː	ˈʏ	0.182
ˈøː	r	0.182
ˈøː	j	0.182
ɐ	ɪ	0.179
ˈɪ	ˈi	0.174
ˈɑ	ˈɑu̯	0.167
k	k_ʏ	0.167
h	ç	0.143
d	ð	0.143
t	ʰt	0.135
ˈɪ	ˈɛ	0.13
ŋ	ɲ	0.125
ˈæɪ̯	ˈɪː	0.118
ˈæɪ̯	ˈɛi̯	0.118
ˈæɪ̯	ˈoːu̯	0.118
ˈæɪ̯	j_ˈuː	0.118
ˈæɪ̯	j_ˈoːu̯	0.118
ˈæɪ̯	j	0.118
d̥	d̥	0.115
ˈɑ	ˈɛ	0.111
t	ʏ_r̥	0.108
ˈoː	r	0.1
k	ʰk	0.1
k	cʰ	0.1
z	s_j	0.091
p	pʰ	0.091
ˈɪ	ˈɪː	0.087
n	nː	0.078
n	-	0.078
d̥	ʏ_r̥	0.077
n	t͡n̥	0.062
d	-	0.057
ɐ	ˈiː_r̥	0.051
ɐ	r_ɪ	0.051
ɐ	a_r̥	0.051
ɐ	a	0.051
ɐ	-	0.051
