Polish	Ukrainian	probability
ʑ	z	1.0
ʐ̊	r	1.0
ɲ_ʨ	tʲ	1.0
ɡ̊	ˈ_ɦ	1.0
ɛ_w̃	ɑ	1.0
ɔ_w̃	u_ˈ	1.0
ŋ_ɡ	ɦʲ	1.0
z	z	1.0
x	x	1.0
w̃	-	1.0
v_j	ʋʲ	1.0
t	t	1.0
s_a	s_ɑ	1.0
s	s	1.0
r	r	1.0
p	p	1.0
m_j	mʲ	1.0
j_ɛ	ɛ_ˈ	1.0
j_a	i	1.0
f_j	ʋʲ	1.0
f	-	1.0
d_w	ɫ	1.0
d	d	1.0
a_r	r	1.0
m	m	0.967
k	k	0.863
b	b	0.815
n	n	0.807
v	ʋ	0.799
ɡ	ɦ	0.753
ɲ	nʲ	0.749
ʥ	d	0.732
ʈ͡ʂ	ʧ	0.719
i	ɪ	0.716
w	ɫ	0.685
l	lʲ	0.659
ʂ	ʃ	0.611
ɕ	sʲ	0.563
ʐ	r	0.545
ʨ	t_e	0.536
j	j	0.536
ɨ	ɪ	0.533
ɔ	ɔ	0.508
ʨ	tʲ	0.464
j	-	0.464
ɕ	s	0.437
a	ɑ	0.436
ɨ	e_j	0.41
ʐ	rʲ	0.392
ʂ	ʃʲ	0.389
ʦ	ʦ	0.369
u	ɔ	0.354
ʦ	ʦʲ	0.348
l	ɫ	0.341
i	e_j	0.284
ʦ	ʧ	0.283
ɛ	i	0.278
ʥ	dʲ	0.268
a	ɐ	0.259
ɲ	n	0.251
a	i_ˈ	0.235
w	-	0.233
u	i	0.209
ɔ	i_ˈ	0.198
ʈ͡ʂ	ʧʲ	0.188
b	bʲ	0.185
ɡ	ɦ_ɔ	0.164
v	w	0.16
ɛ	ɐ	0.159
u	u_ˈ	0.158
ɔ	-	0.148
u	i_ˈ	0.143
u	ʊ	0.137
ɛ	ɔ_ˈ	0.13
n	-	0.122
ɛ	ɛ_ˈ	0.106
ɔ	u_ˈ	0.097
ʈ͡ʂ	ʤ	0.093
k	k_ɔ	0.093
ɡ	-	0.083
n	nʲ	0.071
a	a	0.07
ɛ	-	0.065
ʐ	ʒʲ	0.063
ɛ	ɪ_ˈ	0.061
w	ɔ_ɫ	0.06
ɨ	e_ˈ	0.058
ɛ	ɔ	0.055
ɛ	ɑ	0.053
