Old Frisian	East Franconian	probability
θ	d̥	1.0
ˈi̯uː	ˈaɪ̯	1.0
ˈi̯aː	ˈiː	1.0
ʦ	kʰ	1.0
ɣ_ə	ɣ̊	1.0
ɣ	ŋ	1.0
ɡː	ɡ̊	1.0
ɡ	ɡ̊	1.0
ə_r	ɐ	1.0
ŋ_ɡ	ŋ	1.0
ð	d̥	1.0
tː	ʦ	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
r_ə	ɐ	1.0
r_n	ɐ_n	1.0
r_d	ɐ_d̥	1.0
pː	b̥͡v̥	1.0
nː_ə	n	1.0
n_d	n	1.0
mː	m	1.0
m	m	1.0
lː	l	1.0
l_ə	l	1.0
l	l	1.0
kː	ɡ̊	1.0
k_ˈe	ˈa	1.0
k_s	ɡ̊_s	1.0
j_ə	n	1.0
iː_n	eː	1.0
i	i	1.0
h	h	1.0
f	f	1.0
e	-	1.0
dː	d̥	1.0
d_r	d̥_r	1.0
d	d̥	1.0
bː	ˈaː_m	1.0
b	b̥	1.0
a	n	1.0
w	v	0.925
ˈuː	ˈaʊ̯	0.855
ˈa	ˈɒ	0.831
ˈoː	ˈuː	0.83
ˈiː	ˈaɪ̯	0.794
n	n	0.786
j	-	0.732
d_ə	ɾ	0.689
ˈo	ˈɔ	0.641
z	z̥	0.633
ˈi	ˈɪ	0.632
r	ɐ	0.624
ˈu	ˈʊ	0.602
ə	-	0.589
s	s	0.586
ˈɛː	ˈaː	0.577
p	f	0.574
ˈɔː	ˈoː	0.571
v	β	0.525
x	x	0.517
ˈaː	ˈaː	0.501
x	ç	0.483
v	m	0.475
ˈeː	ˈoː	0.442
ˈɔː	ˈɒ	0.429
p	v̥	0.426
s	ʃ	0.414
ˈe	ˈɛ	0.409
ˈaː	ˈuː	0.373
k	ç	0.368
z	-	0.367
t	s	0.361
ˈɛː	-	0.316
k	x	0.314
d_ə	d̥_n	0.311
r	r	0.303
ˈeː	ˈiː	0.298
ˈeː	-	0.261
ˈu	-	0.257
t	z̥	0.252
ə	n	0.221
n	-	0.214
j	j	0.21
t	d̥	0.208
ˈiː	-	0.206
ˈi	-	0.184
ə	a	0.183
ˈo	ˈʊ	0.181
t	ʦ	0.179
ˈo	-	0.178
ˈoː	-	0.17
k	ŋ	0.168
ˈe	ˈeː	0.167
k	ɡ̊	0.149
ˈuː	ˈʊ_n	0.145
ˈa	ˈoː	0.13
ˈaː	ˈeː	0.126
ˈe	ˈɪ	0.119
ˈi	ˈiː	0.108
ˈɛː	ˈiː	0.107
ˈe	ˈoː	0.1
ˈu	ˈuː	0.087
ˈe	ˈɒ	0.087
ˈi	ˈaɪ̯	0.076
w	-	0.075
r	ˈɘ	0.073
j	ɣ	0.058
ˈu	ˈɔ	0.054
