Latin	Latin	probability
ˈɪ_ɡ	ˈa_j	1.0
ˈɛ_lʲː	ˈɛː	1.0
ˈɔ_n	ˈu_n	1.0
ˈuː_r	ˈiː_r	1.0
ˈu	ˈu	1.0
ˈĩː	ˈi_n	1.0
ˈiː_k	ˈiː	1.0
ˈi	ˈiː	1.0
ˈe	j_ˈɛ	1.0
ˈau̯	ˈa_w	1.0
ˈae̯	ˈiə̯	1.0
ˈa_sː	ˈa_s	1.0
ˈa_p	ˈa	1.0
ʊ̃ː_#>	#>	1.0
ʊ	-	1.0
ɫ_ˈa	l_ˈa	1.0
ɫ_ʊ̃ː_#>	#>	1.0
ɫ_ãː	ə	1.0
ɪ̃	-	1.0
ɪ_d	t	1.0
ɡ_ɛ	ʃ_ə	1.0
ɛ̃ː_#>	#>	1.0
ɛ̃	-	1.0
ɛ_#>	#>	1.0
ŋ_ɡʷ	ŋ	1.0
ŋ_n	ɲ	1.0
ŋ_k	n_ʨ	1.0
ŋ	ŋ	1.0
w_ɛ̃ː_#>	f_#>	1.0
uː	-	1.0
u	-	1.0
tː	t	1.0
tʰ	d	1.0
t_i	ʧ	1.0
t_ãː	d_ə	1.0
sː	s	1.0
s_ˈa	s_ə	1.0
s_k	ʃ	1.0
s_i	ʃ	1.0
s_#>	s_#>	1.0
rː	-	1.0
r_ˈiː	r_ˈiː	1.0
r_n	r_n	1.0
r_ãː	r_ə	1.0
p_ɛ	v	1.0
oː	-	1.0
nː	n	1.0
n_ɛ̃ː_#>	n_#>	1.0
n_ɛ̃ː	w_n	1.0
n_i	ɲ	1.0
n_e	ɲ	1.0
n_a	w_n	1.0
n	n	1.0
m_ɛ̃ː_#>	m_#>	1.0
lʲː	l	1.0
lʲ_i	ʎ	1.0
kː	ʨ	1.0
k_ˈa	ʨ_ˈa	1.0
k_ʊ̃ː	w	1.0
k_ʊ	ʎ	1.0
k_ɛ̃ː_#>	ʃ_#>	1.0
k_r	k_r	1.0
k_i	ʧ	1.0
k_a	ʨ_ə	1.0
ĩː	e_n	1.0
iː	-	1.0
i	-	1.0
f	f	1.0
eː	-	1.0
e	-	1.0
d_ʊ̃ː	t	1.0
bː	p	1.0
ãː_#>	#>	1.0
aː	ə	1.0
a_p	ə_v	1.0
<#_ˈɪ	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɫ	<#_l	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_lʲ	<#_l	1.0
<#_k	<#_ʨ	1.0
<#_j	<#_ʥ	1.0
<#_h	<#	1.0
<#_d	<#_d	1.0
ãː	ə	0.963
r	r	0.934
m	m	0.933
p	p	0.906
ɛ_r	ə_r	0.833
ɫ	l	0.778
w	v	0.759
ɪ	-	0.75
s	s	0.725
ˈoː	ˈu	0.714
k_t	ʨ	0.714
a	ə	0.714
ˈʊ	ˈu	0.684
ˈeː	ˈa_j	0.667
b	b	0.667
k_ʊ̃ː_#>	k_#>	0.6
<#_a	<#	0.6
ˈɛ	ˈɛ	0.588
t	t	0.581
ˈiː	ˈiː	0.55
ɡ	ɡ	0.529
ˈuː	ˈi	0.5
ˈaː	ˈaː	0.5
d	-	0.5
ɛ	ə	0.455
ɔ	u	0.455
ˈiː	ˈi	0.45
ˈa	ˈa	0.444
k	k	0.406
k_ʊ̃ː_#>	#>	0.4
<#_a	<#_ə	0.4
kʷ	ʨ	0.375
kʷ	k	0.375
ˈa	ˈaː	0.37
ɛ	r	0.364
ɔ	-	0.364
ˈɪ	ˈe	0.353
ˈaː	ˈa	0.333
ˈuː	ˈiː	0.3
ɡ	-	0.294
ˈoː	ˈuː	0.286
k_t	ʦ	0.286
d	d	0.286
a	-	0.286
ˈɔ	ˈɔː	0.267
ˈɔ	ˈɔ	0.267
ɪ	i	0.25
kʷ	ʧ	0.25
k	ʧ	0.25
b	v	0.25
s	ʃ	0.225
d	ʥ	0.214
t	d	0.209
ˈuː	-	0.2
ˈeː	ˈe	0.2
ˈa	ˈɔ	0.185
ɛ	e	0.182
ɔ	w	0.182
ˈɪ	ˈɛ	0.176
ˈɪ	ˈeː	0.176
ˈɪ	ˈa_j	0.176
ˈɛ	ˈɛː	0.176
ɡ	ʥ	0.176
ɛ_r	r	0.167
t	-	0.163
ˈʊ	ˈuː	0.158
ˈʊ	-	0.158
ˈeː	-	0.133
ˈɪ	j	0.118
w	-	0.103
ˈɔ	ˈuː	0.1
ˈɔ	ˈu	0.1
ˈɔ	ˈo	0.1
ˈɔ	j_ˈɛ	0.1
ˈaː	ˈa_w	0.1
p	-	0.094
k	ʨ	0.094
ˈɛ	ˈiə̯	0.088
ˈɛ	-	0.088
ɫ	ʎ	0.083
ɫ	w	0.083
b	-	0.083
w	ˈɔ_f	0.069
w	ʒ	0.069
ˈɔ	ˈɛ	0.067
ˈaː	ˈɔ	0.067
m	-	0.067
k	ʃ	0.062
k	ɡ	0.062
k	j	0.062
k	-	0.062
ˈɛ	j	0.059
ɫ	-	0.056
