West Frisian	Dutch	probability
b	b	0.952
b	-	0.054
d	d	1.0
f	v	0.79
f	f	0.157
f	-	0.043
h	ɦ	0.953
h	-	0.053
j	-	0.535
j	j	0.114
j	ˈɛi̯	0.101
j	w	0.077
j	ˈɔ	0.077
j_ˈuə̯	ˈyː	0.27
j_ˈɔ	ˈɪ	0.343
j_ˈɔ	ˈɛ	0.343
j_ˈɛ	ˈɛ	1.0
j_ˈɪ	ˈi	1.0
k	k	0.606
k	-	0.223
k	χ	0.167
l	ɫ	0.895
l	l	0.069
l_v	l	1.0
m	m	1.0
n	n	0.821
n	n_t	0.104
n	ɾ_n	0.039
p	p	1.0
r	ɾ	1.0
s	s	0.673
s	z	0.282
s	ɾ_s	0.046
t	t	0.857
t	d	0.076
t	ɾ_t	0.066
v	ʋ	0.659
v	v	0.174
v	-	0.1
v	b	0.063
z	s	0.37
z	z	0.291
z	χ	0.124
ŋ	ŋ	0.926
ŋ	n	0.077
ɕ	z	1.0
ə	ə	0.648
ə	-	0.332
ɡ	χ	1.0
ɣ	χ	1.0
ɪ	ɪ	0.784
ɪ	ə	0.14
ʋ	ʋ	1.0
ʦ	k	0.85
ʦ	t	0.09
ʦ_j	d	1.0
ˈa	ˈɑ	0.683
ˈa	ˈɛ	0.144
ˈa	ˈaː	0.122
ˈa	ˈeː	0.055
ˈaː	ˈaː	0.36
ˈaː	ˈeː	0.241
ˈaː	ˈɑ	0.241
ˈaː	ˈoː	0.082
ˈaː	-	0.068
ˈeː	ˈeː	0.484
ˈeː	ˈi	0.242
ˈeː	ˈoː	0.207
ˈi	ˈɛi̯	0.518
ˈi	ˈɪ	0.251
ˈi	ˈeː	0.172
ˈiə̯	ˈaː	0.333
ˈiə̯	ˈeː	0.254
ˈiə̯	ˈi	0.228
ˈiə̯	ˈu	0.174
ˈiː	ˈɛi̯	0.718
ˈiː	ˈaː	0.117
ˈiː	ˈɪ	0.092
ˈiː	ˈɑ	0.072
ˈoə̯	ˈɔ	0.351
ˈoə̯	ˈoː_ɾ	0.221
ˈoə̯	ˈoː	0.168
ˈoə̯	ˈøː	0.127
ˈoə̯	ˈaː	0.074
ˈoː	ˈu	1.0
ˈu	ˈɔ	0.74
ˈu	ˈoː	0.151
ˈuə̯	ˈu	0.549
ˈuə̯	ˈu_d	0.194
ˈuə̯	ˈoː	0.194
ˈuə̯	ˈɑ	0.057
ˈuː	ˈœy̯	0.569
ˈuː	ˈoː	0.159
ˈuː	-	0.135
ˈuː	ˈɔ	0.111
ˈy	ˈoː	1.0
ˈyː	ˈœy̯	0.683
ˈyː	ˈɔ	0.234
ˈø	ˈaː	0.803
ˈø	ˈʏ	0.098
ˈøə̯	ˈi	0.519
ˈɔ	ˈɔ	0.666
ˈɔ	ˈɪ	0.125
ˈɔ	ʋ	0.072
ˈɔ	ˈɛ	0.072
ˈɔ	ˈeː	0.061
ˈɔu̯	ˈɑu̯	0.343
ˈɔu̯	ˈi	0.343
ˈɔː	ˈɑu̯	0.432
ˈɔː	ˈɑ	0.367
ˈɔː	ˈeː	0.133
ˈɛ	ˈɛ	0.412
ˈɛ	ˈi	0.175
ˈɛ	ˈeː	0.13
ˈɛ	ˈaː	0.12
ˈɛ	ˈoː	0.12
ˈɛ_j	ˈɛi̯	0.683
ˈɛ_j	ˈi	0.234
ˈɛi̯	ˈɛ	0.247
ˈɛi̯	ˈɑ	0.187
ˈɛi̯	ˈɛi̯	0.139
ˈɛi̯	ˈeː	0.134
ˈɛi̯	ˈɪ	0.128
ˈɛː	ˈɑ	0.727
ˈɛː	ˈʏ	0.229
ˈɛː	ˈeː	0.053
ˈɪ	ˈɪ	0.423
ˈɪ	ˈɛ	0.24
ˈɪ	ˈʏ	0.113
ˈɪ	-	0.051
ˈɪ	ˈɑ	0.051
ˈɪ_r	ɾ	1.0
ˈɪə̯	ˈoː	0.443
ˈɪə̯	ˈeː	0.171
ˈɪə̯	ˈɑ	0.134
ˈɪə̯	ˈoː_t	0.088
ˈɪə̯	ˈi	0.088
ˈɵ	ˈu	1.0
χ	χ	0.86
χ	-	0.07
χ	ŋ	0.07
