Occitan	Brazilian Portuguese	probability
<#_b	<#_b	1.0
<#_d	<#_d	1.0
<#_e	<#_e	1.0
<#_k	<#_k	1.0
<#_l	<#_l	1.0
<#_m	<#_m	1.0
<#_n	<#_n	1.0
<#_r	<#_h	1.0
<#_s	<#_s	1.0
<#_t	<#_t	1.0
<#_u	<#_o	1.0
<#_v	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɥ	<#_ˈo	1.0
<#_ʤ	<#_ʒ	1.0
a_ð	a_d	1.0
i_#>	u	1.0
j_#>	j_#>	1.0
k_l	<#_ʃ	1.0
m	m	1.0
m_#>	m_i_#>	1.0
m_b	b	1.0
n_#>	t_u_#>	1.0
n_t	t	1.0
r_#>	ɾ_u_#>	1.0
r_k	h_k	1.0
r_s	s	1.0
s_#>	ʃ_#>	1.0
s_k	s_k	1.0
s_p	ʃ_p	1.0
s_t	ʃ_t	1.0
t_#>	d_u_#>	1.0
u_n	õ	1.0
v	v	1.0
ð	d	1.0
ŋ	-	1.0
ɔ	-	1.0
ɔ_#>	ɐ_#>	1.0
ɡ	ɡ_w	1.0
ɣ	ɡ	1.0
ɥ	-	1.0
ɥ_ˈɛ	ˈo	1.0
ɲ	j̃	1.0
ɲ_#>	j̃_u_#>	1.0
ʎ	ʎ	1.0
ʤ	ʒ	1.0
ʦ	s	1.0
ʦ_#>	j_ʃ_#>	1.0
ʧ_#>	t_u_#>	1.0
ˈa_j	a	1.0
ˈa_l	ˈa_w	1.0
ˈa_n	ˈɐ̃_#>	1.0
ˈa_ŋ	ˈɐ̃	1.0
ˈa_ɲ	ˈɐ̃_j̃	1.0
ˈa_β	ˈa_b	1.0
ˈe_k	ˈe_k	1.0
ˈe_l	ˈe_l	1.0
ˈi_l	ˈi_l	1.0
ˈi_n	ˈĩ_j̃	1.0
ˈɔ_r	ˈɔ_h	1.0
β_ɾ	b_ɾ	1.0
#>	h_#>	0.081
#>	j̃_#>	0.081
j_ˈɛ	ˈe_j	0.571
w	-	0.111
w	b	0.111
ɾ	ˈe	0.091
ˈe	-	0.071
ˈi	ˈu	0.071
ˈi	ˈĩ_j̃	0.071
ˈi	ˈẽ	0.071
ˈu	ˈu	0.161
ˈy	ˈu	0.611
<#_ˈa	<#_ˈɐ̃	0.222
<#_ˈa	<#_ˈo	0.222
n	-	0.412
ˈa	ˈɐ̃	0.2
ˈa_#>	ˈɐ̃_w̃_#>	0.292
<#_f	<#_f	0.913
e	-	0.143
j	-	0.583
l_#>	l_u_#>	0.333
l_#>	w_#>	0.333
r	ɦ_n	0.3
u	u	0.133
ˈɛ	ˈẽ	0.233
ˈɛ	ˈɛ	0.633
β	b	0.273
<#_a	<#	0.4
e	e	0.464
k	k	0.444
t	t	0.524
z	z	0.714
ˈe	ˈe	0.714
ˈu	ˈo	0.484
ˈu_#>	ˈõ_#>	0.4
ˈu_n	ˈõ	0.4
#>	u_#>	0.535
<#_p	<#	0.125
<#_p	<#_p	0.875
a	ɐ̃	0.125
a	ɐ	0.125
a	a	0.75
d	ʤ	0.5
d	-	0.5
i	i	0.5
i	ĩ	0.5
l_#>	u_#>	0.095
n	n	0.235
n	ʧ	0.235
s	ʃ	0.35
s	s	0.65
t	-	0.095
w	v	0.5
w_#>	w_#>	0.5
w_#>	u_#>	0.5
ʧ	j_t	0.5
ʧ	j_ʧ	0.5
ˈa	ˈɔ	0.075
ˈa	ˈa	0.675
ˈa_w	ˈo_w	0.5
ˈa_w	ˈo_j	0.5
ˈi_#>	ˈi_h_#>	0.5
ˈi_#>	h_#>	0.5
ˈɔ	ˈo	0.545
ˈɛ_l	ˈɛ_l	0.5
ˈɛ_l	ʎ_u	0.5
<#_a	<#_a	0.6
<#_ˈa	<#_ˈa	0.556
e_#>	h_#>	0.36
k	ɡ	0.556
l	ʃ	0.316
u	o	0.6
z	-	0.286
ˈu_#>	ˈɐ̃_w̃_#>	0.6
ˈu_n	ˈo	0.6
ˈɔ	ˈõ	0.136
<#_f	<#	0.087
e	ˈe	0.107
e	ẽ	0.107
j	j	0.417
r	ɦ	0.7
u	-	0.267
ˈe	ˈẽ	0.107
ˈe	ˈe_j	0.107
ˈi	ˈi	0.607
ˈu	ˈõ	0.097
ˈɛ	ˈe	0.067
ˈɛ	-	0.067
β	v	0.727
e_#>	ˈe_h_#>	0.08
e_#>	i_#>	0.28
e_#>	u_#>	0.28
l	ɾ	0.158
l	l	0.158
l	-	0.368
l_#>	ʎ_u_#>	0.238
n	j̃	0.118
w	w	0.278
ˈa_#>	ˈa_h_#>	0.708
ˈu	ˈɔ	0.258
ˈɔ	ˈɔ	0.318
#>	i_#>	0.279
e	i	0.179
j_ˈɛ	ˈe	0.429
t	ʤ	0.19
t	ʧ	0.19
ɾ	-	0.159
ɾ	ɾ	0.659
ˈi	ˈĩ	0.179
ˈy	ˈũ	0.389
