Venetian	Latin	probability
b	b	1.0
f	f	1.0
i	ˈiː	0.061
i	ɛ	0.061
j	l	0.071
o	lʲː_ʊ̃ː	0.051
o	ʊ̃ː	0.51
v	b	0.101
z	k	0.281
ˈe	ˈɛ	0.231
ˈe	ˈɪ	0.271
ˈo	ˈʊ	0.241
j	ɫ	0.232
l	l	0.142
t	tː	0.092
w	-	0.262
z	j	0.052
ɲ	ɡ_n	0.122
ʤ	lʲ	0.632
ˈa	ˈaː	0.462
ˈe	l_ˈɪ	0.092
ˈi	ˈɛ	0.062
e	ɛ	0.313
j	i	0.153
k	kʷ	0.063
k	kː	0.163
w	kʷ	0.493
ŋ	m	0.073
ɡ	k	0.663
ˈa	ˈa	0.473
ˈo	oː	0.053
ˈu	ˈʊ	0.203
ˈu	ˈuː	0.543
ˈɔ	ˈau̯	0.183
a	ãː	0.604
e	ɪ	0.144
i	oː	0.254
i	iː	0.534
j	ˈae̯	0.064
j	ʊ_ɫ	0.14
k	-	0.074
o	oː	0.054
t	k_t	0.14
u	au̯	0.644
ŋ	ŋ	0.214
ʧ	k	0.794
ˈɔ	ˈʊ	0.064
d	tʰ	0.075
d	d	0.765
j	o	0.05
m	m	0.915
n	n	0.935
p	-	0.065
p	p	0.935
ŋ	n	0.625
ˈi	ˈiː	0.735
ˈɔ	h_ˈɔ	0.05
a	a	0.126
d	t	0.146
m	mː	0.066
o	ʊ	0.096
s	k	0.186
s	s	0.606
t	t	0.676
u	a	0.356
v	w	0.686
w	ɪ	0.056
ˈe	-	0.06
ˈɛ	ˈeː	0.136
ˈɛ	ˈɛ	0.746
k	k	0.7
v	p	0.167
ɡ	ɡ	0.257
ɰ	l	0.057
ʧ	-	0.117
ˈe	ˈeː	0.217
ˈɔ	ˈɔ	0.57
a	ɛ	0.068
e	ɛ̃ː	0.378
l	ɫ	0.688
s	t	0.098
w	aː	0.178
z	s	0.148
z	ɡ	0.428
ŋ	-	0.088
ɲ	n	0.878
ʤ	ɡ	0.368
ˈo	ˈɔ	0.278
j	-	0.199
l	r	0.129
o	ɔ	0.079
r	r	0.929
t	p_t	0.059
ɰ	ɫ	0.859
ʧ	t	0.089
ˈo	ˈoː	0.339
ˈu	ˈɛ	0.059
ˈu	ˈoː	0.129
