French	Romansch	probability
a	ə	0.356
a	j	0.274
a	ˈa	0.153
a	-	0.111
b	b	0.902
b	v	0.073
d	d	0.888
d	n_d	0.112
e	ˈaː	0.314
e	-	0.313
e	ˈa	0.24
e	ˈeː	0.108
f	f	0.985
i	ˈi	0.531
i	-	0.107
i	ˈɛ	0.095
i	ˈiː	0.094
i	j	0.064
j	ʎ	0.391
j	j	0.199
j	ˈɛ	0.157
j	w	0.095
j	-	0.064
j	ˈi	0.064
k	k	0.632
k	ʨ	0.266
k	ʃ_k	0.103
l	l	0.91
m	m	0.934
m	-	0.055
n	n	0.858
n	-	0.05
n	ə_n	0.05
o	ˈɛ	0.536
o	ˈɔ	0.288
o	w	0.129
p	p	0.853
p	ʃ_p	0.128
s	s	0.651
s	ʧ	0.245
t	t	0.678
t	s_t	0.099
t	ʃ	0.097
t	ʦː	0.077
u	ˈu	0.831
u	u	0.084
u	ˈi	0.055
v	v	0.904
w	ˈa	0.448
w	ˈe	0.185
w	-	0.116
w	ˈu	0.112
w	ˈi	0.052
y	ˈi	0.609
y	ˈiː	0.112
y	ˈu	0.109
y	ˈuː	0.102
z	ʃ	0.851
z	ʧ	0.111
ø	ʎ	0.331
ø	ˈɛ	0.331
ø	j_ˈɛ	0.142
ø	ˈu	0.078
ø	ˈe	0.051
œ	ˈe	0.223
œ	ˈu	0.189
œ	ˈɔ	0.185
œ	ˈuː	0.17
œ	ˈɛ	0.122
œ	ˈoː	0.112
ɑ̃	ˈɛ	0.444
ɑ̃	ˈa	0.246
ɑ̃	ˈɔ	0.154
ɑ̃	m	0.053
ɔ	ˈɔ	0.234
ɔ	ˈu	0.21
ɔ	ˈɔː	0.162
ɔ	u	0.136
ɔ	o	0.11
ɔ	ə	0.061
ɔ	w	0.056
ɔ̃	ˈu	0.775
ɔ̃	-	0.095
ɔ̃	ˈa	0.077
ɔ̃	u	0.053
ə	ə	0.796
ə	-	0.085
ə	ˈeː	0.062
ə	ˈa	0.056
ɛ	ˈa	0.327
ɛ	ˈe	0.121
ɛ	ˈaː	0.115
ɛ	ə	0.092
ɛ	ˈɛ	0.074
ɛ	ˈɛː	0.07
ɛ	ˈeː	0.064
ɛ	-	0.063
ɛ̃	n	0.269
ɛ̃	ˈi	0.205
ɛ̃	ɲ	0.157
ɛ̃	w	0.134
ɛ̃	ˈa	0.099
ɛ̃	ˈɔ	0.075
ɛ̃	u	0.061
ɡ	ɡ	0.979
ɥ	-	0.344
ɥ	ˈo	0.198
ɥ	ˈɔ	0.169
ɥ	w	0.102
ɥ	ˈi	0.094
ɥ	ˈu	0.094
ɲ	ɲ	1.0
ʁ	r	0.958
ʃ	ʨ	0.927
ʒ	ʥ	0.446
ʒ	ʃ	0.187
ʒ	d	0.154
ʒ	m	0.09
ʒ	l	0.075
