Italian	Romansch	probability
b	b	1.0
f	f	1.0
lː	l	1.0
m	m	1.0
nː	n	1.0
tː	t	1.0
z	s	1.0
ŋ	ŋ	1.0
ɲː	ɲ	1.0
ʎː	ʎ	1.0
ʧː	ʧ	1.0
kː	-	0.151
n	n	0.951
t	-	0.081
v	f	0.111
ɡ	ɡ	0.561
ʧ	ʧ	0.751
ˈe	ˈa_j	0.601
ˈɔ	ˈɔ	0.201
d	-	0.342
e	ə	0.562
j	l	0.562
o	o	0.102
s	ʃ	0.182
ˈa	ˈa	0.352
ˈu	ˈu	0.512
ˈɔ	ˈɔː	0.432
a	ə	0.913
i	-	0.623
o	u	0.543
r	r	0.853
ʤ	ʥ	0.153
ˈe	ˈe	0.283
ˈɔ	-	0.083
ˈɛ	ˈɛː	0.093
k	k	0.334
t	d	0.324
w	-	0.774
ˈɔ	ˈo	0.074
ˈɛ	ˈiə̯	0.104
ˈɛ	j	0.124
l	-	0.115
ˈa	-	0.095
ˈa	ˈɔ	0.125
ˈo	ˈuː	0.255
ˈo	ˈu	0.745
d	t	0.06
l	l	0.876
p	-	0.096
p	p	0.716
w	w	0.226
ˈi	ˈi	0.396
a	-	0.087
i	ə	0.377
o	-	0.167
r	ə_r	0.117
t	t	0.57
ʤ	ʃ	0.847
ˈe	ˈeː	0.117
ˈu	ˈi	0.297
d	d	0.598
j	-	0.438
k	-	0.158
k	ʨ	0.508
o	w	0.188
s	s	0.818
ˈi	ˈiː	0.558
e	ˈe	0.069
e	-	0.369
kː	ʨ	0.849
p	v	0.189
v	v	0.889
ɡ	-	0.439
ʧ	ʃ	0.249
ˈa	ˈa_w	0.09
ˈa	ˈaː	0.339
ˈu	ˈiː	0.19
ˈɔ	ˈa_w	0.209
ˈɛ	ˈɛ	0.679
