Proto-Germanic	American English	probability
a	-	1.0
b	b	0.946
d	d	1.0
e	ɚ	1.0
i	-	0.723
i	ɚ	0.186
iː	ɪ	0.517
iː	-	0.483
j	-	0.937
j	j	0.058
jː	ɡ	1.0
k	k	0.401
k	ʧ	0.376
k	kʰ	0.164
k	-	0.059
kʷ	k	0.626
kʷ	kʰ	0.374
kː	k	1.0
l	l	0.479
l	ɫ	0.303
l	-	0.218
lː	ˈʊ	0.602
lː	ɫ	0.398
m	m	0.912
m	-	0.06
mː	m	1.0
n	n	0.581
n	-	0.387
nː	n	1.0
p	p	1.0
r	ɹ	0.739
r	ɚ	0.143
r	-	0.117
s	s	0.906
s	z	0.078
sː	s	1.0
t	t	0.662
t	tʰ	0.194
t	ɾ	0.144
u	-	0.829
u	ə	0.134
w	w	0.704
w	-	0.235
wː	ˈaʊ̯	1.0
x	h	0.623
x	-	0.23
x	k	0.062
xʷ	w	0.903
xʷ	-	0.097
z	-	1.0
ð	ð	0.438
ð	-	0.302
ð	d	0.26
ŋ	ŋ	0.837
ŋ	n	0.106
ŋ	-	0.056
ɑ	-	0.942
ɑi̯	ˈɛ	1.0
ɑː	oʊ̯	1.0
ɑ̃	-	0.973
ɔː	-	0.411
ɔː	ɚ	0.303
ɔː	ɫ	0.285
ɔːu̯	-	1.0
ɔːː	ɚ	1.0
ɔ̃ː	-	1.0
ɛː	ɚ	1.0
ɡ	-	0.706
ɡ	ɡ	0.294
ɡʷ	-	1.0
ɣ	-	0.534
ɣ	ɡ	0.357
ɣ	f	0.075
ɸ	f	0.855
ɸ	v	0.091
ˈe	ˈɛ	0.29
ˈe	ˈɔ	0.185
ˈe	ˈɑ	0.136
ˈe	ˈɪ	0.117
ˈe	ˈaɪ̯	0.097
ˈe	ˈi	0.092
ˈe	ˈæ	0.052
ˈeu̯	ˈi	0.529
ˈeu̯	ˈaɪ̯	0.157
ˈeu̯	ˈɛ	0.157
ˈeu̯	ˈɪ	0.157
ˈeː	ˈi	1.0
ˈi	ˈɪ	0.647
ˈi	ˈaɪ̯	0.192
ˈi	ˈɛ	0.07
ˈi	ˈi	0.066
ˈiu̯	ˈi	0.635
ˈiu̯	ˈu	0.311
ˈiu̯	ˈɪ	0.054
ˈiː	ˈaɪ̯	0.925
ˈiː	ˈɪ	0.075
ˈĩː	ˈaɪ̯	1.0
ˈu	ˈʌ	0.379
ˈu	ˈɔ	0.229
ˈu	ˈɪ	0.173
ˈu	ˈaʊ̯	0.072
ˈu	-	0.066
ˈuː	ˈaʊ̯	0.714
ˈuː	ˈaɪ̯	0.286
ˈɑ	ˈæ	0.337
ˈɑ	ˈeɪ̯	0.154
ˈɑ	ˈɑ	0.112
ˈɑ	ˈɛ	0.112
ˈɑ	ˈɔ	0.085
ˈɑ	ˈi	0.064
ˈɑ	ˈoʊ̯	0.05
ˈɑi̯	ˈoʊ̯	0.712
ˈɑi̯	-	0.085
ˈɑi̯	ˈɑ	0.07
ˈɑi̯	ˈɛ	0.053
ˈɑi̯	w	0.051
ˈɑu̯	ˈi	0.64
ˈɑu̯	ˈɛ	0.267
ˈɑu̯	ˈeɪ̯	0.052
ˈɔ	ˈi	1.0
ˈɔː	ˈi	0.292
ˈɔː	ˈu	0.276
ˈɔː	ˈʊ	0.18
ˈɔː	ˈʌ	0.166
ˈɔː	ˈɛ	0.051
ˈɛː	ˈi	0.537
ˈɛː	ˈu	0.295
ˈɛː	ˈɛ	0.168
β	v	0.937
β	-	0.063
θ	θ	0.682
θ	ð	0.231
θ	d	0.086
