Franco-Provençal	Catalan	probability
a	ə	0.936
b	b	0.712
b	β	0.132
b	k	0.066
b	-	0.057
b	p	0.051
d	d	0.778
d	-	0.117
d	s	0.064
d	ʒ	0.051
e	ə_s	0.675
e	ə	0.208
e	i	0.089
eː	ə	0.784
eː	j	0.139
f	f	0.849
f	w	0.103
i	ə	0.506
i	i	0.301
i	ˈa	0.173
ĩ	i	0.342
ĩ	m	0.342
j	-	0.444
j	ˈe	0.173
j	ʎ	0.086
j	i	0.066
j	t	0.063
j	u_ð	0.059
j	j	0.055
j	ˈi	0.052
j_ˈɔ̃	ˈo	1.0
j_ˈɛ	ˈɛ	0.623
j_ˈɛ	ˈa	0.349
k	k	1.0
l	l	0.491
l	ʎ	0.468
m	m	0.929
m_j	m	1.0
n	n	0.854
n	-	0.083
o	ə	0.501
o	u	0.25
o	-	0.17
p	p	0.992
p_j	p	1.0
s	s	0.93
t	t	0.478
t	s_t	0.188
t	n_t	0.075
t	k	0.065
t	t_ˈi	0.065
u	ˈu	0.415
u	u	0.375
v	b	0.571
v	β	0.323
w	-	0.425
w	w	0.208
w	ˈu	0.192
y	-	1.0
z	-	0.263
z	ʧ	0.18
z	s	0.156
z	z	0.156
z	ɾ	0.107
z_ˈĩ	ˈi	1.0
ð	ʒ	0.277
ð	ɾ	0.271
ð	ʤ	0.189
ð	-	0.165
ð	β	0.078
ɔ	u	0.654
ɔ	ə	0.175
ɔ	ˈɔ	0.107
ɔ̃	u	0.758
ɔ̃	-	0.106
ə	ə	0.835
ə	-	0.111
ɛ	i	0.342
ɛ	ə	0.177
ɛ̃	n	0.518
ɡ	ɡ	0.711
ɡ	ɣ	0.157
ɡ	k	0.119
ɲ	ɲ	0.822
ɲ	n	0.124
ʁ	ɾ	0.479
ʁ	-	0.22
ʁ	r	0.19
ʁ_b	β	0.518
ʃ	k	0.563
ʃ	-	0.246
ʃ	s	0.127
ʃ_j	k	0.139
ʎ	ʎ	0.888
ʎ	l	0.109
ʒ	ʒ	0.775
ʒ	b	0.082
ʒ	d	0.082
ʒ	ʤ	0.069
ʦ	w	1.0
ˈa	ˈa	0.783
ˈa	ˈɔ_k	0.061
ˈe	ˈi	0.211
ˈe	ˈɔ	0.17
ˈe	-	0.142
ˈe	ˈo	0.092
ˈe	ɾ	0.083
ˈe	ˈe	0.083
ˈe	ˈɛ	0.071
ˈe	ˈɔ_k	0.069
ˈe	ˈu	0.058
ˈeː	ˈɛ	0.523
ˈeː	ˈe	0.128
ˈeː	ˈa	0.122
ˈeː	ˈi	0.093
ˈeː	-	0.061
ˈeː	j	0.055
ˈeː_ʁ	ˈɛ	1.0
ˈi	ˈi	0.529
ˈi	ˈɛ	0.193
ˈi	ˈe	0.12
ˈi	j	0.051
ˈi	ə	0.051
ˈi	ˈa	0.051
ˈĩ	ˈi	0.631
ˈĩ	ɲ	0.234
ˈĩ	ˈa	0.103
ˈo	ˈo	0.543
ˈo	ˈɔ	0.246
ˈo	ˈu	0.109
ˈo	ˈɛ	0.082
ˈoː	ˈɔ	0.448
ˈoː	ˈa_l	0.23
ˈoː	ˈu	0.129
ˈoː	ˈo	0.074
ˈoː	-	0.065
ˈoː	ˈɔ_s	0.056
ˈu	ˈu	0.315
ˈu	ˈɔ	0.239
ˈu	ˈo	0.226
ˈu	ˈu_t	0.091
ˈu	u	0.087
ˈy	ˈo	1.0
ˈø	ˈɔ	0.552
ˈø	ˈo	0.303
ˈø	-	0.124
ˈɑ̃	ˈa	0.485
ˈɑ̃	ˈa_ɲ	0.197
ˈɑ̃	ˈa_m	0.172
ˈɑ̃	ˈa_n	0.13
ˈɔ	ˈa	0.5
ˈɔ	ˈɔ	0.156
ˈɔ	ˈo	0.081
ˈɔ	ˈe	0.061
ˈɔ	ˈɛ	0.061
ˈɔ	ˈi	0.055
ˈɔ̃	ˈo	0.259
ˈɔ̃	ˈɔ_n	0.259
ˈɔ̃	ˈɔ	0.146
ˈɔ̃	-	0.11
ˈɔ̃	ŋ	0.097
ˈɔ̃	ˈu	0.088
ˈɛ	ˈe	0.359
ˈɛ	ˈɛ	0.224
ˈɛ	ˈa	0.115
ˈɛ	-	0.095
ˈɛ	ˈi	0.093
ˈɛː	ˈa	0.204
ˈɛː	ˈɛ	0.204
ˈɛ̃	ˈe_n	0.327
ˈɛ̃	ɲ	0.114
ˈɛ̃	ˈɛ	0.099
ˈɛ̃	u	0.08
ˈɛ̃	ˈa_ɲ	0.08
ˈɛ̃	ˈe	0.08
ˈɛ̃	ˈi	0.08
ˈɛ̃	n	0.078
ˈɛ̃	ŋ	0.054
