Romagnol	Romagnol	probability
ˈɛ̃	ˈɛ̃	1.0
ˈɛə̯_s	ˈe	1.0
ˈɛ_n	ˈɛ̃	1.0
ˈɛ_k	ˈɛ_t	1.0
ˈɛ_#>	ˈɛː_#>	1.0
ˈɔ_s	ˈoː	1.0
ˈu_ɡ	w_ˈa	1.0
ˈu	ˈu	1.0
ˈõũ̯	ˈɔ̃	1.0
ˈou̯_r	ˈy	1.0
ˈẽ_n	ˈɛ̃	1.0
ˈẽ_j̃	ˈĩ	1.0
ˈeː_t_ɐ_r_#>	#>	1.0
ˈeə̯_l	ˈoː	1.0
ˈeə̯_#>	ˈa_#>	1.0
ˈe	ˈɛ	1.0
ˈaː	ʎ_ˈa	1.0
ˈa_t	ˈa	1.0
ʤ	-	1.0
ɐ_s	ɑː	1.0
ɐ_r	ʁ_o	1.0
ɐ_n	ɑ̃	1.0
ŋ	-	1.0
ð	ð	1.0
z_#>	ˈe_ʃ_#>	1.0
u_j	ˈo	1.0
t_#>	#>	1.0
s_#>	#>	1.0
r_θ	ʁ_s	1.0
r_ɐ	ʁ_a	1.0
r_t	ʁ	1.0
r_#>	#>	1.0
p_#>	#>	1.0
p	p	1.0
n_t_#>	#>	1.0
k_ɐ	ʃ	1.0
k_v	k_w	1.0
i	-	1.0
f	f	1.0
e	ˈɛː	1.0
d_#>	#>	1.0
a	-	1.0
<#_ˈɔə̯	<#_w	1.0
<#_ɡ	<#_ɡ	1.0
<#_ð	<#_ð	1.0
<#_t	<#_t	1.0
<#_r	<#_ʁ	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
<#	<#_a	1.0
b	b	0.864
m	m	0.857
v	v	0.848
s	s	0.821
ɐ_#>	#>	0.818
d	-	0.8
l	l	0.786
ɡ	-	0.778
t	t	0.773
l_#>	l_#>	0.737
ʧ	ʎ	0.714
r	ʁ	0.714
θ	s	0.667
ɲ	ɲ	0.667
ˈẽ	-	0.6
v_#>	f_#>	0.6
n	n	0.567
ˈʌ̃	ˈɑ̃	0.542
ɐ	a	0.532
ˈɛə̯	ˈe	0.5
ˈi	ˈi	0.5
ˈa	ˈa	0.5
ˈa	-	0.5
ˈeː	ˈɛː	0.455
k	ʃ	0.455
ˈɔ	w_ˈe	0.444
k	k	0.424
ˈou̯	-	0.4
ˈẽ	ˈɛ̃	0.4
z	-	0.4
v_#>	#>	0.4
u	o	0.385
j	l	0.375
ˈɛ	ˈi	0.368
ˈeə̯	ˈaː	0.368
ˈɔə̯	ˈoː	0.353
ˈɔ	ˈu	0.333
ɲ	ˈɛ̃	0.333
n	-	0.333
z	ʃ	0.3
z	z	0.3
ʧ	k	0.286
ˈo	w	0.278
ˈo	-	0.278
ɐ	ə	0.273
ˈou̯	w	0.267
ˈɛ	ˈɛ	0.263
l_#>	#>	0.263
#>	ə_#>	0.258
#>	o_#>	0.258
ˈʌ̃	ˈa	0.25
j	ʎ	0.25
j	j	0.25
r	ð	0.238
u	ɔ	0.231
t	-	0.227
ˈɔ	-	0.222
ˈo	ˈo	0.222
ɡ	ɡ	0.222
l	-	0.214
ˈɛ	-	0.211
ˈʌ̃	-	0.208
ˈou̯	w_ˈɛː	0.2
d	d	0.2
ˈɛə̯	ˈɛ	0.188
ˈɛə̯	-	0.188
ˈi	j	0.182
ˈi	-	0.182
ˈeː	ˈɛː_ð	0.182
ˈeː	ˈe	0.182
ˈeː	j_ˈe	0.182
ɐ_#>	ˈɛ_#>	0.182
s	e	0.179
ˈɔə̯	ˈø	0.176
#>	ʁ_#>	0.161
ˈɛ	ˈɛː	0.158
ˈeə̯	ˈe	0.158
ˈeə̯	ˈa	0.158
u	u	0.154
u	-	0.154
v	-	0.152
m	-	0.143
ˈi	ˈe	0.136
b	-	0.136
θ	ʃ	0.133
θ	-	0.133
ˈou̯	ˈɔ	0.133
#>	ˈe_#>	0.129
ˈɛə̯	ˈɛː	0.125
j	-	0.125
k	-	0.121
ˈɔə̯	ˈɔ	0.118
ˈɔə̯	ˈu	0.118
ˈɔə̯	w	0.118
ˈɔə̯	-	0.118
ˈo	ˈɔ	0.111
ˈo	u	0.111
ˈeə̯	ˈɛː	0.105
ˈeə̯	j_ˈe	0.105
ˈeə̯	-	0.105
n	ˈɛ̃	0.1
#>	ʃ_#>	0.097
#>	a_#>	0.097
u	y	0.077
θ	ʦ	0.067
ɐ	i	0.052
ɐ	-	0.052
