Swiss German	Swiss German	probability
χː_ə	ɡ	1.0
χː_tː	ç	1.0
χː_sː	s	1.0
ˈɒ_r	ˈaː	1.0
ˈɒ_l	ˈaː	1.0
ˈøː	ˈɔʏ̯	1.0
ˈøi̯	-	1.0
ˈø	-	1.0
ˈæː	-	1.0
ˈyə̯	ˈɔʏ̯	1.0
ˈuː	ˈuː	1.0
ˈu_r	ˈɔː	1.0
ˈiː_ʦ	aɪ̯	1.0
ˈei̯	ˈiː	1.0
ˈe	-	1.0
ʦ_#>	#>	1.0
ʋ_ˈy	v	1.0
ʋ	v	1.0
ʃː_tː	s	1.0
ʃː	ʃ	1.0
ɣ̊	kʰ	1.0
ɡ̊_ə	ŋ	1.0
ɡ̊_r	ɡ_r	1.0
ə_r	ɐ	1.0
ŋ_#>	n_d_#>	1.0
ŋ	ŋ	1.0
æ	n	1.0
z̥_#>	z̥_#>	1.0
z̥	z	1.0
w	l	1.0
v̥	f	1.0
tː_ə	d_n	1.0
tː_r	d_r	1.0
sː_ə	d_n	1.0
r_ə	ə	1.0
p͡f_#>	b_#>	1.0
p͡f	pʰ	1.0
pː	p	1.0
n_ə	n	1.0
n_d̥	n	1.0
n	n	1.0
m_ə	m	1.0
m	m	1.0
l_ə	l	1.0
l_d̥	l_d	1.0
l	l	1.0
j	ʒ	1.0
h	h	1.0
d̥	d	1.0
b̥_ə	m	1.0
<#_ɡ̊	<#	1.0
<#_r	<#_r	1.0
#>	n_#>	1.0
b̥	b	0.95
ʒ̊	ʃ	0.895
ˈuə̯	ˈaʊ̯	0.818
ˈiː	ˈiː	0.818
ˈi	ˈɪ	0.783
ʦ	tʰ	0.75
ɡ̊_#>	ç_#>	0.75
ɡ̊	ɡ	0.75
tː	d	0.75
sː	d	0.733
ˈau̯	ˈaʊ̯	0.714
ˈæi̯	ˈaɪ̯	0.7
fː	b	0.7
ˈɒː	ˈoː	0.692
b̥_#>	f_#>	0.667
ˈɒ	ˈa	0.652
ˈy	ˈʏ	0.625
ˈoː	ˈaʊ̯	0.615
ˈiə̯	ˈaɪ̯	0.6
ə	n	0.594
r	ɐ	0.525
χː	ɡ	0.5
ˈeː	ˈaɪ̯	0.5
ˈeː	-	0.5
kː	ɡ	0.455
i	ɪ	0.429
i	-	0.429
ˈu	ˈʊ	0.421
ˈyː	ˈaɪ̯	0.4
ˈiə̯	ˈɪ	0.4
ˈoː	ˈoː	0.385
χː	x	0.375
ˈy	-	0.375
ˈæ	-	0.368
ˈyː	ˈyː	0.333
b̥_#>	#>	0.333
ˈæ	ˈɛ	0.316
ə	-	0.312
ˈɒː	ˈa	0.308
ˈæi̯	ˈɪ	0.3
fː	f	0.3
ˈau̯	-	0.286
r	r	0.275
ˈyː	-	0.267
ˈo	ˈʊ	0.267
ˈo	ˈɔ	0.267
ʦ	d	0.25
ɡ̊_#>	#>	0.25
ˈɒ	ˈoː	0.217
ˈæ	ˈeː	0.211
ˈu	ˈɔ	0.211
ˈu	-	0.211
ˈo	ˈaʊ̯	0.2
ɡ̊	x	0.188
ˈuə̯	-	0.182
ˈiː	-	0.182
kː	ç	0.182
kː	k	0.182
kː	-	0.182
tː	t	0.175
ˈi	-	0.174
ˈu	ˈʏ	0.158
i	i	0.143
ˈo	ˈoː	0.133
ˈo	-	0.133
sː	ˈeː_d	0.133
sː	t	0.133
ˈɒ	ˈaʊ̯	0.13
χː	ç	0.125
ˈæ	ˈa	0.105
ʒ̊	s	0.105
ə	m	0.094
tː	-	0.075
r	ˈaː	0.075
r	-	0.075
ɡ̊	j	0.062
