Nuorese	Nuorese	probability
ˈɛ_ɾ	ˈɛ_ɾ	1.0
ˈɛ_ð	ˈɛ	1.0
ˈɔ_ɾ	ˈɔ_ɾ	1.0
ˈu_ɾ	ɾ_ˈu	1.0
ˈu	ˈu	1.0
ˈo	ˈo	1.0
ˈi_β	ˈi	1.0
ˈi_ɾ	ˈi_ɾ	1.0
ˈi	ˈi	1.0
ˈe_n	ˈɛ_n	1.0
ˈa_ɾ	ˈa	1.0
ˈa_p	ˈa_β	1.0
ˈa	ˈa	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_a	a	1.0
ɲ	ɲ	1.0
ɣ	-	1.0
ɛ̆	ĭ	1.0
ɛ_n	i_n	1.0
ɛ_#>	#>	1.0
ŭ	ŭ	1.0
u	u	1.0
s_k	ʃ	1.0
r	r	1.0
p_ˈɔ	p_ˈo	1.0
n_u	n_u	1.0
n	n	1.0
l_ɛ	l_i	1.0
k_ˈa	k_ˈa	1.0
k_ɾ	ɣ	1.0
i_n	i_n	1.0
f	f	1.0
d	d	1.0
ă	ă	1.0
a_ɾ	a_ɾ	1.0
a_t	a_ð	1.0
a_n	a_n	1.0
<#_ˈu	<#_ˈu	1.0
<#_ˈo	<#_ˈo	1.0
<#_ˈi	<#_ˈi	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɾ	<#_a_r	1.0
<#_t	<#_t	1.0
<#_n	<#_n	1.0
<#_i	<#	1.0
<#_a	<#_a	1.0
<#	<#_a	1.0
#>	i_#>	1.0
b	b	0.951
l	l	0.944
a	a	0.937
s	s	0.936
ˈɛ	ˈɛ	0.926
z	z	0.926
ɾ	ɾ	0.918
m	m	0.909
p	p	0.886
ɛ	i	0.867
ˈɔ	ˈɔ	0.853
t	t	0.784
ɖː	ɖː	0.778
ɾ_u	ɾ_u	0.75
i	i	0.75
ˈe	ˈe	0.739
k_ɛ	ʒ_i	0.714
ɔ̆	ŭ	0.7
o	o	0.7
k	k	0.625
β	-	0.6
ʦ	ʦ	0.6
ŋ	ŋ	0.6
ɛ_ɾ	i	0.556
e	-	0.556
ð	-	0.545
nː	nː	0.545
ɡ	ɡ	0.538
ʣ	ʤ	0.529
ɔ	ɔ	0.5
ɔ	u	0.5
j	j	0.5
j	-	0.5
ʣ	ɭː	0.471
ɡ	ʤ	0.462
ð	ð	0.455
ɛ_ɾ	ɾ	0.444
e	e	0.444
β	β	0.4
ʦ	-	0.4
ŋ	-	0.4
i_k	i_ɣ	0.4
ɔ̆	ɔ̆	0.3
o	u	0.3
i_k	i_ʒ	0.3
i_k	i	0.3
k_ɛ	i	0.286
nː	n	0.273
ɾ_u	u	0.25
ɖː	-	0.222
k	ɣ	0.196
nː	n_d	0.182
k	ʧ	0.179
t	ð	0.157
ˈe	ˈɛ	0.13
ˈe	-	0.13
i	ɣ	0.125
i	-	0.125
p	β	0.114
ɛ	ɛ	0.111
ˈɔ	ˈo	0.088
ɾ	-	0.082
ˈɛ	ˈe	0.074
z	ʒ	0.074
s	ʃ	0.064
ˈɔ	ˈu	0.059
t	-	0.059
l	-	0.056
