Proto-Germanic	Old Frisian	probability
θ_i	d	1.0
β_j	bː	1.0
ˈɑː	-	1.0
ˈɑi̯_w	ˈɛː	1.0
ˈɑ_x	ˈaː	1.0
ˈɑ_t	ˈe_t	1.0
ˈɑ_n	ˈoː	1.0
ˈuː	ˈuː	1.0
ˈĩː	ˈi	1.0
ˈiː	ˈiː	1.0
ˈeː	ˈeː	1.0
ˈeu̯	ˈi̯aː	1.0
ˈe_xʷ	ˈi̯aː	1.0
ɸ	f	1.0
ɣ_j	ɡː	1.0
ɡʷ	ɡ	1.0
ɡ	ɡ	1.0
ɛː	ə	1.0
ɔ̃ː	ə	1.0
ɔːː	ə	1.0
ɔːu̯	ə	1.0
ɑː	j	1.0
ɑi̯	ˈi_n	1.0
ɑ_ɣ	ə_x	1.0
ɑ_l	l	1.0
ŋ	ŋ	1.0
ð_j	dː	1.0
z	-	1.0
x_s	k_s	1.0
wː	-	1.0
u_n	ə_n	1.0
tː	tː	1.0
t	t	1.0
sː	r_s	1.0
s_ˈe	s_ˈe	1.0
r_ˈɑu̯	r	1.0
r_ɣ	r_x	1.0
r_ɑ	ə_r	1.0
r_ð	r_d	1.0
r_u	ə_r	1.0
r_n	r_n	1.0
r_i	r	1.0
pː	p	1.0
p	p	1.0
nː	nː	1.0
n_i	n_ə	1.0
mː	mː	1.0
lː	lː	1.0
l	l	1.0
kː	kː	1.0
kʷ	k	1.0
jː	ˈaː_j	1.0
iː	-	1.0
e	ə	1.0
d	d	1.0
b	b	1.0
r	r	0.958
s	s	0.947
ɑ_n	ə	0.935
m	m	0.919
k	k	0.917
n	n	0.809
ˈɑu̯	ˈaː	0.798
ˈɑi̯	ˈɛː	0.793
ð	d	0.793
w	w	0.791
ˈɛː	ˈeː	0.741
j	-	0.727
ɔː	ə	0.721
ˈi	ˈi	0.719
ɑ	ə	0.711
i	-	0.69
θ	θ	0.681
β	v	0.64
xʷ	-	0.632
x	h	0.622
ˈɔː	ˈoː	0.609
ˈe	ˈe	0.583
u	ə	0.54
ˈiu̯	ˈi̯uː	0.5
ˈiu̯	-	0.5
u	-	0.46
ˈɑ	ˈa	0.458
ˈu	ˈu	0.421
ɣ	j	0.414
ɣ	ɣ	0.407
ˈɔː	ˈeː	0.391
xʷ	h_w	0.368
β	f	0.36
ˈɑ	ˈe	0.293
ɑ	e	0.289
ɔː	-	0.279
i	ə	0.27
ˈɛː	ˈɔː	0.259
x	x	0.249
ˈi	-	0.227
w	-	0.209
ˈɑi̯	ˈaː	0.207
ð	-	0.207
θ	ð	0.206
ˈɑu̯	ˈɛː	0.202
ˈɑ	ˈɔː	0.191
ˈu	ˈo	0.19
ˈe	ˈeː	0.175
j	j	0.173
ˈu	ˈɔː	0.169
ˈu	ˈe	0.151
ˈe	ˈi̯uː	0.136
x	-	0.129
ɣ	ʣ	0.115
θ	d	0.112
ˈe	-	0.106
j	ə	0.099
n	ə	0.096
k	ʦ	0.083
m	-	0.081
n	ə_n	0.069
ˈu	ˈuː	0.068
ɑ_n	a	0.065
ɣ	x	0.064
ˈɑ	ˈeː	0.058
ˈi	ˈeː	0.054
s	z	0.053
