Standard Croatian	Ukrainian	probability
ʨ	ʧ	1.0
ʋ_j	ʋʲ	1.0
ʃ	ʃʲ	1.0
ɲ	nʲ	1.0
x	x	1.0
uː_̌	ʊ	1.0
s_a	s	1.0
r̩ː_̂	r	1.0
r̩	ɛ	1.0
r_a	r_ɑ	1.0
o_̂	ɔ	1.0
n_a	n_ɑ	1.0
l_j	lʲ	1.0
j_eː	i	1.0
j_e	i	1.0
iː	ɪ	1.0
i_̂	ˈ	1.0
e_̌	e	1.0
d_j	dʲ	1.0
d	d	1.0
aː_̂	ɔ	1.0
a_r	r_e	1.0
̂	ˈ	0.9
z	z	0.889
b	b	0.874
t	t	0.869
ʋ	ʋ	0.841
̌	-	0.821
i	ɪ	0.777
k	k	0.771
oː	i	0.766
n	n	0.754
l	ɫ	0.75
p	p	0.747
ʎ	lʲ	0.721
ɡ	ɦ	0.694
o	ɔ	0.691
s	s	0.686
r	r	0.683
m	m	0.611
ʒ	ʒ	0.585
eː	i	0.528
ʧ	ʧʲ	0.524
u	-	0.493
uː	u	0.492
ʧ	ʧ	0.476
e	i	0.425
aː	ɔ	0.397
ʦ	ʦʲ	0.374
aː	-	0.365
ʦ	-	0.323
s	sʲ	0.314
a	ɑ	0.307
ʦ	ʦ	0.303
uː	ɔ	0.298
e	ɛ	0.293
u	u	0.285
ʎ	ɦʲ	0.279
ʒ	-	0.274
e	-	0.266
p	pʲ	0.253
n	nʲ	0.246
aː	ɑ	0.237
oː	ɔ	0.234
i	ɪ_ˈ	0.223
u	w_u	0.221
r	ɔ_r	0.212
a	ɔ	0.212
uː	ʊ	0.211
m	mʲ	0.194
m	i_m	0.194
o	i	0.186
ɡ	ɦ_ɔ	0.183
̌	ˈ	0.179
l	lʲ	0.179
a	-	0.146
ʒ	ʒʲ	0.141
eː	-	0.141
k	-	0.132
eː	ɐ	0.129
b	bʲ	0.126
ɡ	-	0.123
z	zʲ	0.111
r	rʲ	0.105
a	a	0.101
k	kʲ	0.097
ʋ	ʋʲ	0.096
a	ɐ	0.083
t	tʲ	0.082
eː	ɑ	0.078
a	ɛ	0.076
o	-	0.071
l	ɔ_ɫ	0.071
eː	j_ɑ	0.07
ʋ	w	0.063
̂	-	0.056
eː	j_ɐ	0.054
o	ɫ	0.052
