English	Swiss German	probability
b	b̥	1.0
d	t	0.673
d	d̥	0.241
f	f	0.777
f	b̥	0.151
h	h	0.977
j	j	0.513
j	ɡ̊	0.233
j	ˈi	0.19
j	-	0.063
k	χ	0.626
k	k	0.341
kʰ	χ	0.885
kʰ	k	0.063
kʰ	f	0.051
l	l	1.0
m	m	0.895
m	mː	0.061
n	n	0.789
n	ŋ	0.071
n	-	0.068
n	nː	0.064
p	f	0.592
p	fː	0.283
p	p͡f	0.101
pʰ	p͡f	1.0
s	s	0.672
s	ʃ	0.319
t	sː	0.418
t	χ_t	0.263
t	t	0.139
t	ʦ	0.1
tʰ	ʦ	0.967
v	b̥	0.445
v	f	0.349
v	-	0.206
w	ʋ	0.925
w	-	0.061
z	r	0.539
z	s	0.461
ð	d̥	0.5
ð	tː	0.407
ð	t	0.093
ŋ	ŋ	0.734
ŋ	i	0.266
ə	ə	0.601
ə	r	0.247
ə	-	0.102
əʊ̯	-	0.729
əʊ̯	ə	0.271
ɜː	ˈiː	1.0
ɡ	ɡ̊	0.924
ɡ	-	0.076
ɪ	i	0.652
ɪ	ə	0.195
ɪ	ˈe	0.118
ɫ	l	0.733
ɫ	ɡ̊_l	0.159
ɹ	r	0.977
ʃ	ʃ	0.933
ʃ	ʃː	0.067
ʤ	ɡ̊ː	1.0
ʧ	χ	0.956
ˈaɪ̯	ˈiː	0.263
ˈaɪ̯	ˈi	0.254
ˈaɪ̯	ˈyː	0.204
ˈaɪ̯	ˈiə̯	0.058
ˈaɪ̯	ˈɒ	0.058
ˈaʊ̯	ˈuː	0.596
ˈaʊ̯	ˈu	0.183
ˈaʊ̯	ˈuə̯	0.162
ˈaʊ̯	ˈo	0.059
ˈe	ˈæ	0.316
ˈe	ˈe	0.126
ˈe	ˈy	0.11
ˈe	ˈoː	0.096
ˈe	ˈæi̯	0.063
ˈe	ˈæː	0.063
ˈeɪ̯	ˈɒ	0.367
ˈeɪ̯	ˈæː	0.201
ˈeɪ̯	ˈæ	0.189
ˈeɪ̯	ˈɒː	0.153
ˈeɪ̯	ˈoː	0.09
ˈiː	ˈau̯	0.232
ˈiː	ˈyː	0.125
ˈiː	ˈyə̯	0.117
ˈiː	ˈɒː	0.083
ˈiː	ˈeː	0.067
ˈiː	ˈøː	0.066
ˈuː	ˈuə̯	0.282
ˈuː	-	0.274
ˈuː	ˈɒ	0.148
ˈuː	ˈøi̯	0.114
ˈuː	ˈo	0.102
ˈuː	ˈiː	0.08
ˈæ	ˈɒ	0.671
ˈæ	ˈɒː	0.171
ˈæ	ˈæ	0.099
ˈæ	ˈø	0.059
ˈɐ	ˈu	0.438
ˈɐ	ˈoː	0.225
ˈɐ	ˈuː	0.084
ˈɐ	-	0.069
ˈɐ	ˈo	0.066
ˈɑː	ˈɒ	0.507
ˈɑː	ˈɒː	0.344
ˈɑː	ˈæː	0.127
ˈɒ	ˈæ	0.247
ˈɒ	ˈo	0.189
ˈɒ	ˈɒ	0.189
ˈɒ	ˈoː	0.125
ˈɒ	ˈu	0.125
ˈɒ	ˈæi̯	0.125
ˈɔː	ˈo	0.49
ˈɔː	ˈɒ	0.2
ˈɔː	ˈy	0.098
ˈɔː	ˈe	0.085
ˈɔː	ˈu	0.067
ˈəʊ̯	ˈæi̯	0.582
ˈəʊ̯	ˈɒ	0.139
ˈəʊ̯	ˈeː	0.11
ˈəʊ̯	ˈo	0.057
ˈɛ	ˈɒː	0.427
ˈɛ	ˈæ	0.324
ˈɛ	ˈeː	0.249
ˈɜː	ˈu	0.585
ˈɜː	ˈoː	0.183
ˈɜː	ˈæ	0.122
ˈɜː	ˈi	0.109
ˈɪ	ˈi	0.44
ˈɪ	ˈy	0.133
ˈɪ	ˈøː	0.086
ˈɪ	ˈyː	0.064
ˈɪ	ˈɒː	0.052
ˈʊ	ˈuə̯	0.483
ˈʊ	ˈo	0.311
ˈʊ	ˈu	0.205
θ	d̥	0.685
θ	-	0.106
θ	t	0.102
θ	r_d̥	0.075
