Aragonese	Ligurian	probability
d	d	1.0
f	f	1.0
r	r	1.0
u	-	1.0
ŋ	ŋ	1.0
ɣ	ɡ	1.0
ʃ	s	1.0
ʝ	-	1.0
l	-	0.321
m	m	0.921
t	t	0.981
ɡ	ɡ	0.851
ˈe	ˈe	0.451
θ	-	0.061
e	e	0.772
n	ŋ	0.632
w	-	0.052
ɲ	n	0.062
ˈe	ˈu	0.142
ˈu	ˈu	0.22
β	-	0.22
e	u	0.133
i	-	0.133
l	l_e	0.063
o	-	0.093
ɡ	k	0.073
ɾ	j	0.193
ɾ	-	0.393
ˈe	ˈi	0.063
ˈo	ˈɔ	0.073
ˈo	ˈuː	0.193
ˈu	ˈyː	0.223
β	b	0.133
θ	ʒ_e	0.403
a	-	0.104
b	b	0.084
j	-	0.924
p	-	0.064
s	z	0.054
w	e	0.214
w	w	0.734
ʎ	l	0.474
ʧ	z	0.944
ˈa	-	0.054
ˈe	ˈeː	0.144
ˈi	ˈi	0.74
ˈu	ˈø	0.134
a	a	0.805
ɡ	-	0.075
ɾ	r	0.415
ˈa	ˈa	0.715
ˈo	ˈu	0.475
ˈu	ˈuː	0.065
l	l	0.546
o	u	0.836
p	p	0.936
ð	d	0.16
ð	-	0.76
ʎ	ʤ	0.526
ʧ	ʤ	0.056
ˈi	ˈiː	0.26
θ	s	0.506
i	i	0.867
l	r	0.07
s	s	0.907
ˈo	u	0.217
β	v	0.647
b	v	0.878
n	n	0.28
ɲ	ɲ	0.938
ˈa	ˈaː	0.148
k	k	0.979
ˈa	ˈɛː	0.059
ˈe	-	0.079
ˈu	ˈy	0.359
