Logudorese	Romansch	probability
ˈɔ_ɾ	ˈɔː_r	1.0
ˈɔ_ɛ	ˈɔ_f	1.0
ˈɔ_t	ˈo_ʨ	1.0
ˈɔ_n	ˈu_n	1.0
ˈɔ_j	ˈu	1.0
ˈo_ɣ	j_ˈɛ	1.0
ˈo_u	ˈɔ_f	1.0
ˈe_ɖː	ˈɛː	1.0
ʣ_u	ʎ	1.0
ɾ_ˈa	ˈa	1.0
ɾ_ɛ_#>	r_#>	1.0
ɲ	ɲ	1.0
ɣ_ɛ_#>	ʃ_#>	1.0
ɛ̆	-	1.0
ɛ_n_ɛ_#>	#>	1.0
ɛ_#>	#>	1.0
ɖː	l	1.0
ŋ	ŋ	1.0
z_ɔ̆_#>	s_#>	1.0
z_ŭ_#>	#>	1.0
u_#>	#>	1.0
t_ˈa	t_ˈaː	1.0
t_u_#>	ʨ_#>	1.0
t_u	ʦ	1.0
s_k	ʃ	1.0
s	s	1.0
r_u	r_n	1.0
r	r	1.0
p_ɾ	p_l	1.0
o	u	1.0
nː	n	1.0
n_ʣ	ɲ	1.0
l	l	1.0
k_ɾ	k_l	1.0
j_u	ʎ	1.0
i_ɣ	ʥ	1.0
i_s	ʃ	1.0
f_ɾ	f_l	1.0
f	f	1.0
ă	-	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ɾ	<#_r	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_n	<#_n	1.0
<#_d	<#_d	1.0
<#_b	<#	1.0
<#_a	<#_ə	1.0
a	ə	0.944
p	p	0.923
n	n	0.909
m	m	0.886
<#_l	<#_l	0.875
ɾ	r	0.872
t	t	0.84
j	-	0.818
ɔ	-	0.786
ɡ	ɡ	0.714
z	s	0.667
e	ə	0.667
i	-	0.611
ʦ	-	0.6
ð	d	0.571
ɣ	-	0.545
ˈu	ˈu	0.531
ɛ_ɾ	ə_r	0.5
d	t	0.5
d	d	0.5
k	ʨ	0.488
ˈe	ˈɛ	0.474
ɛ	r	0.444
β	v	0.429
ʣ	ʥ	0.429
ð	t	0.429
b	v	0.425
ˈa	ˈa	0.4
ʦ	s	0.4
u	w	0.385
u	-	0.385
ˈa	ˈaː	0.345
k	k	0.341
ˈi	ˈiː	0.333
ɛ	j	0.333
z	-	0.333
e	-	0.333
ˈɛ	ˈɛ	0.32
ˈo	ˈɔː	0.308
ˈo	ˈu	0.308
ˈi	ˈi	0.308
ˈɔ	ˈuː	0.3
b	b	0.3
β	w	0.286
β	-	0.286
ʣ	ʎ	0.286
ʣ	-	0.286
ɡ	-	0.286
ɛ_ɾ	r	0.286
i	i	0.278
ɣ	ʃ	0.273
ˈo	ˈɔ	0.231
u	i	0.231
ɛ	ə	0.222
ɛ_ɾ	j_r	0.214
ɔ	o	0.214
ˈɛ	ˈa_j	0.2
ˈɔ	ˈu	0.2
ɣ	ʥ	0.182
j	ʎ	0.182
k	ʧ	0.171
ˈɛ	ˈɛː	0.16
ˈe	ˈiə̯	0.158
ˈe	ˈa_j	0.158
ˈu	ˈiː	0.156
ˈu	ˈi	0.156
ˈo	-	0.154
ˈɔ	u	0.15
ˈɔ	-	0.15
b	ɡ	0.15
ˈa	ˈa_w	0.127
b	-	0.125
<#_l	<#_ʎ	0.125
ˈɛ	ˈeː	0.12
ˈɛ	-	0.12
m	-	0.114
i	e	0.111
ˈe	ˈɛː	0.105
ˈe	-	0.105
ˈi	ˈa_j	0.103
ˈɔ	ˈɔː	0.1
ˈɔ	ˈɔ	0.1
ˈu	ˈuː	0.094
n	-	0.091
ˈɛ	j_ˈa	0.08
t	ʨ	0.08
t	-	0.08
ˈi	ˈeː	0.077
ˈi	ˈa	0.077
ɾ	l	0.077
p	p_l	0.077
ˈa	ˈɔ	0.073
ˈu	-	0.062
a	-	0.056
ˈa	-	0.055
ˈi	ˈɛ	0.051
ˈi	ˈe	0.051
ɾ	ə_r	0.051
