Štokavian	Proto-Slavic	probability
ʨ	k_t	1.0
ʦ	ʦ	1.0
ʒ	ʒ	1.0
ʋ_j	v	1.0
ɲ	ɲ_ĭ	1.0
ɡ	ɡ	1.0
z	z	1.0
û	ĭˀ_l	1.0
t	t	1.0
s_t	s_t	1.0
s_a	s	1.0
s_#>	s_ŭ_#>	1.0
s	s	1.0
r̩̂	r	1.0
r̩̂ː	r	1.0
r̂ː	r	1.0
r_âː	r	1.0
r_â	oˀ_r	1.0
r	r	1.0
p	p	1.0
ǒ	o	1.0
o	l	1.0
n	n	1.0
m	m	1.0
k_#>	k_ŭ_#>	1.0
k	k	1.0
j_ěː	ɛː	1.0
j_êː	ɛ̂ː	1.0
j_ê	ɛˀ	1.0
î	ǐ	1.0
iː_#>	j_ĭ_#>	1.0
i_#>	i_#>	1.0
ěː_k	k	1.0
ěː	ẽ	1.0
ě_l	e_l	1.0
ě	e	1.0
êː	ẽ̂ː	1.0
eː_t	ẽ_t	1.0
e_t	ɛ_t	1.0
e_#>	e_#>	1.0
d_a	d	1.0
d_#>	d_ŭ_#>	1.0
d	d	1.0
b	b	1.0
ǎː	-	1.0
a_t	ŭ_t	1.0
<#_ʧ	<#_ʧ	1.0
<#_ʦ	<#	1.0
<#_ʒ	<#_ʒ	1.0
<#_ʋ	<#_v	1.0
<#_ɡ	<#_ɡ	1.0
<#_x	<#_x	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_p	<#_p	1.0
<#_ô	<#_ô	1.0
<#_n	<#_n	1.0
<#_m	<#_m	1.0
<#_l	<#_l	1.0
<#_k	<#_k	1.0
<#_j	<#	1.0
<#_d	<#_d	1.0
<#	ô_<#	1.0
l	l	0.895
o_#>	o_#>	0.846
ʋ	v	0.824
<#_z	<#_z	0.714
ê	ê	0.667
a_#>	ǎ_#>	0.65
n_#>	n_ŭ_#>	0.625
a	-	0.625
ôː	ô	0.571
j	-	0.571
#>	ŭ_#>	0.565
ʎ	ʎ	0.5
ʎ	l	0.5
x	x	0.5
x	ûː_x	0.5
ûː	l	0.5
ûː	ĭ̂_l	0.5
t_#>	t_ŭ_#>	0.5
t_#>	t_ĭ_#>	0.5
ô	ǒ	0.5
e	ě	0.5
e	e	0.5
#>	ĭ_#>	0.435
ôː	ôː	0.429
j	ɛː	0.429
â	aˀ	0.429
n_#>	n_ŭ_j_ĭ_#>	0.375
a	ĭ	0.375
a_#>	a_#>	0.35
ê	ɛ̌	0.333
ô	ô	0.3
â	ĭ̌	0.286
â	-	0.286
<#_z	<#	0.286
ô	o	0.2
ʋ	ŭ̂_v	0.176
o_#>	ǒ_#>	0.154
l	d_l	0.105
