Western Lombard	Western Lombard	probability
ˈɛ_r	ˈɛ_ʀ	1.0
ˈɛ_#>	ˈe_#>	1.0
ˈɑː_t	ˈa_t	1.0
ˈɑː_d	ˈa_j	1.0
ˈɑː	ˈa	1.0
ˈœ	ɥ	1.0
ˈỹ	-	1.0
ˈy	ˈu	1.0
ˈuː	ˈu	1.0
ˈoː	ˈa_w	1.0
ˈo	ˈɔ	1.0
ˈĩ	ˈi	1.0
ˈi_#>	#>	1.0
ˈi	ˈi	1.0
ˈẽ_t	ˈɛ_n	1.0
ˈẽ_#>	ˈe_#>	1.0
ˈa_#>	ˈa_#>	1.0
ˈa	ˈa	1.0
ʧ_#>	#>	1.0
ɲ	ɲ	1.0
ɛ	e	1.0
w	-	1.0
v_e	w_ɾ	1.0
ũ	u_n	1.0
u	u	1.0
t_a	t_ɔ	1.0
s_e	s_e	1.0
r_t	ʀ_t	1.0
p_#>	s_#>	1.0
p	p	1.0
o	e	1.0
j_ˈøː	ˈi	1.0
ĩ	i	1.0
f_#>	w_#>	1.0
f	f	1.0
ẽ	β_e	1.0
e_n	nː	1.0
a_l	a_l	1.0
a_#>	#>	1.0
<#_ˈa	<#_ˈa	1.0
<#_ʧ	<#_s	1.0
<#_u	<#_a_w	1.0
<#_t	<#_t	1.0
<#_r	<#_ʀ	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
k	k	0.925
l_#>	l_#>	0.913
m	m	0.903
n	n	0.889
ˈã	ˈa	0.833
k_#>	k_#>	0.818
ˈu	ˈu	0.769
ˈyː	ˈy	0.75
ʒ	ʤ	0.75
b	b	0.75
a	ɔ	0.729
t	t	0.727
ˈɔ	ˈɔ	0.714
ˈeː	ˈe	0.688
r	ɾ	0.676
ˈiː	ˈi	0.667
v	b	0.652
l	l	0.647
j	l	0.647
s	s	0.629
ˈũ	ˈu	0.625
ʤ	ʤ	0.6
y	u	0.6
t_#>	n_#>	0.6
i	e	0.6
d	ð	0.583
ˈe	ˈe	0.571
e	e	0.542
ɡ	ɣ	0.529
ˈɛ	ˈɛ	0.5
z	s	0.5
z	lː	0.5
r_#>	e_#>	0.5
r_#>	#>	0.5
ɡ	ɡ	0.471
ˈøː	ˈɔ	0.455
ˈe	ˈɛ	0.429
ʤ	-	0.4
y	y	0.4
t_#>	#>	0.4
i	i	0.4
ˈũ	ˈu_n	0.375
ˈøː	ɥ_ˈɔ	0.364
v	β	0.348
ˈiː	ˈe	0.333
e	ɾ	0.333
#>	s_#>	0.333
#>	e_#>	0.333
r	ʀ	0.324
ˈeː	ˈɛ	0.312
ˈyː	ˈu	0.25
ʧ	ˈɛ_l	0.25
ʧ	ʧ	0.25
ʧ	l	0.25
ʧ	k_l	0.25
ʒ	-	0.25
d	ʤ	0.25
b	β	0.25
#>	ɔ_#>	0.238
j	ʎ	0.235
ˈu	-	0.231
a	a	0.229
ˈøː	ɥ	0.182
t	ʧ	0.182
k_#>	#>	0.182
ˈɛ	ˈe	0.179
l	w	0.176
l	-	0.176
ˈã	ˈa_ŋ	0.167
d	d	0.167
s	ʦ	0.145
ˈɛ	j_ˈɛ	0.143
ˈɔ	ˈu	0.143
ˈɔ	ˈa_w	0.143
s	e_s	0.129
e	-	0.125
j	j	0.118
n	-	0.111
ˈɛ	ˈe_j	0.107
#>	w_#>	0.095
t	-	0.091
l_#>	#>	0.087
k	ŋ_k	0.075
ˈɛ	e	0.071
m	-	0.065
