Swabian	Limburgish	probability
a	ə	0.848
a	-	0.125
a	ʀ	0.035
b	b	0.627
b	v	0.243
b	f	0.083
b	-	0.039
b	p	0.032
b̥	p	0.492
b̥͡f	p	1.0
d	t	0.417
d	d	0.357
d	-	0.219
d_ʌ	ʀ	1.0
e	-	0.242
f	v	0.628
f	p	0.214
f	ə_f	0.076
f	f	0.037
f	ˈv	0.037
h	ɦ	0.987
h	k	0.034
i	ɪ	0.242
j	j	1.0
k	-	0.492
kʰ	k	0.878
kʰ	-	0.089
l	l	0.731
l	ə_l	0.089
l	j	0.069
l	l_ə	0.049
l	w	0.032
l	-	0.031
l	n	0.029
l_e	l	1.0
m	m	0.898
m	-	0.098
n	n	0.782
n	-	0.216
p͡f	p	0.373
p͡f	t	0.183
s	s	0.329
s	t	0.322
s	z	0.315
s	-	0.032
t	t	0.644
t	k	0.24
x	x	0.723
x	k	0.262
ç	ə_k	0.561
ç	k	0.276
ç_d	x	1.0
ŋ	ŋ	1.0
ɐ	ə	0.492
ə	j	1.0
ɡ	ɣ	0.459
ɡ	x	0.164
ɡ	k	0.153
ɡ	-	0.083
ɡ	ə_x	0.058
ɡ	ŋ	0.048
ɡ	ɡ	0.031
ɪ	ə	0.574
ɪ	ɪ	0.282
ʁ	ʀ	0.973
ʁ	-	0.038
ʃ	s	0.662
ʃ	ʃ	0.166
ʃ	z	0.14
ʃ	ʦ	0.034
ʋ	β	0.949
ʋ	-	0.054
ʌ	ə_ʀ	0.753
ʌ	ʀ	0.153
ʌ	ə	0.081
ʕ	ʀ	0.822
ʕ	ʀ_ə	0.173
ʦ	t	1.0
ˈa	ˈaː	0.376
ˈa	ˈɑ	0.323
ˈa	ˈæː	0.074
ˈa	ˈɑː	0.072
ˈa	ˈæ	0.049
ˈa	ˈɪː	0.049
ˈa	ˈœ	0.044
ˈae̯	ˈœi̯	0.401
ˈae̯	ˈɛː	0.274
ˈae̯	ˈɛi̯	0.111
ˈae̯	ə	0.078
ˈae̯	ˈʏː	0.078
ˈao̯	ˈuː	0.563
ˈao̯	ˈɔu̯	0.139
ˈao̯	ˈɔː	0.121
ˈao̯	ˈu	0.056
ˈao̯	ˈœ	0.056
ˈao̯	ˈʊː	0.047
ˈao̯	ˈɔ	0.037
ˈaː	ˈaː	0.426
ˈaː	ˈɑː	0.208
ˈaː	ˈɑ	0.12
ˈaː	ˈɒː	0.087
ˈaː	ˈɛ	0.066
ˈaː	ˈʊː	0.065
ˈe	ˈɪː	0.186
ˈe	ɪː	0.175
ˈe	ˈɑ	0.175
ˈe	ˈɛ	0.123
ˈe	ˈæ	0.107
ˈe	ˈʏ	0.107
ˈeə̯	ˈeː	0.333
ˈeə̯	ˈi	0.333
ˈeə̯	ˈøː	0.333
ˈeː	ˈi	0.283
ˈeː	ˈiː	0.163
ˈeː	ˈyː	0.163
ˈeː	ˈeː	0.114
ˈeː	ˈøː	0.08
ˈeː	ˈu	0.08
ˈeː	ˈɪː	0.056
ˈi	ˈeː	0.374
ˈi	ˈɛː	0.138
ˈi	ˈɪ	0.138
ˈi	-	0.105
ˈi	ˈøː	0.078
ˈi	ˈɛ	0.078
ˈi	ˈi	0.064
ˈiə̯	ˈeː	0.53
ˈiə̯	ˈøː	0.461
ˈiː	ˈeː	0.561
ˈiː	ˈiː	0.172
ˈiː	ˈøː	0.172
ˈo	ˈʊː	0.353
ˈo	ˈɔ	0.268
ˈo	ˈɔː	0.123
ˈo	ˈʏː	0.093
ˈo	ˈɒː	0.071
ˈo	ˈʊ	0.071
ˈoː	ˈu	0.375
ˈoː	ˈoː	0.268
ˈoː	ˈɔː	0.085
ˈoː	ˈuː	0.083
ˈoː	ˈɒː	0.083
ˈoː	ˈʊː	0.065
ˈu	ˈœ	0.437
ˈu	ˈoː	0.219
ˈu	-	0.142
ˈu	ˈɔ	0.142
ˈuə̯	ˈʊː	0.49
ˈuə̯	ˈoː	0.23
ˈuə̯	ˈøː	0.138
ˈuː	ˈʊː	0.373
ˈuː	ˈuː	0.09
ˈɔ	ˈɔ	0.447
ˈɔ	ˈʊː	0.323
ˈɔ	ˈyː	0.114
ˈɔ	ˈœ	0.08
ˈɔe̯	ˈɛː	0.488
ˈɔe̯	ˈɛː_n	0.225
ˈɔe̯	ˈɛːi̯	0.171
ˈɔe̯	ˈi	0.091
ˈɔə̯	ˈɔ	0.492
ˈɔː	ˈɒː	0.868
ˈɔː	ˈaː	0.11
ˈəi̯	ˈiː	0.505
ˈəi̯	ˈɛ	0.103
ˈəi̯	ˈœi̯	0.088
ˈəi̯	ˈɪ	0.081
ˈəi̯	ˈi	0.076
ˈəi̯	ˈyː	0.06
ˈəi̯	ˈøː	0.06
ˈɛ	ˈeː	0.322
ˈɛ	ˈæ	0.129
ˈɛ	ˈaː	0.085
ˈɛ	ˈiː	0.085
ˈɛ	ˈɑ	0.085
ˈɛ	ˈɪ	0.085
ˈɛ	ˈɑː	0.068
ˈɛ	ˈɛ	0.068
ˈɛ	ˈʏː	0.066
ˈɛː	ˈeː	0.711
ˈɛː	ˈɒː	0.187
ˈɛː	ˈi	0.078
ˈɪ	ˈɪː	0.915
ˈɪ	ˈɛ	0.062
ˈʌ	ˈæː	0.373
ˈʌ	ˈɛː	0.183
