North Frisian	Alsatian	probability
ˈɛi̯	ˈɒː	1.0
ˈɛ	ˈiː	1.0
ˈɔu̯	ˈoː	1.0
ˈɔ	ˈo	1.0
ˈɒː	ˈɒ	1.0
ˈøː	ˈyː	1.0
ˈi_t	ˈiː_s	1.0
ˈaː	ˈu	1.0
ˈai̯	ˈi	1.0
ʃ	ʃ	1.0
ɡ	ɡ̊	1.0
ə_v	b̥	1.0
ə_n	ə	1.0
ə_l	l	1.0
ŋ	ŋ	1.0
z	s	1.0
x	x	1.0
v_ə	n	1.0
tʲ	s	1.0
s_t	ʃ_t	1.0
p	f	1.0
n_ʃ	n_ʃ	1.0
m	m	1.0
l	l	1.0
k_#>	ʃ_#>	1.0
j	ɡ̊	1.0
i_ŋ	i	1.0
i	i	1.0
h	h	1.0
f	f	1.0
dʲ	t	1.0
d_ə	s_ə	1.0
d_r	t_ʁ	1.0
b	b̥	1.0
<#_t	<#_d̥	1.0
<#_r	<#_ʁ	1.0
r	ʁ	0.958
n	n	0.941
ə	ə	0.792
s	s	0.788
ˈi	ˈi	0.75
v	ʋ	0.68
k	kʰ	0.643
d	d̥	0.611
t	ʦ	0.609
ˈɔː	ˈɒ	0.6
ˈʊ	ˈu	0.571
ˈɒ	ˈɒ	0.571
ˈɛː	ˈoː	0.5
ˈɛː	ˈe	0.5
ˈyː	ˈyː	0.5
nʲ	n	0.5
nʲ	d̥	0.5
ˈœ	ˈʊː	0.444
ˈɒ	ˈɒː	0.429
ˈeː	ˈe	0.429
ˈa	ˈi	0.417
ˈɔː	ˈi	0.4
ˈuː	ˈɒ	0.4
d	t	0.389
ˈœ	ˈɒ_n	0.333
ˈyː	ˈoː	0.333
ˈiː	ˈeː	0.333
ˈuː	ˈʊː	0.3
ˈuː	ˈoː	0.3
ˈeː	ˈɒ	0.286
ˈeː	ˈæ	0.286
ˈiː	ˈəi̯	0.278
ˈiː	ˈiː	0.278
ˈi	ˈiː	0.25
ˈa	ˈu	0.25
ˈœ	ˈu	0.222
t	t	0.217
k	k	0.214
ˈyː	ˈu_n	0.167
ˈa	ˈe	0.167
ˈa	-	0.167
v	-	0.16
ˈʊ	ˈɒ	0.143
ˈʊ	ˈo	0.143
ˈʊ	ʋ_ˈo	0.143
k	i_ʃ	0.143
s	ʃ	0.121
ˈiː	ˈei̯	0.111
s	ʃ_w	0.091
t	ʃ_t	0.087
t	s	0.087
ə	d̥_ə	0.083
v	v	0.08
v	b̥	0.08
ə	f	0.062
ə	-	0.062
n	n_d̥	0.059
