Romagnol	Romagnol	probability
θ_#>	s_#>	1.0
ˈʌ̃	ˈa	1.0
ˈɛ̃	ˈɛ_n	1.0
ˈɛə̯_t	ˈɛ_t	1.0
ˈɛ_n	ˈɛ_ŋ	1.0
ˈi_ɡ	ˈi	1.0
ˈeː_t	j	1.0
ˈeə̯_r	ˈa_r	1.0
ˈeə̯_l	ˈa_w	1.0
ˈeə̯_#>	ˈe_#>	1.0
ˈe	ˈɛ	1.0
ˈaː	ˈa	1.0
ˈa	ˈa	1.0
ʧ_#>	#>	1.0
ʧ	ʧ	1.0
ʤ	ʤ	1.0
ɲ	ɲ	1.0
ɡ	ɡ	1.0
ɐ_v	a_v	1.0
ɐ_r	e	1.0
ɐ_n_#>	#>	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
w	u	1.0
u_j	ˈu	1.0
s_#>	s_#>	1.0
s	s	1.0
r_t	r_t	1.0
r_#>	#>	1.0
r	r	1.0
p	p	1.0
n_ɐ	ŋ_a	1.0
m_#>	m_#>	1.0
m	m	1.0
l_ɐ	a	1.0
k_#>	k_#>	1.0
k	k	1.0
j̃_#>	ŋ_#>	1.0
j	j	1.0
f	f	1.0
e	e	1.0
b	b	1.0
<#_ˈʌ̃	<#_ˈa	1.0
<#_ɡ	<#_ɡ	1.0
<#_ɐ	<#_a	1.0
<#_t	<#_t	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_d	<#_d	1.0
t	t	0.921
θ	s	0.867
ˈɛə̯	ˈɛ	0.867
l	l	0.861
z	z	0.857
v	v	0.842
ˈou̯	ˈu	0.812
ɐ	a	0.784
ˈeə̯	ˈa	0.75
ˈɔə̯	ˈɔ	0.722
ˈõũ̯	ˈu_ŋ	0.667
ð	ʤ	0.667
i	i	0.667
u	u	0.615
ˈẽ	ˈi	0.6
a	a	0.6
ˈi	ˈi	0.571
d_#>	d_#>	0.571
n	n	0.559
ˈu	ˈy	0.556
r_ɐ	r	0.556
v_#>	v_#>	0.5
v_#>	#>	0.5
d	d	0.467
d	-	0.467
ˈeː	ˈɛ	0.455
ˈu	ˈø	0.444
r_ɐ	r_a	0.444
n	ŋ	0.441
d_#>	#>	0.429
ˈɔ	ˈɔ	0.417
ˈɔ	ˈø	0.417
ˈẽ	ˈɛ	0.4
a	-	0.4
ˈõũ̯	ˈu	0.333
ˈo	ˈy	0.333
ˈo	ˈu	0.333
ð	z	0.333
i	-	0.333
ˈɛ	ˈɛ	0.308
ˈɛ	ˈi	0.308
ˈɛ	ˈe	0.308
#>	ŋ_#>	0.286
ˈɔə̯	ˈø	0.278
ˈo	ˈɔ	0.25
ˈi	ˈe	0.238
#>	e_#>	0.238
u	-	0.231
ˈi	e	0.19
#>	a_#>	0.19
ˈou̯	ˈy	0.188
ˈeː	ˈɛ_j	0.182
ˈeː	ˈe	0.182
ˈeː	-	0.182
ˈɔ	-	0.167
u	y	0.154
z	s	0.143
θ	ʧ	0.133
ˈɛə̯	ˈe	0.133
ˈeə̯	ˈa_w	0.125
ˈeə̯	ˈa_r	0.125
v	w	0.105
#>	ˈe_#>	0.095
#>	s_#>	0.095
#>	n_#>	0.095
ˈo	-	0.083
l	j	0.083
ɐ	e	0.081
ɐ	-	0.081
t	-	0.079
ˈɛ	ˈa	0.077
d	dː	0.067
l	-	0.056
v	-	0.053
