Lower Sorbian	Kashubian	probability
a	a	1.0
b	b	1.0
d	d	1.0
mʲ	m_j	1.0
n	n	1.0
p	p	1.0
rʲ	ʐ	1.0
s	s	1.0
t	t	1.0
v	v	1.0
w	w	1.0
x	x	1.0
z	z	1.0
ɛ	ɛ	1.0
ɡ	ɡ	1.0
ɲ	ɲ	1.0
ʐ	ʒ	1.0
ʑ	ʣ	1.0
ʨ	ʦ	1.0
ˈɨ	ˈə	1.0
e	ɛ	0.591
j	-	0.051
r	r	0.901
ʂ	r	0.641
ˈe	ˈɛ	0.731
ˈɔ	ˈu	0.181
i	ə	0.532
ɔ	ɛ	0.062
ˈi	ˈi	0.682
ˈɔ	u̯ˈɛ	0.12
l	l	0.953
m	m	0.883
ɨ	i	0.963
ʦ	ʦ	0.593
ˈɔ	-	0.133
ˈɪ	ˈa_ŋ	0.343
kʲ	ʤ	0.454
pʲ	p	0.384
vʲ	v_j	0.274
ɔ	u̯ɛ	0.354
ɔ	ɔ	0.584
ˈe	ˈe	0.214
ˈu	ˈʉ	0.574
ɕ	ʦ	0.915
ˈa	ˈɞ	0.305
ˈe	ˈɞ	0.055
ˈɪ	ˈa	0.385
k	k	0.96
kʲ	ʧ	0.546
pʲ	p_j	0.616
vʲ	v	0.726
ˈu	ˈõ	0.426
ˈɛ	ˈu	0.196
ˈɛ	u̯ˈɛ	0.736
m	m_ə	0.117
ʦ	ʧ	0.407
ˈa	ˈa	0.357
ˈɔ	ˈɔ	0.567
i	i	0.468
ˈa	ˈɛ	0.338
ˈi	ˈə	0.318
ˈɛ	ˈɛ	0.068
e	j	0.409
j	j	0.949
r	ˈa_r	0.099
ʂ	ʃ	0.359
ˈɪ	j_ˈɞ	0.099
ˈɪ	ˈe	0.129
