Mainland North Frisian	Mainland North Frisian	probability
ˈɛi̯	-	1.0
ˈœi̯	ˈɛ_ɡ̊	1.0
ˈu	-	1.0
ˈai̯	-	1.0
ʀ_t	ɹ	1.0
ʀ_n	t͡n̥	1.0
ʀ_m	ɹ_m	1.0
ʀ_#>	#>	1.0
ɛi̯	a	1.0
ə_ʀ	ɪ_ɹ	1.0
ə_v̥	v_ʊ	1.0
ə_#>	#>	1.0
ŋ_k	ʰk	1.0
ç	-	1.0
z̥_#>	#>	1.0
z̥	nː	1.0
z	-	1.0
x_t	ʰt	1.0
x	-	1.0
w	ɡ̊	1.0
s_#>	s_#>	1.0
n_ˈɔː	n	1.0
n_#>	#>	1.0
k_#>	k_#>	1.0
j_ˈa	ˈøː	1.0
i	ŋ	1.0
d_ʀ	d̥_ɹ	1.0
b	b̥	1.0
<#_ʀ	<#_ɹ	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#_j	<#	1.0
<#_d	<#_d̥	1.0
h	h	0.909
s	s	0.906
ʀ	ɹ	0.852
v	v	0.824
f	f	0.824
<#_v	<#_v	0.769
m	m	0.75
n	n	0.72
ˈɔu̯	-	0.714
d̥	-	0.714
ə	a	0.69
l	l	0.69
ˈɛː	-	0.667
ˈɛ	ˈøː	0.667
ˈyː	ˈɛːi̯	0.667
ˈaː	-	0.667
ˈɒː	ˈɛːa̯	0.625
#>	ʊ_ɹ_#>	0.624
ˈi	ˈʊ̯iː	0.611
ˈɔ	ˈɔ	0.6
nʲ	n_d̥	0.6
<#	<#_kʰ	0.6
ˈɔː	-	0.571
ˈœː	ˈʊ	0.571
d	-	0.571
p	p	0.556
ŋ	ŋ_ɡ̊	0.545
ˈɒ	-	0.5
ʃ	ʃ	0.5
ʀ_d̥	ˈoː_ɹ	0.5
ʀ_d̥	ɹ	0.5
v̥	v_ʊ	0.5
v̥	-	0.5
lʲ	l_d̥	0.5
lʲ	l	0.5
k	kʰ	0.474
ˈʏ	ˈʉːu̯	0.462
tʲ	t_ʊ	0.444
j	ɡ̊	0.444
t	t	0.441
ˈɔː	ˈœ	0.429
ˈœː	-	0.429
dʲ	w	0.429
ˈʊ	ˈʊ	0.421
t	tʰ	0.412
ˈɔ	-	0.4
nʲ	n	0.4
<#	<#_v	0.4
ˈœ	ˈɔːu̯	0.385
ˈɒː	-	0.375
ˈɛː	ˈeː_ʰt	0.333
ˈɛ	ˈɛːa̯_ɹ	0.333
ˈyː	-	0.333
ˈeː	-	0.333
ˈaː	ˈiː	0.333
tʲ	t	0.333
j	-	0.333
ˈœ	ˈa	0.308
ˈuː	ˈɛːi̯	0.308
ˈuː	-	0.308
ˈɒ	ˈa	0.3
ˈa	-	0.3
ˈɔu̯	ˈɔ̯aː	0.286
d̥	d̥	0.286
dʲ	j_ʊ	0.286
dʲ	-	0.286
k	k	0.263
ˈa	ˈa	0.25
ʃ	s_k	0.25
ʃ	s	0.25
ˈʏ	ˈɪ	0.231
ˈuː	ˈɔ̯aː	0.231
<#_v	<#	0.231
ˈi	ˈɪ	0.222
tʲ	ʰt	0.222
p	ʰp	0.222
p	-	0.222
j	ˈʊ̯iː	0.222
d	tʰ	0.214
ˈiː	ˈɔːu̯	0.208
l	t͡l̥	0.207
ˈɒ	ˈɔ	0.2
ˈa	ˈɛ	0.2
n	nː	0.2
#>	a_#>	0.188
ŋ	ɡ̊	0.182
ŋ	ŋ	0.182
v	-	0.176
f	-	0.176
ˈiː	ˈaːi̯	0.167
ˈiː	ˈai̯	0.167
ˈi	-	0.167
ˈeː	ˈɛːa̯	0.167
ˈeː	ˈɛ	0.167
ˈeː	ˈɔ	0.167
ˈeː	ˈœ	0.167
#>	ɹ_#>	0.165
ˈʊ	ˈɪ	0.158
ˈʏ	ˈʊ	0.154
ˈʏ	ˈɪ_ɡ̊	0.154
ˈœ	ˈɔ	0.154
ˈœ	ˈœ	0.154
ˈuː	ˈɔ	0.154
ˈa	ˈiː	0.15
t	ʰt	0.147
d	ʤ̊	0.143
ˈiː	ˈɛ	0.125
ˈiː	ˈɔːi̯	0.125
ˈiː	-	0.125
m	mː	0.125
m	m_j	0.125
ˈʊ	ˈʏ	0.105
ˈʊ	ˈɛ	0.105
ˈʊ	ˈa	0.105
ˈʊ	-	0.105
k	ʰk	0.105
k	-	0.105
ə	ʊ	0.103
l	l̥	0.103
ˈa	ˈɛːa̯	0.1
s	ʃ	0.094
ŋ	ɲ	0.091
h	j	0.091
ə	-	0.086
ˈiː	ˈɔ̯aː	0.083
n	-	0.08
ʀ	t͡n̥	0.074
ʀ	-	0.074
d	ʰt͡n̥	0.071
k	ʰʧ	0.053
ə	ɪ	0.052
