Bellunese	Bellunese	probability
ˈu	ˈu	1.0
ˈe_d	e_ʝ	1.0
ʤ	ɡ_l	1.0
ɲ	ɲ	1.0
ŋ_t	n	1.0
ŋ_#>	n_#>	1.0
z_a	s_a	1.0
w_ˈa	w_ˈa	1.0
w	-	1.0
t_a	t_a	1.0
r_o	ɾ_o	1.0
r_n	ɾ_n	1.0
r_e_#>	j_#>	1.0
r_a	ɾ_a	1.0
r_#>	ɾ_#>	1.0
p	p	1.0
m	m	1.0
l_#>	ʎ_o_#>	1.0
l	l	1.0
e_#>	#>	1.0
<#_θ	<#_θ	1.0
<#_ˈɔ	<#_ˈo	1.0
<#_ˈe	<#_ˈe	1.0
<#_ˈa	<#_ˈa	1.0
<#_t	<#_t	1.0
<#_s	<#_s	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
a	a	0.96
k	k	0.947
f	f	0.905
ˈa	ˈa	0.867
ˈi	ˈi	0.857
b	b	0.846
n	n	0.833
r	ɾ	0.774
ˈe	ˈe	0.743
o	o	0.722
ʧ	ʎ	0.714
z	θ	0.714
e_r	ˈe_ɾ	0.714
θ	θ	0.667
ˈɛ	j_ˈe	0.667
t	t	0.667
#>	o_#>	0.667
ˈɔ	w_ˈe	0.6
ð	ʧ	0.556
e	e	0.545
ɡ	ɣ	0.533
ˈo	ˈo	0.529
i	i	0.5
i	e	0.5
<#	<#_ɡ	0.5
<#	<#_a	0.5
v	b	0.481
d	d	0.478
ɡ	ɡ	0.467
ð	-	0.444
v	β	0.444
s	s	0.429
j	l	0.357
j	j	0.357
d	ð	0.348
θ	-	0.333
ˈo	w_ˈe	0.324
ŋ	ŋ	0.304
ŋ	n_o	0.304
ʧ	k_l	0.286
z	-	0.286
j	ʎ	0.286
e_r	ɾ	0.286
s	e_s	0.238
e	ˈi	0.182
ŋ	n	0.174
d	-	0.174
ˈɛ	ˈe_j	0.167
ˈɛ	ˈe	0.167
b	β	0.154
#>	e_#>	0.152
ˈo	ˈu	0.147
ˈi	-	0.143
s	j_ʃ	0.143
o	e	0.139
e	ɾ	0.136
e	-	0.136
ˈɔ	ˈu	0.133
ˈɔ	ˈo	0.133
ˈɔ	w	0.133
ŋ	m	0.13
t	j_t	0.125
t	-	0.125
#>	a_#>	0.121
ˈe	j_ˈe	0.114
r	ɾ_o	0.097
s	θ	0.095
s	ʃ	0.095
f	-	0.095
ŋ	o	0.087
ˈe	e	0.086
t	ˈe_j	0.083
o	u	0.083
n	ɲ	0.083
n	-	0.083
v	-	0.074
ˈa	a	0.067
ˈa	-	0.067
r	r	0.065
r	-	0.065
#>	s_#>	0.061
ˈe	ˈe_ð	0.057
o	-	0.056
k	-	0.053
