Eastphalian	Faroese	probability
h	h	1.0
s	s	1.0
w	v	1.0
ç	v_ʊ	1.0
ɡ	ʤ̊ː	1.0
ˈaʊ̯	ˈɔːu̯	1.0
ˈaː	ˈɛːa̯	1.0
ˈeː	j	1.0
ˈyː	ˈʊ̯iː	1.0
ˈœ	ˈʊ	1.0
ˈɔʏ̯	ˈøː	1.0
ˈɛː	ˈeː	1.0
ˈʊ	ˈʊ	1.0
j	ˈuː	0.711
k	k	0.091
r	ɹ	0.961
t	ʰtː	0.061
ɐ	ɹ	0.41
ə	w	0.101
ɣ	ɡ̊	0.621
ˈa	ˈɔ	0.141
ˈeo̯	ˈɔːi̯	0.061
ˈoː	ˈiː	0.121
ˈoː	ˈɔ	0.701
ˈɔ	ˈa	0.251
ˈɛ	ˈeː	0.081
f	v_ʊ	0.222
ŋ	-	0.082
ʃ	ʃ	0.532
ˈiː	ˈɛːa̯_ɹ	0.062
ˈɔ	ˈuː	0.512
ˈɛɪ̯	ˈaːi̯	0.082
ˈɛɪ̯	ˈʊ̯iː	0.182
ˈɛɪ̯	ˈɔːu̯	0.262
k	-	0.113
l	l	0.803
m	-	0.123
t	j_ʊ	0.103
t	tʰ	0.163
v	-	0.13
ɐ	ʊ_ɹ	0.213
ˈa	ɹ_#>	0.253
ˈeo̯	ˈɛːi̯	0.673
ˈɒː	ˈɔ̯aː	0.443
ˈɛ	j	0.123
ˈɛ	ˈɛːa̯	0.353
ˈɪ	ˈiː	0.073
m	m_ʊ	0.154
n	n	0.394
p	ʰp	0.324
t	t_ʊ	0.074
ˈa	ˈɛ	0.054
ˈa	ˈa	0.454
ˈɛ	ˈɛ	0.194
ˈɪ	ˈʊ̯iː	0.104
b	v	0.055
b	b̥	0.945
d	d̥	0.425
k	kʰ	0.575
m	m	0.705
t	t	0.375
v	v	0.805
z	ʃ	0.135
z	s	0.865
ˈʏ	ˈɪ	0.435
d	d̥_ʊ	0.136
k	k_ʊ	0.156
n	nː	0.06
p	p	0.676
v	kʰ_v	0.066
ˈeo̯	ˈɔ̯aː	0.266
ˈuː	ˈɪ	0.156
ˈuː	ˈʉːu̯	0.616
ˈɛɪ̯	ˈai̯	0.276
ˈʏ	ˈɔ	0.076
n	nː_a	0.057
ɐ	ɹ_ʊ	0.157
ɐ	ɪ_ɹ	0.17
ə	ʊ_ɹ	0.37
ˈɔ	ˈœ	0.237
ˈɛɪ̯	ˈʉːu̯	0.07
ˈɪ	ˈɛ	0.187
ˈɪ	ˈɪ	0.637
f	f	0.728
t	ʰt	0.198
ŋ	ŋ_ɡ̊	0.918
ʃ	s_k	0.468
ˈiː	ˈʊ̯iː	0.938
ˈoː	ˈoː	0.178
ˈuː	ˈʊ	0.228
ˈɒː	ˈɛːa̯	0.338
ˈɛɪ̯	ˈɛ	0.128
d	-	0.189
d	tʰ	0.249
j	ɡ̊	0.289
l	t_l̥	0.099
n	-	0.139
n	a	0.299
ə	a	0.529
ɣ	-	0.379
ˈɒː	ˈa	0.219
ˈɛ	ˈiː	0.249
ˈʏ	ˈʊ	0.49
