Campidanese	Logudorese	probability
β_j	j	1.0
ˈɛ_n	ˈe_n	1.0
ˈɔ_ɾ	ˈɔ_ɾ	1.0
ˈɔ	ˈɔ	1.0
ˈu	ˈu	1.0
ˈo_m	ˈɔ_m	1.0
ˈi_ɾ	ˈi_ɾ	1.0
ˈi	ˈi	1.0
ʦ	ʦ	1.0
ɾ_ˈu	ˈu_ɾ	1.0
ɾ_ˈa	ɾ_ˈa	1.0
ɾ_u	ɾ_u	1.0
ɲ	ɲ	1.0
ɡ_w	b	1.0
ɛ_ɾ	ɛ_ɾ	1.0
ɛ	ɛ	1.0
ɖː	ɖː	1.0
ɔ̆	ɔ̆	1.0
ɔ	ɔ	1.0
z	z	1.0
u_ɾ	u_ɾ	1.0
t	t	1.0
r	r	1.0
p	p	1.0
o	o	1.0
nː	nː	1.0
n_u	n_u	1.0
m	m	1.0
l_i	l_ɛ	1.0
l	l	1.0
k_w	b	1.0
k	k	1.0
j	j	1.0
ĭ	ɛ̆	1.0
i_ɾ	ɛ_ɾ	1.0
f	f	1.0
e	e	1.0
d	d	1.0
b	b	1.0
ă	ă	1.0
a_ɾ	ɾ	1.0
a	a	1.0
ˈɛ	ˈɛ	0.965
s	s	0.936
n	n	0.911
ˈe	ˈe	0.903
u	u	0.886
ð	ð	0.859
ɣ	ɣ	0.83
ʧ	k	0.818
ɭː	ʣ	0.774
ˈo	ˈo	0.756
ʃ	s_k	0.735
ɡ	ɡ	0.729
ŋ	m	0.709
ɾ	ɾ	0.702
ʒ	ɣ	0.696
ˈa	ˈa	0.676
β	β	0.673
i	ɛ	0.618
ŭ	ɔ̆	0.583
i_n	ɛ_n	0.5
i_n	i_n	0.5
ŭ	ŭ	0.417
β	-	0.327
ˈa	ˈa_ɾ	0.324
ʒ	-	0.304
ʤ	ʣ	0.3
ŋ	ŋ	0.291
i	i	0.281
ʤ	b	0.278
ɡ	b	0.271
ʃ	ʃ	0.265
ˈo	ˈɔ	0.244
ɭː	l	0.226
ʤ	ɣ	0.219
ɾ	ɛ_ɾ	0.211
ʤ	ɡ	0.202
ʧ	-	0.182
ɣ	j	0.17
ð	-	0.141
ˈe	ˈɛ	0.097
ɾ	-	0.087
u	ɔ	0.065
s	ʦ	0.064
n	-	0.064
i	ɛ_ɾ	0.062
