Corsican	Latin	probability
b	b	1.0
bː	b	1.0
c	k	1.0
f	f	1.0
kː	kː	1.0
nː	n	1.0
o	ɔ	1.0
p	p	1.0
s	s	1.0
sː	sː	1.0
z	s	1.0
ŋ	ŋ	1.0
ʃ	s	1.0
ʃː	s	1.0
ʎ	lʲ_i	1.0
ʤ	-	1.0
ʦ	t	1.0
ʦː	t	1.0
d	-	0.181
tː	tː	0.371
u	ʊ	0.061
v	b	0.061
ɡ	k	0.321
ʧ	-	0.091
a	a	0.182
e	ɛ̃ː	0.512
k	-	0.052
lː	-	0.152
r	-	0.052
u	ɔ	0.062
ɟ	ɡ	0.882
ʧː	t	0.192
ˈo	ˈɔ	0.292
ˈo	ˈoː	0.382
ˈɛ	ˈɛ	0.332
i	iː	0.243
j	ʊ_ɫ	0.113
l	ɫ	0.693
t	t	0.943
ˈɔ	ˈʊ	0.133
ˈɛ	ˈeː	0.23
e	ɛ	0.174
j	ɫ	0.4
u	ʊ̃ː	0.694
ˈu	ˈuː	0.744
ˈɔ	ˈoː	0.254
i	ɛ	0.155
i	ɪ	0.405
m	-	0.055
m	m	0.945
ɲ	ŋ	0.135
ˈa	ˈaː	0.275
ˈa	ˈa	0.555
e	ɛ_r	0.066
v	p	0.06
ˈe	-	0.066
ˈo	ˈʊ	0.326
ˈɛ	ˈɪ	0.206
i	oː_s	0.057
l	l	0.257
lː	m	0.067
lː	lʲː	0.757
u	ɛ̃ː	0.067
ɲ	n_i	0.237
ˈa	ˈaː_r	0.147
ˈe	ˈɪ	0.147
ˈe	ˈɛ	0.787
ˈɛ	ɛ	0.057
a	ɛ	0.058
a	aː	0.058
a	ãː	0.568
j	i	0.068
k	k	0.948
ɲ	n_e	0.38
ʧː	k	0.808
ˈi	iː	0.088
ˈu	ˈʊ	0.208
ˈɛ	ˈa	0.088
d	d	0.819
e	r_ɛ	0.079
i	eː	0.139
j	-	0.419
n	n	0.929
r	r	0.9
tː	t	0.129
tː	k_t	0.499
v	w	0.879
ɟ	j	0.089
ɡ	ɡ	0.679
ɲ	n	0.249
ʧ	k	0.909
ˈi	ˈiː	0.9
ˈɔ	ˈɔ	0.529
ˈɛ	ɪ	0.059
