East Low German	Swiss German	probability
ae̯	æ	1.0
pʰ	p͡f	1.0
r	r	1.0
tʰ	ʦ	1.0
w	ʋ	1.0
z	s	1.0
ɡ	ɡ̊	1.0
ɣ	-	1.0
ɪ	i	1.0
ˈeː	ˈeː	1.0
ˈøː	ˈøː	1.0
ˈɛɪ̯	ˈæː	1.0
b	-	0.101
d	d̥	0.571
j	j	0.1
k	kː	0.061
n	nː	0.051
n	ŋ	0.051
t	t	0.381
ˈaː	ˈɒː	0.371
ˈiː	ˈiə̯	0.171
ˈoː	ˈɒː	0.581
ˈœ	ˈo	0.121
ˈɒː	ˈɒː	0.381
ˈɔʏ̯	ˈuə̯	0.091
ˈɔʏ̯	ˈøi̯	0.181
ˈɛː	ˈæː	0.081
ˈɛː	ˈi	0.151
ˈʊ	ˈuə̯	0.061
ˈʏ	ˈy	0.581
k	k	0.172
m	mː	0.082
n	ə	0.292
s	χ_s	0.122
t	r_ʦ	0.062
ç	ɡ̊	0.532
ʃ	ʃ	0.972
ˈaʊ̯	ˈuə̯	0.372
ˈuː	ˈuː	0.662
ˈɔ	ˈɒ	0.152
ˈɛː	ˈe	0.092
b	b̥	0.883
f	f	0.833
kʰ	k	0.093
m	m	0.73
s	ʃ	0.353
t	ʦ	0.113
x	χ	0.513
æ	ə_r	0.233
ŋ	ɡ̊ː	0.073
ŋ	ɡ̊	0.403
ˈa	ˈæ	0.073
ˈaʊ̯	ˈoː	0.183
ˈoː	rː	0.053
ˈoː	ˈu	0.163
ˈyː	ˈyː	0.953
ˈœ	ˈau̯	0.083
ˈœː	ˈuː	0.083
ˈœː	ˈy	0.203
ˈœː	ˈi	0.253
ˈɔ	ˈu	0.33
ˈɛː	ˈyː	0.063
ˈɪ	ˈi	0.73
ˈʊ	ˈuː	0.053
h	h	0.944
v	-	0.064
ŋ	ŋ	0.524
ɾ	ə	0.134
ˈa	ˈɒː	0.104
ˈa	ˈɒ	0.794
ˈaː	ˈɒ	0.374
ˈiː	ˈi	0.164
ˈɔʏ̯	ˈøː	0.074
ˈɛ	ˈe	0.074
ˈɛ	ˈæ	0.654
n	n	0.595
s	s	0.525
t	sː	0.35
æ	-	0.05
ˈae̯	ˈøi̯	0.05
ˈae̯	ˈy	0.125
ˈaɪ̯	ˈyː	0.5
ˈaɪ̯	ˈeː	0.5
ˈoː	ˈau̯	0.135
ˈœ	ˈæ	0.305
ˈœ	ˈø	0.305
ˈɒː	ˈoː	0.385
d	t	0.396
f	b̥	0.156
h	-	0.056
p	p	0.106
ɾ	d̥_ə	0.396
ˈae̯	ˈæi̯	0.376
ˈaʊ̯	ˈau̯	0.26
ˈiː	ˈiː	0.496
ˈuː	ˈoː	0.096
ˈuː	ˈo	0.126
ˈœ	ˈu	0.186
ˈœː	ˈyː	0.186
ˈɒː	ˈo	0.106
ˈɔʏ̯	ˈyː	0.126
ˈɔʏ̯	ˈyə̯	0.46
ˈɛ	ˈy	0.126
ˈɪ	ˈe	0.06
ˈɪ	ˈæ	0.076
ˈʊ	ˈøi̯	0.106
k	χ	0.617
kʰ	χ	0.907
l	l	0.957
p	p͡f	0.237
x	ɡ̊	0.487
æ	r	0.717
ç	ɡ̊ː	0.17
ç	χ	0.297
ɾ	tː	0.47
ˈaʊ̯	ˈɒ	0.067
ˈiː	ˈæ	0.077
ˈɛ	ˈæː	0.087
ˈɛː	ˈɒ	0.207
m	-	0.098
p	f	0.518
v	ʋ	0.898
ˈae̯	ˈæː	0.088
ˈaʊ̯	ˈyə̯	0.118
ˈaː	ˈæː	0.128
ˈaː	ˈæ	0.128
ˈoː	ˈoː	0.068
ˈuː	ˈu	0.068
ˈœː	ˈoː	0.128
ˈœː	ˈø	0.128
ˈɒː	ˈɒ	0.128
ˈɔ	ˈo	0.518
ˈɔʏ̯	ˈo	0.068
ˈɛː	ˈæ	0.378
ˈʊ	ˈo	0.058
ˈʊ	ˈu	0.688
ˈʏ	ˈu	0.218
j	ɡ̊	0.9
k	ɡ̊	0.09
m	b̥	0.09
p	fː	0.139
ˈae̯	ˈeː	0.099
ˈae̯	ˈyː	0.199
ˈʏ	ˈø	0.079
ˈʏ	ˈiː	0.079
