East Low German	Swiss German	probability
b	b̥	0.854
b	-	0.097
b	f	0.047
d	d̥	0.532
d	t	0.355
d	-	0.064
d	ɡ̊	0.037
f	f	0.827
f	b̥	0.128
f	p	0.041
h	h	1.0
j	ɡ̊	0.701
j	j	0.275
k	χ	0.446
k	k	0.332
k	ɡ̊	0.133
k	-	0.071
kʰ	χ	0.979
kʰ	-	0.037
l	l	0.975
l	-	0.03
m	m	0.768
m	-	0.19
m	mː	0.04
n	n	0.548
n	ə	0.267
n	-	0.142
n_d	ŋ	0.491
p	f	0.423
p	p͡f	0.303
p	p	0.117
p	fː	0.096
r	r	1.0
s	s	0.632
s	ʃ	0.226
s	χ_s	0.096
t	t	0.615
t	sː	0.168
t	s	0.097
t	ʦ	0.052
t	r_ʦ	0.037
tʰ	ʦ	1.0
v	ʋ	0.943
v	b̥	0.059
w	ʋ	1.0
x	χ	0.655
x	ɡ̊	0.332
z	s	1.0
æ	r	0.662
æ	ə_r	0.247
æ	r_ə	0.039
æ	-	0.035
æ	rː	0.035
ç	ɡ̊	0.523
ç	-	0.166
ç	χ_t	0.109
ç	χ_ə	0.099
ç	χ	0.083
ŋ	ŋ	0.609
ŋ	ŋ_ə	0.179
ŋ	ɡ̊_ə	0.16
ɡ	ɡ̊	1.0
ɣ	-	0.491
ɪ	i	1.0
ɾ	tː	0.372
ɾ	d̥_ə	0.276
ɾ	t_ə	0.186
ɾ	ə	0.075
ʃ	ʃ	1.0
ˈa	ˈɒ	0.619
ˈa	ˈa	0.165
ˈa	ˈɒː	0.119
ˈa	ˈæ	0.05
ˈa	ˈø	0.05
ˈae̯	ˈyː	0.284
ˈae̯	ˈæi̯	0.133
ˈae̯	ˈɛi̯	0.133
ˈae̯	ˈy	0.1
ˈae̯	ˈiə̯	0.076
ˈae̯_n	ˈei̯	1.0
ˈaɪ̯	ˈyː	1.0
ˈaʊ̯	ˈuə̯	0.408
ˈaʊ̯	ˈoː	0.231
ˈaʊ̯	ˈou̯	0.149
ˈaʊ̯	ˈau̯	0.077
ˈaʊ̯	ˈyə̯	0.049
ˈaː	ˈɒː	0.538
ˈaː	ˈa	0.132
ˈaː	r	0.085
ˈaː	ˈæ	0.085
ˈaː	ˈæː	0.06
ˈeː	ˈeː	1.0
ˈiː	ˈiː	0.406
ˈiː	ˈiə̯	0.158
ˈiː	ˈi	0.124
ˈiː	ˈæ	0.108
ˈiː	ˈyː	0.071
ˈoː	ˈɒː	0.269
ˈoː	ˈu	0.115
ˈoː	ˈæ	0.115
ˈoː	ˈau̯	0.086
ˈuː	ˈuː	0.538
ˈuː	ˈoː	0.159
ˈuː	ˈu	0.139
ˈuː	ˈo	0.091
ˈuː	ˈau̯	0.063
ˈyː	ˈyː	0.76
ˈyː	ˈøː	0.239
ˈøː	ˈøː	0.66
ˈøː	ˈo	0.159
ˈœ	ˈou̯	0.425
ˈœ	ˈæ	0.24
ˈœ	ˈø	0.135
ˈœː	ˈi	0.219
ˈœː	ˈoː	0.219
ˈœː	ˈuː	0.219
ˈœː	ˈy	0.142
ˈœː	ˈø	0.142
ˈɒː	ˈɒː	0.429
ˈɒː	ˈɒ	0.245
ˈɒː	ˈo	0.167
ˈɒː	ˈoː	0.145
ˈɔ	ˈo	0.573
ˈɔ	ˈɒ	0.172
ˈɔ	ˈu	0.127
ˈɔ	ˈou̯	0.04
ˈɔʏ̯	ˈyə̯	0.558
ˈɔʏ̯	ˈyː	0.148
ˈɔʏ̯	ˈøi̯	0.096
ˈɔʏ̯	ˈøː	0.096
ˈɛ	ˈæ	0.545
ˈɛ	ˈy	0.114
ˈɛ	ˈɒː	0.114
ˈɛ	ˈe	0.085
ˈɛ	ˈæː	0.065
ˈɛɪ̯	ˈæː	1.0
ˈɛː	ˈæ	0.351
ˈɛː	ˈɒ	0.186
ˈɛː	ˈyː	0.141
ˈɛː	ˈe	0.086
ˈɛː	ˈæː	0.08
ˈɪ	ˈi	0.672
ˈɪ	ˈiə̯	0.083
ˈɪ	ˈy	0.063
ˈɪ	ˈæ	0.054
ˈɪ	ˈɛi̯	0.052
ˈʊ	ˈu	0.441
ˈʊ	ˈo	0.194
ˈʊ	ˈuː	0.194
ˈʊ	ˈuə̯	0.083
ˈʊ	ˈøi̯	0.065
ˈʏ	ˈu	0.495
ˈʏ	ˈy	0.248
ˈʏ	ˈø	0.085
