Limburgish	Limburgish	probability
β_ˈɑ	w	1.0
ˈʏː	-	1.0
ˈʏ	ˈɪ	1.0
ˈʊ	ˈɐ	1.0
ˈɛːi̯	ˈiː	1.0
ˈœː	-	1.0
ˈœi̯	-	1.0
ˈæː_ʀ	ˈɑː	1.0
ˈæː	-	1.0
ˈæ	-	1.0
ˈeː_ʀ	ˈɔː	1.0
ˈaː_ʀ	ɜː	1.0
ʃ	ʃ	1.0
ɪ	-	1.0
ɦ	h	1.0
ɣ̊_#>	#>	1.0
ɣ̊	ˈaɪ̯	1.0
ɣ_ə_#>	#>	1.0
ə_ʀ	ə	1.0
ə_l	ɫ	1.0
ŋ_k	ŋ	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
z̥	z	1.0
z	s	1.0
w	ɫ	1.0
v̥_#>	f_#>	1.0
v̥	v	1.0
v_ə	v	1.0
t	t	1.0
s_#>	ʃ_#>	1.0
p	p	1.0
m	m	1.0
l_ˈʊː	l	1.0
k_ə	k	1.0
k_n	n	1.0
j_ə	d	1.0
j_#>	#>	1.0
i	ˈiː	1.0
b	b	1.0
<#_ʀ	<#_ɹ	1.0
<#_t	<#_tʰ	1.0
<#_p	<#_pʰ	1.0
v	f	0.862
β	w	0.833
ˈɪː	ˈɪ	0.818
d̥	d	0.793
n	n	0.784
ˈiː	ˈaɪ̯	0.75
ˈuː	ˈaʊ̯	0.727
s	s	0.722
ɣ	ɡ	0.706
ˈʊː_ʀ	ˈɔː	0.667
ə	-	0.667
x	t	0.667
l	l	0.628
d	d	0.6
ˈu	ˈe	0.571
ˈoː	ˈɐ	0.571
ˈɛː	ˈəʊ̯	0.533
ˈʊː	ˈɐ	0.5
ˈɪ	ˈɪ	0.5
ˈɪ	ˈe	0.5
ˈɔː	ˈiː	0.5
ˈɔː	-	0.5
ˈɔu̯	ˈɐ	0.5
ˈɔu̯	-	0.5
ˈɑː	ˈæ	0.5
ˈɑː	-	0.5
ˈœ	ˈɪ	0.5
ˈœ	-	0.5
ˈøː	ˈiː	0.5
ˈøː	-	0.5
ˈyː	ˈɪ	0.5
ˈyː	ˈaɪ̯	0.5
ˈɒː	-	0.455
ˈɛ	ˈɪ	0.429
ˈu	-	0.429
ˈoː	ˈaʊ̯	0.429
j	d	0.429
ˈɔ	ˈɒ	0.4
ʀ	ɹ	0.4
d	θ	0.4
k	k	0.387
ˈɒː	ˈiː	0.364
ˈɑ	ˈɑː	0.364
ˈi	ˈiː	0.364
ˈaː	ˈɑː	0.35
ˈʊː_ʀ	ˈɜː	0.333
x	-	0.333
l	ɫ	0.326
ˈaː	ˈeɪ̯	0.3
ˈɛ	ˈaɪ̯	0.286
ˈɛ	-	0.286
j	ð	0.286
j	-	0.286
s	s_t	0.278
ˈɑ	-	0.273
ˈuː	-	0.273
ˈi	ˈəʊ̯	0.273
k	ʧ	0.258
k	kʰ	0.258
ˈiː	-	0.25
ʀ	ə	0.244
ˈeː	ˈɪ	0.241
d̥	θ	0.207
ˈɛː	ˈiː	0.2
ˈɔ	ˈʊ	0.2
ˈɔ	ˈɐ	0.2
ˈɔ	-	0.2
ˈɪː	ˈaɪ̯	0.182
ˈɒː	ˈɛ	0.182
ˈɑ	ˈe	0.182
ˈɑ	ˈaɪ̯	0.182
ˈi	ˈaɪ̯	0.182
ˈi	-	0.182
ɣ	-	0.176
n	-	0.176
ˈeː	ˈiː	0.172
ˈeː	ˈe	0.172
ˈeː	ˈaɪ̯	0.172
ˈeː	-	0.172
ˈaː	ˈæ	0.15
v	v	0.138
ˈɛː	ˈɪ	0.133
ˈɛː	ˈe	0.133
ˈʊː	ˈʊ	0.125
ˈʊː	ˈəʊ̯	0.125
ˈʊː	ˈuː	0.125
ˈʊː	-	0.125
ə	n	0.123
ɣ	j	0.118
ʀ	ˈɔː	0.111
ʀ	-	0.111
β	w_ˈe	0.1
ˈaː	ˈɒ	0.1
ˈaː	-	0.1
k	ʤ	0.097
ə	ɪ	0.07
ə	ə_n	0.07
ˈeː	ˈe_ð	0.069
β	-	0.067
ʀ	ˈɪ_ə	0.067
ʀ	ˈɜː	0.067
