Meixian	Meixian	probability
⁵	⁴	1.0
ʨ	ʦ	1.0
ʦ	ʦ	1.0
ʋ_ɔ	ŋ̍	1.0
ɛ_t̚	k̚	1.0
ɕ	s	1.0
ŋ_¹¹	⁵⁵	1.0
ŋ	ŋ	1.0
ç	kʰ	1.0
¹¹	⁵⁵	1.0
²	²	1.0
z̩	i	1.0
z	-	1.0
t	t	1.0
p̚	p̚	1.0
p	p	1.0
n̩	n_i	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ʊ	e	1.0
e	a	1.0
cʰ	k	1.0
c	k	1.0
a_ŋ	ẽ	1.0
a_w	o	1.0
a_n	u_ŋ	1.0
a_j	a_j	1.0
<#_ŋ	<#_ɡ	1.0
³¹	⁵²	0.88
⁴⁴	³³	0.871
¹	²	0.857
n	ŋ	0.8
ʦʰ	ʦʰ	0.75
ʊ	a	0.75
tʰ	tʰ	0.714
l	l	0.714
h	h	0.714
w	w	0.7
m	m	0.692
u	u	0.688
ʨʰ	ʦʰ	0.667
ɛ	e	0.667
ɲ	ʣ	0.571
s	ʦ	0.556
i	i	0.545
t̚	ʔ	0.538
k̚	ʔ	0.538
ʋ	w	0.5
ʋ	m	0.5
pʰ	pʰ	0.5
pʰ	p	0.5
t̚	k̚	0.462
k̚	k̚	0.462
<#	<#_h	0.462
s	s	0.444
o	a	0.444
a	e	0.444
ɲ	-	0.429
ɔ	a	0.421
⁵³	¹¹	0.4
⁵³	²¹³	0.4
j	j	0.346
ʨʰ	ʨʰ	0.333
ɛ	-	0.333
o	o	0.333
a	a	0.333
m	b	0.308
f	w	0.308
f	h	0.308
w	-	0.3
tʰ	t	0.286
l	n	0.286
h	kʰ	0.286
j	-	0.269
ɔ	ɯ	0.263
ʦʰ	t	0.25
ʊ	o	0.25
f	p	0.231
<#	<#_kʰ	0.231
o	w	0.222
⁵³	³⁵	0.2
u	w	0.188
i	w_e	0.182
ɔ	o	0.158
j	w	0.154
f	-	0.154
<#	<#_ʦʰ	0.154
<#	<#_ɡ	0.154
¹	⁴	0.143
u	i_w	0.125
³¹	³⁵	0.12
j	a	0.115
ɔ	-	0.105
n	l	0.1
n	ã	0.1
⁴⁴	⁵²	0.097
i	u_j	0.091
i	u	0.091
i	o_w	0.091
j	h	0.077
a	ũ	0.074
a	o	0.074
a	j_a	0.074
ɔ	õ	0.053
