Mainland North Frisian	Mainland North Frisian	probability
ˈʏ_#>	#>	1.0
ˈɔu̯	-	1.0
ˈɔ	ˈɔ	1.0
ˈœː	-	1.0
ˈœi̯	-	1.0
ˈœ_ʀ	ˈʌ	1.0
ˈu	-	1.0
ˈiː_nʲ	ˈɔe̯	1.0
ˈi_d̥	ˈəi̯_d	1.0
ˈaː	-	1.0
ˈai̯	-	1.0
ɡ	ɡ	1.0
ɛi̯	eə̯	1.0
ə_ʀ	ʌ	1.0
z	s	1.0
v̥_#>	b_#>	1.0
v̥	f	1.0
v_ə_n_#>	f_#>	1.0
tʲ	s	1.0
s_t	ʃ_d	1.0
p	f	1.0
n_ə	n_d	1.0
m	m	1.0
lʲ	l_d	1.0
l	l	1.0
j_ˈa	ˈɛ	1.0
j_ə	ɡ	1.0
h	h	1.0
f	f	1.0
dʲ	d	1.0
d_ʀ	d_ʁ	1.0
<#_ʀ	<#_ʁ	1.0
b	b	0.889
ʃ	ʃ	0.857
ŋ	ŋ	0.846
d	d	0.8
ə	a	0.783
x	x	0.75
v	ʋ	0.75
i	-	0.75
d̥	d	0.75
s	s	0.743
n	n	0.676
ˈa	-	0.643
<#	<#_ˈa	0.6
ˈɒ	ˈa	0.571
ˈyː	ˈoː	0.571
j	ɡ	0.571
ˈɛi̯	-	0.556
#>	ɡ_#>	0.545
ˈʏ	ˈao̯	0.538
ˈɛː	ˈɛ	0.5
ˈɛː	-	0.5
ˈɒː	ˈa	0.5
z̥	d	0.5
z̥	-	0.5
nʲ	ɡ_a	0.5
nʲ	n_d	0.5
ˈœ	-	0.462
ʀ	ʕ	0.457
#>	d_#>	0.455
ˈɔː	-	0.444
ˈɛ	-	0.429
ˈɒ	ˈɛ	0.429
ˈyː	-	0.429
j	-	0.429
ˈuː	ˈao̯	0.417
t	d	0.412
<#	<#_kʰ	0.4
t	ʦ	0.382
ʀ	ʁ	0.371
ˈʊ	ˈo	0.368
ˈiː	ˈɔe̯	0.368
ˈeː	ˈa	0.364
k	kʰ	0.35
ˈɔː	ˈɔː	0.333
ˈuː	-	0.333
ˈi	ˈəi̯	0.333
ˈœ	ˈuə̯	0.308
k	ç	0.3
ˈɛ	ˈuə̯	0.286
ˈɛ	ˈiə̯	0.286
ˈi	ˈi	0.278
ˈeː	ˈɛ	0.273
ˈʊ	ˈa	0.263
ˈʊ	-	0.263
ˈɒː	ˈaː	0.25
ˈɒː	-	0.25
ˈuː	ˈa	0.25
x	ɡ	0.25
i	i	0.25
d̥	t	0.25
n	-	0.235
ˈʏ	ˈo	0.231
ˈʏ	-	0.231
ˈœ	ˈa	0.231
ˈɛi̯	ˈɛː	0.222
ˈɛi̯	ˈaː	0.222
ˈɔː	ˈɔ	0.222
ə	-	0.217
ˈa	ˈi	0.214
ˈiː	ˈiə̯	0.211
s	ʃ	0.2
k	ɡ	0.2
ˈeː	ˈe	0.182
ˈeː	-	0.182
t	s	0.176
ʀ	ʌ	0.171
ˈi	ˈeː	0.167
ˈiː	ˈeː	0.158
ˈiː	ˈae̯	0.158
ŋ	ɡ	0.154
k	x	0.15
ˈa	ˈɛ	0.143
ʃ	-	0.143
v	b	0.125
v	-	0.125
ˈi	ˈae̯	0.111
ˈi	n	0.111
b	b_ˈɛ	0.111
ˈʊ	ʋ_ˈo	0.105
ˈiː	ˈiː	0.105
d	ɡ	0.1
d	s	0.1
n	d	0.088
s	ʃ_ʋ	0.057
