Upper Sorbian	Macedonian	probability
b	b	1.0
bʲ	b	1.0
d	d	1.0
e	ˈɛ	1.0
i	i	1.0
j	j	1.0
k	k	1.0
kʲ	o_k	1.0
m	m	1.0
mʲ	m	1.0
n	n	1.0
p	p	1.0
pʲ	p	1.0
s	s	1.0
x	k	1.0
z	z	1.0
ɥ	v	1.0
ɲ	n	1.0
ʒ	ʒ	1.0
ʤ	d	1.0
ˈi	ˈi	1.0
ˈɪ	ˈi	1.0
a	a	0.971
ʦ	ʦ	0.861
ˈa	ˈa	0.601
ˈo	ˈo	0.791
ˈɔ	u	0.071
ˈɔ	ˈa	0.111
ˈɛ	ɛ	0.471
ɔ	o	0.682
ʀʲ	r	0.932
ˈɔ	ˈɛ	0.162
β	f	0.082
l	l	0.653
t	d	0.063
w	ɫ	0.943
ʀ	ˈr̩	0.123
ʃ	ʃ	0.323
ˈe	ˈɛ	0.853
ɛ	ˈɛ	0.115
ɛ	ɛ	0.885
ˈu	ˈu	0.295
ˈu	ˈa	0.705
ˈɔ	ˈo	0.656
l	ɫ	0.347
t	t	0.937
w	-	0.057
ʀ	r	0.877
ʃ	r	0.677
ˈe	-	0.147
ɦ	ɡ	0.978
ʀʲ	ˈr̩	0.068
β	v	0.918
ɔ	ɛ	0.289
ʦ	ɛ_#>	0.139
ʧ	t	0.969
ˈa	ˈɛ	0.399
ˈo	ˈa	0.209
ˈɛ	ˈɛ	0.529
