Occitan	Neapolitan	probability
i	i	1.0
y	u	1.0
ð	t	1.0
ŋ	ŋ	1.0
ɔ	ə	1.0
ʧ	tː_ə	1.0
d	-	0.441
e	-	0.051
f	f	0.991
p	p	0.951
r	ɾ_ə	0.091
w	v_ə	0.241
ɣ	k	0.461
ɥ	w	0.831
ʤ	-	0.591
ˈy	ˈu_ɾ	0.051
b	b_w	0.22
e	i	0.142
m	m	0.882
n	n	0.832
ɡ	ɡ	0.852
ɣ	-	0.402
ɲ	ɲː_ə	0.22
ʎ	ʎː	0.52
β	p	0.662
k	kː	0.063
n	n_t	0.133
z	-	0.333
ɾ	r	0.203
ɾ	ɾ	0.63
ʤ	d	0.113
ʦ	ʦː_ə	0.53
ˈu	ˈu_n	0.063
ˈy	ˈu	0.863
j	j	0.474
l	l_ə	0.114
l	lː_ə	0.164
t	-	0.054
t	t	0.594
u	u	0.634
v	v	0.994
w	-	0.324
ˈi	ˈi	0.954
ˈɛ	j_ˈɛ	0.244
ˈɛ	ˈɛ	0.484
β	-	0.054
β	v	0.284
b	v	0.625
e	ə	0.695
r	r	0.395
s	s	0.45
ˈe	-	0.05
ˈu	ˈu	0.455
ˈɔ	w_ˈɔ	0.335
ˈɔ	ˈɔ	0.665
b	-	0.156
k	k_ə	0.166
l	-	0.056
t	t_ə	0.226
w	ə	0.196
ɲ	ɲː	0.766
ʤ	ʤ	0.296
ˈy	ˈo	0.086
ˈɛ	ˈe	0.126
k	k	0.757
l	j	0.117
r	ɾ_n	0.057
t	tː_ə	0.087
z	ʃ	0.667
ɣ	ɡ	0.137
ɾ	-	0.167
ʦ	ʃ_ə	0.47
ˈa	ˈa	0.847
ˈe	ˈe	0.557
ˈu	ˈɔ	0.297
a	a	0.858
j	ə	0.068
l	l	0.468
s	ʃ	0.228
u	ˈu	0.08
u	ə	0.118
u	o	0.168
w	w	0.198
ɡ	-	0.148
ʎ	-	0.48
ˈa	ˈa_n	0.08
ˈɛ	ˈa	0.098
a	ˈa	0.109
d	d	0.559
j	t	0.109
j	-	0.349
r	ɾ	0.439
s	-	0.269
ɥ	-	0.169
ˈe	ˈi	0.329
ˈu	ˈo	0.129
