Danish	Westphalian	probability
b̥	b	0.767
b̥	p	0.194
d̥	d	1.0
e	n	0.671
e	ɪ	0.329
f	f	0.972
h	h	0.958
i	ɪ	1.0
j	h	0.27
j	-	0.168
j	ə	0.13
j	ˈɛː	0.12
j	x	0.096
j	ˈɪɛ̯	0.082
j	ɣ	0.058
jˀ	ŋ	0.906
jˀ	ɡ	0.094
k	-	0.529
k	k	0.471
kʰ	k	0.866
kʰ	f	0.077
kʰ	d	0.057
l	l	0.959
lˀ	l	0.509
lˀ	l_v	0.299
lˀ	l_d	0.122
lˀ	ɐ	0.07
m	m	1.0
mˀ	v	0.541
mˀ	m	0.459
n	n	0.895
n	-	0.105
nˀ	n	0.456
nˀ	n_d	0.454
nˀ	t	0.077
p	p	1.0
s	s	0.592
s	ʃ	0.355
t	t	0.703
t	x_t	0.085
t	-	0.073
t	x	0.069
t	ç	0.069
w	v_n	0.25
w	v	0.21
w	ŋ	0.19
w	-	0.174
w	x	0.111
w	ˈɪ	0.064
wˀ	ə	0.572
wˀ	m	0.428
ð̞ˠ	t	0.665
ð̞ˠ	d	0.32
ŋ	ŋ	0.748
ŋ	-	0.162
ŋ	ç	0.09
ŋˀ	ŋ	1.0
ɐ	ɐ	0.716
ɐ	-	0.091
ɐ	d_ɐ	0.079
ɐ	ˈyː	0.078
ɐˀ	ˈuːə̯	0.354
ɐˀ	ˈœː	0.335
ɐˀ	ˈɔː	0.184
ɐˀ	ɐ	0.127
ə	n	0.4
ə	-	0.351
ə	ə	0.205
ɡ̊	x	0.737
ɡ̊	k	0.148
ɡ̊	-	0.073
ʁ	r	0.876
ʁ	-	0.075
ʋ	w	0.821
ʋ	v	0.089
ʦʰ	d	0.665
ʦʰ	t	0.285
ʨ	d	1.0
ˈa	ˈa	0.654
ˈa	ˈaː	0.14
ˈa	ˈɛ	0.116
ˈa	ˈɔː	0.051
ˈaː	ˈaː	1.0
ˈe	ˈɪ	0.769
ˈe	ˈɛ	0.11
ˈe	ˈaʊ̯	0.081
ˈeˀ	ˈeː	0.596
ˈeˀ	ˈaɪ̯	0.198
ˈeˀ	ˈaʊ̯	0.058
ˈeː	ˈaɪ̯	0.654
ˈeː	ˈa	0.346
ˈi	ˈiɛ̯	0.459
ˈi	ˈɪɛ̯	0.251
ˈi	ˈiː	0.145
ˈi	ˈyː	0.145
ˈiˀ	ˈiː	0.623
ˈiˀ	ˈɪ	0.168
ˈiˀ	ˈɪə̯	0.119
ˈiˀ	ˈaɪ̯	0.09
ˈiː	ˈiː	0.579
ˈiː	ˈɛ	0.247
ˈiː	ˈeː	0.111
ˈiː	ˈiə̯	0.063
ˈo	w	0.717
ˈo	ˈoː	0.283
ˈoˀ	ˈoː	0.494
ˈoˀ	ˈaʊ̯	0.136
ˈoˀ	ˈeː	0.136
ˈoˀ	-	0.115
ˈoˀ	ˈuə̯	0.085
ˈoː	ˈyːœ̯	0.344
ˈoː	ˈoː	0.248
ˈoː	ˈɔ	0.201
ˈoː	ˈaʊ̯	0.104
ˈoː	ˈa	0.103
ˈu	ˈʊ	0.655
ˈu	ˈyə̯	0.168
ˈu	ˈuː	0.059
ˈu	ˈuːə̯	0.059
ˈu	ˈʏ	0.059
ˈuˀ	ˈuː	0.362
ˈuˀ	ˈʊ	0.353
ˈuˀ	ˈuə̯	0.173
ˈuˀ	ˈɪɛ̯	0.113
