Macedonian	Macedonian	probability
ʧ	ʨ	1.0
ʦ	ʦ	1.0
ʣ	z	1.0
ʒ̊	ʐ̊	1.0
ʒ_ɛ	ʐ_ɨ	1.0
ʒ	ʐ	1.0
ʃ	ʂ	1.0
ɾ	rʲ	1.0
ɲ	nʲ	1.0
ɫ_#>	ɫ_#>	1.0
ɡ	ɡ	1.0
ɟ	dʲ	1.0
z̥	-	1.0
x	xʲ	1.0
u_ˈ	ʊ	1.0
s_a	s_a	1.0
o_ˈ	ɐ	1.0
o_k	kʲ	1.0
o_#>	ə_#>	1.0
k_#>	k_#>	1.0
c	ʨ	1.0
b	b	1.0
<#_v	<#_v	1.0
<#_t	<#_tʲ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_lʲ	1.0
<#_b	<#_bʲ	1.0
<#	<#_v	1.0
o	o	0.926
k	k	0.857
ɛ_ˈ	e_ˈ	0.842
d̥	d̥	0.8
l	lʲ	0.778
a_#>	ə_#>	0.769
ˈ	ˈ	0.743
ɫ	ɫ	0.714
<#_j	<#_j	0.714
s	s	0.688
ɡ̊	ɡ̊	0.667
b̥	b̥	0.667
t	t	0.64
ɛ_#>	ə_#>	0.6
z	z	0.583
v	vʲ	0.571
r̩	e	0.571
d	d	0.571
u	u	0.556
p	pʲ	0.545
r	r	0.542
m	m	0.524
a	a	0.519
m	mʲ	0.476
#>	j_#>	0.468
ɛ	ɪ	0.467
p	p	0.455
n	n	0.45
#>	ˈ_#>	0.447
ɔ	-	0.444
r̩	ɵ	0.429
z	zʲ	0.417
ɛ_#>	#>	0.4
i	ɨ	0.381
i	i	0.381
t	tʲ	0.36
ɡ̊	ɡʲ	0.333
ɔ	o	0.333
u	-	0.333
r	rʲ	0.333
f	x_o	0.333
f	v_ɨ	0.333
d	dʲ	0.333
b̥	b̥ʲ	0.333
s	sʲ	0.312
n	nʲ	0.3
v	v	0.286
<#_j	<#	0.286
n	n_ɨ	0.25
a_#>	#>	0.231
ɔ	ɐ	0.222
l	-	0.222
ˈ	-	0.221
d̥	d̥ʲ	0.2
ɫ	lʲ	0.179
f	fʲ	0.167
f	f	0.167
ɛ_ˈ	ɐ	0.158
a	o	0.154
v	x	0.143
k	-	0.143
i	ɪ	0.143
r	ɐ_r	0.125
ɛ	e_ˈ	0.111
u	ʉ	0.111
ɫ	ɫ_ɨ	0.107
a	-	0.096
i	ɨ_ˈ	0.095
d	-	0.095
ɛ	tʲ	0.089
a	u	0.077
o	-	0.074
ɛ	ɵ	0.067
ɛ	a	0.067
ɛ	-	0.067
a	ʊ	0.058
a	ə	0.058
