Dutch	Dutch	probability
χ_ˈɑ	ɡ̊_ˈɑ	1.0
χ_ˈoː	ˈẽː	1.0
χ_t	x_d̥	1.0
ˈɑu̯	ˈɑ_l	1.0
ˈɑ_ɾ	ˈɑː_ɐ	1.0
ˈøː	ˈɑː	1.0
ˈyː	ˈaɪ̯	1.0
ˈu_n	ˈĩː	1.0
ˈoː_n	ˈõː	1.0
ˈoː_d̥	ˈoː_d̥	1.0
ˈeː_χ	ˈɑ̃ɪ̯	1.0
ˈeː_v	ˈɛ_β	1.0
ˈaː_t	ˈɑ_s	1.0
ʋ	β	1.0
ɾ_ə	ɐ	1.0
ɾ_t	ɐ_ʣ̥	1.0
ɫ	l	1.0
ɪ	ɪ	1.0
ɦ	h	1.0
ə_ɾ	ɐ	1.0
ə_v̥	f	1.0
ə_n	ə	1.0
ə_#>	#>	1.0
z̥	s	1.0
w	-	1.0
v̥_#>	b̥_#>	1.0
s_χ	ʃ	1.0
n_s	n_ʃ	1.0
n_d	n	1.0
m	m	1.0
j	j	1.0
i	eː	1.0
d̥	d̥	1.0
d_ˈɪ	d̥_ˈɪ	1.0
d_ɾ	d̥_r	1.0
b	b̥	1.0
<#_ɾ	<#_r	1.0
<#_n	<#_n	1.0
#>	ʃ_#>	1.0
s	ʃ	0.909
v	f	0.893
ˈɛi̯	ˈaɪ̯	0.846
ŋ	ŋ	0.833
ˈi	ˈiː	0.812
z	s	0.792
ˈɪ	ˈɪ	0.783
d	d̥	0.769
ə	-	0.75
n	n	0.739
ˈʏ	ˈɪ	0.714
ˈœy̯	ˈau̯	0.692
ˈu	ˈuː	0.688
p	f	0.688
ˈɛ	ˈɛ	0.684
ˈɑ	ˈɑ	0.667
k	kʰ	0.65
k_#>	ʃ_#>	0.636
ɾ	ɐ	0.625
χ_ə	j	0.6
χ	ɡ̊	0.576
ˈɔ	ˈu	0.542
ˈeː	ˈɛː	0.476
ˈɔ	ˈɔ	0.458
χ_ə	x	0.4
t	d̥	0.4
ɾ	r	0.375
k_#>	x_#>	0.364
k	ɡ̊	0.35
ˈaː	ˈoː	0.348
ˈeː	ˈeː	0.333
t	s	0.333
ˈʏ	ˈɛ	0.286
χ	ʃ	0.273
ˈoː	ˈɑː	0.269
t	ʣ̥	0.267
ə	ɪ	0.25
p	b̥	0.25
ˈœy̯	ˈaɪ̯	0.231
ˈoː	ˈoː	0.231
d	r	0.231
ˈɪ	-	0.217
z	ʃ	0.208
ˈɑ	ˈɑː	0.2
n	-	0.196
ˈoː	ˈɔ	0.192
ˈu	ˈiː	0.188
ˈaː	ˈɑː	0.174
ˈaː	ˈɑ	0.174
ŋ	ʃ	0.167
ˈɛ	ˈɪ	0.158
ˈɛ	-	0.158
ˈɛi̯	ˈɛː	0.154
ˈɑ	ˈɛ	0.133
ˈu	-	0.125
ˈi	ˈaɪ̯	0.125
ˈoː	ˈu	0.115
ˈoː	-	0.115
v	β	0.107
ˈeː	ˈɛ_r	0.095
ˈeː	ˈɛ	0.095
χ	x	0.091
s	ɡ̊_s	0.091
ˈaː	ˈɛː	0.087
ˈaː	ˈɛ	0.087
ˈaː	ˈeː	0.087
ˈœy̯	ˈau̯̯	0.077
ˈoː	ˈeː	0.077
n	ə	0.065
ˈi	ˈi	0.062
p	pʰ	0.062
χ	-	0.061
