North Frisian	Danish	probability
ˈɛː	-	1.0
ˈɛ	ˈøː	1.0
ˈɔ	ˈo	1.0
ˈøː	ˈuˀ	1.0
ˈai̯	ˈe	1.0
ˈa_r	ˈɑˀ	1.0
ɡ	ɡ̊	1.0
ŋ_k	k	1.0
z_ə	s_ə	1.0
z	ð̞ˠ	1.0
x_t	t	1.0
x	ɡ̊	1.0
v_ə	w	1.0
t_ə	ð̞ˠ_ə	1.0
t_r	ʦʰ_ʁ	1.0
r_s	s	1.0
p_#>	p_#>	1.0
m	m	1.0
lʲ	lˀ	1.0
l_ə	lˀ	1.0
f_#>	w_#>	1.0
f	f	1.0
dʲ	ð̞ˠ	1.0
b	b̥	1.0
<#_r	<#_ʁ	1.0
s	s	0.915
#>	ə_#>	0.882
h	h	0.864
ʃ	s_k	0.857
l	l	0.846
ə	ə	0.81
tʲ	ð̞ˠ	0.8
n	n	0.796
d	d̥	0.778
ˈyː	ˈuˀ	0.7
ˈeː	ˈɛ	0.667
v	ʋ	0.667
k	kʰ	0.667
ˈʏ	ˈœ	0.6
ŋ	ŋ	0.6
nʲ	nˀ	0.6
ə_r	ɐ	0.583
k_#>	j_#>	0.571
j	-	0.571
t	t	0.548
ˈɔː	ˈɛ	0.5
ˈɔː	ˈu	0.5
ˈɔu̯	ˈɔː	0.5
ˈɔu̯	ˈɒ	0.5
ˈœ	ˈoˀ	0.5
ˈi	ˈiˀ	0.5
p	b̥	0.5
i	i	0.5
i	e	0.5
d_#>	ð̞ˠ_#>	0.5
d_#>	#>	0.5
ˈɒ	ˈɛ	0.429
k_#>	#>	0.429
j	ɡ̊	0.429
ə_r	ʌ	0.417
ˈʏ	ˈy	0.4
ŋ	ŋˀ	0.4
nʲ	n	0.4
r	ʁ	0.39
ˈa	ˈe	0.357
t	ʦʰ	0.355
ˈuː	ˈœˀ	0.333
ˈuː	ˈøː	0.333
ˈuː	ˈo	0.333
ˈiː	ˈeˀ	0.333
ˈeː	ˈiː	0.333
k	k	0.333
r	ɐ	0.317
ˈʊ	ˈɔ	0.308
ˈʊ	ˈu	0.308
ˈœ	ˈʌ	0.3
ˈyː	ˈœˀ	0.3
ˈɒ	ˈɑ	0.286
ˈɒ	ˈa	0.286
ˈa	ˈɛ	0.286
p	pʰ	0.25
p	p	0.25
ˈʊ	-	0.231
ˈiː	ˈyː	0.222
v	-	0.222
ˈi	ˈe	0.214
ˈa	ˈa	0.214
ˈœ	ˈa	0.2
tʲ	ʦʰ	0.2
r	ɐˀ	0.195
ˈiː	ˈɛˀ	0.167
ˈiː	ˈyˀ	0.167
ˈʊ	ˈɑ	0.154
l	lˀ	0.154
ˈi	ˈʌ	0.143
ˈi	ˈiː	0.143
ˈa	ˈʌ	0.143
ʃ	kʰ	0.143
n	nˀ	0.143
h	j	0.136
#>	j_#>	0.118
ˈiː	-	0.111
v	w	0.111
d	ʦʰ	0.111
d	ð̞ˠ	0.111
t	ð̞ˠ	0.097
ə	w	0.095
n	-	0.061
