Swedish	Swedish	probability
ˈʊ	ˈu	1.0
ˈɵ_n	ˈu_n	1.0
ˈɪ	ˈi	1.0
ˈœː_r	ɐ	1.0
ˈøː_#>	ˈeː_#>	1.0
ˈæː_r	ɐ	1.0
ˈæ	ˈe	1.0
ˈuː_#>	ˈuɐ̯_#>	1.0
ˈiː	ˈai̯	1.0
ʈː	ɐ_ʦ	1.0
ʈ	d̥	1.0
ʂ	ɐ_ʃ	1.0
ɵ	-	1.0
ɳ	ɐ_n	1.0
ɡ_a	ŋ	1.0
ɡ	ɡ̊	1.0
ɛ_r	a	1.0
ɛ_l	l	1.0
ɛ_#>	#>	1.0
ɖ	-	1.0
ɕ	kʰ	1.0
ɔ	eɐ̯	1.0
ŋː	ŋ	1.0
ŋ	ŋ_ɡ̊	1.0
v_#>	b̥_#>	1.0
tʰ	ʦ	1.0
t_a	s_n	1.0
sː	s	1.0
s_t	ʃ_d̥	1.0
s_k	ʃ	1.0
s_#>	s_#>	1.0
rː	ɐ_d̥	1.0
r_#>	#>	1.0
pː_#>	f_#>	1.0
pʰ	b̥͡v̥	1.0
p	f	1.0
nː	n	1.0
mː	m	1.0
m	m	1.0
lː	j	1.0
kʰ	kʰ	1.0
k_#>	#>	1.0
jː	ˈɒː	1.0
j_ˈʉː	ˈiɐ̯	1.0
h	h	1.0
f	f	1.0
d_a	d̥_n	1.0
d	d̥	1.0
b	b̥	1.0
a_#>	#>	1.0
<#_ˈøː	<#	1.0
<#_ɡ	<#_ɡ̊	1.0
<#_tʰ	<#_d̥	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
<#_l	<#_l	1.0
<#	<#_d̥	1.0
ˈuː	ˈuɐ̯	0.778
t	s	0.727
ˈɛː	-	0.667
ɡ_#>	ɡ̊_#>	0.667
v	ʋ	0.667
a	a	0.613
ˈyː	ˈai̯	0.6
ɛ	-	0.6
n	n	0.6
ˈeː	ˈoɐ̯	0.583
k	x	0.583
ˈʏ	ˈu	0.571
l	j	0.565
ɧ	ʃ	0.556
r	r	0.548
j	-	0.545
s	s	0.536
ˈɑː	ˈɒː	0.5
kː	ŋ_ɡ̊	0.5
kː	x	0.5
ˈɛ	ˈe	0.455
ˈɔ	ˈu	0.444
ɧ	s	0.444
l	l	0.435
ˈʏ	-	0.429
#>	ɡ̊_#>	0.429
ˈʉː	ˈau̯	0.4
ˈœ	-	0.4
ˈyː	ˈiɐ̯	0.4
ˈa	ˈo	0.4
ɛ	a	0.4
s	ʃ	0.393
ˈoː	-	0.385
tː	x_d̥	0.364
tː	s	0.364
ˈɵ	ˈi	0.333
ˈɛː	ˈe	0.333
ˈɔ	ˈo	0.333
ɡː	ɡ̊_a	0.333
ɡː	ɡ̊	0.333
ɡː	-	0.333
ɡ_#>	#>	0.333
n	-	0.32
ˈøː	-	0.312
ˈʉː	ˈiɐ̯	0.3
ˈɑː	ˈɑː	0.3
#>	ŋ_#>	0.286
#>	n_#>	0.286
tː	ʦ	0.273
t	d̥	0.273
j	l	0.273
ˈøː	ˈou̯	0.25
ˈeː	-	0.25
k	ɡ̊	0.25
ˈoː	ˈɒː	0.231
ˈoː	ˈɑ	0.231
ˈɛ	ˈoɐ̯	0.227
ˈɛ	-	0.227
ˈɵ	ˈo	0.222
ˈɵ	ˈaː	0.222
ˈɵ	ʋ_ˈo	0.222
ˈɔ	-	0.222
ˈuː	ˈo	0.222
ˈʉː	-	0.2
ˈɑː	ˈɑ	0.2
ˈœ	ˈu	0.2
ˈœ	ˈo	0.2
ˈœ	ˈaː	0.2
ˈa	ˈɑ	0.2
ˈa	ˈa	0.2
r	a	0.194
ˈøː	ˈeː	0.188
j	h	0.182
ˈeː	ˈi	0.167
v	β	0.167
v	f	0.167
k	ç	0.167
r	ɐ	0.161
a	n	0.161
ˈoː	ˈoː	0.154
a	ə	0.129
ˈøː	ˈuɐ̯	0.125
ˈøː	ˈaː	0.125
ˈʉː	ˈiː	0.1
ˈa	ˈɒː	0.1
ˈa	ˈɑː	0.1
r	d̥_a	0.097
a	ŋ	0.097
ˈɛ	ˈai̯	0.091
n	d̥	0.08
s	d̥	0.071
