Westphalian	Westphalian	probability
ˈʏ	ˈɘ̟	1.0
ˈɪə̯	-	1.0
ˈɛː	ˈɑ	1.0
ˈɒː	ˈɔ_z	1.0
ˈøː	ˈi	1.0
ˈyːœ̯	ˈei̯	1.0
ˈyː	ˈɑi̯	1.0
ˈyə̯	ˈɘ̟	1.0
ˈuː	ˈɑi̯	1.0
ˈuə̯	-	1.0
ˈoː	ˈʏ	1.0
ˈiː	ˈai̯	1.0
ˈaɪ̯_#>	ˈai̯_#>	1.0
ʃ_t	ʃ_t	1.0
ʃ_k_#>	ʃ_#>	1.0
ɪ	ɪ	1.0
ɣ	-	1.0
ə_#>	#>	1.0
ŋ	ŋ	1.0
z̥	s	1.0
r	r	1.0
p_#>	f_#>	1.0
n_n	n_a	1.0
m_#>	#>	1.0
m	m	1.0
l_#>	w_#>	1.0
k_n	x_a	1.0
k_#>	ç_#>	1.0
j	j	1.0
h	h	1.0
f	f	1.0
aɪ̯	ɑ	1.0
<#_r	<#_r	1.0
<#_n	<#_n	1.0
ʃ	ʃ	0.933
b	b	0.882
ˈʊ	ˈu	0.833
v	v	0.792
ˈeː	ˈa	0.778
l	w	0.771
ˈɪ	ˈɘ̟	0.737
ʋ	v	0.714
ɡ	-	0.714
s	z	0.714
d	t	0.667
x	ɡ	0.647
ˈaɪ̯	ˈi	0.636
k	k	0.632
ɐ	ɛ_r	0.621
p	p	0.6
d̥	t	0.591
n	n	0.576
ə	-	0.571
ˈɪɛ̯	-	0.556
ˈa	ˈɑ	0.545
ˈɔː	ˈø	0.5
ˈɔ	ˈɑ	0.5
ˈuːə̯	ˈu	0.5
ˈuːə̯	-	0.5
ˈiɛ̯	ˈɛ	0.5
ˈiɛ̯	ˈi	0.5
ˈaː	ˈɔ	0.5
ˈaː	-	0.5
z	z	0.5
z	s	0.5
ˈɪɛ̯	ˈɑ	0.444
ə	a	0.429
ç	x	0.429
t	ʦ	0.429
ˈaʊ̯	ˈu	0.417
d̥	d̥	0.409
p	f	0.4
t	s	0.371
ˈɛ	ˈa	0.364
x	x	0.353
ˈɔ	-	0.333
ˈaʊ̯	ˈɑi̯	0.333
d	d	0.333
ˈa	ˈɔ	0.318
k	x	0.316
#>	ɡ̊_#>	0.316
n	a	0.288
ʋ	v_ˈɛ	0.286
ɡ	ɡ	0.286
ç	ɡ̊	0.286
ç	k	0.286
#>	t_#>	0.263
ˈɔː	ˈʏ	0.25
ˈɔː	-	0.25
ˈaʊ̯	-	0.25
ɐ	r	0.241
ˈeː	-	0.222
#>	ə_#>	0.211
v	-	0.208
t	t	0.2
ˈɛ	ˈɛ	0.182
ˈɛ	ˈɘ̟	0.182
ˈɛ	-	0.182
ˈaɪ̯	ˈɑi̯	0.182
ˈaɪ̯	ˈɑ	0.182
ˈʊ	ˈɑi̯	0.167
ˈɔ	ˈoi̯	0.167
ˈɪ	-	0.158
ɐ	-	0.138
ˈa	-	0.136
b	-	0.118
l	l	0.114
ˈɪ	ˈei̯	0.105
#>	w_#>	0.105
#>	f_#>	0.105
n	n_d	0.102
s	s	0.095
s	n_s	0.095
s	k_s	0.095
ˈɛ	ˈɪ	0.091
ʃ	ʧ	0.067
l	u	0.057
l	-	0.057
k	c	0.053
