Icelandic	Icelandic	probability
ˈɛi̯	ˈæɪ̯	1.0
ˈɔu̯	-	1.0
ˈɑːu̯	ˈoː	1.0
ˈœːy̯	ˈæʉ̯	1.0
ˈœː	-	1.0
ˈuː_a	ɡ_ɑ	1.0
ˈuː	ˈʉː	1.0
ˈu	ˈʉ	1.0
ˈou̯	-	1.0
ˈiː_r̥_#>	ˈʉː_#>	1.0
ˈiː_j_ʏ_#>	ˈiː_#>	1.0
ˈeːi̯	-	1.0
ˈaːu̯	ˈoː	1.0
ˈai̯	-	1.0
ʰt͡n̥	-	1.0
ʰc	çː	1.0
ʏ_ð	ʉ	1.0
ʏ_r̥_#>	#>	1.0
ɲ	ɲ	1.0
ɣ	ɡ	1.0
ɡ̊ː	ɡː	1.0
ɡ̊_ʏ_r̥_#>	#>	1.0
ɡ̊_a	e	1.0
ɟ̊ː	-	1.0
ɟ̊	j	1.0
ɛ	-	1.0
ð_ɪ	ɾ	1.0
x	ɡ	1.0
v_ʏ	ʋ	1.0
t͡n̥	n	1.0
tʰ	tʰ	1.0
t_ʏ	t_e	1.0
sː	sː	1.0
s_j	ʂ	1.0
s_c	ʂ	1.0
r̥_#>	#>	1.0
r̥	ɾ	1.0
r_ˈai̯	ɾ	1.0
r_a	ɾ_ɑ	1.0
r	ɾ	1.0
pʰ	pʰ	1.0
p_n̥	m_n	1.0
p	p	1.0
n̥	n	1.0
nː	nː	1.0
n_d̥	nː	1.0
n	n	1.0
l̥	l	1.0
l_j	j	1.0
l_d̥	lː	1.0
l	l	1.0
kʰ	kʰ	1.0
k	k	1.0
j_ˈɛː	ˈeː	1.0
j_ˈoːu̯	ˈyː	1.0
i	ɪ	1.0
h	h	1.0
f_#>	ʋ_#>	1.0
f	f	1.0
cʰ	ç	1.0
c	ç	1.0
b̥	b	1.0
aːu̯	e	1.0
a_#>	#>	1.0
<#_ˈɔ	<#_ˈɔ	1.0
<#_r	<#_ɾ	1.0
<#	<#_kʰ	1.0
s	s	0.962
m	m	0.92
d̥	d	0.905
t	t	0.903
ˈa	ˈɑ	0.889
ɪ	e	0.875
ˈʏ	ˈʉ	0.867
θ	tʰ	0.857
ˈaː	ˈɑː	0.846
ɡ̊	ɡ	0.833
ð_#>	#>	0.833
v	ʋ	0.812
ˈiː	ˈiː	0.8
ŋ	ŋː	0.8
ˈoːu̯	ˈuː	0.778
a	ɑ	0.778
ʰt	ʰtː	0.75
ð	-	0.733
ˈɛːi̯	ˈæɪ̯	0.7
ˈɛ	ˈɛ	0.7
ʰp	-	0.667
ʏ	e	0.667
ˈaːi̯	ˈøː	0.625
ˈʏː	ˈʉː	0.6
ˈɔː	ˈoː	0.6
ˈɑu̯	ˈɑ	0.6
ˈi	ˈɪ	0.6
t͡l̥	lː	0.556
ˈœ	ˈɑ	0.5
ˈœ	-	0.5
ˈau̯	ˈɑ	0.5
ˈau̯	-	0.5
ʰk	ʰkː	0.5
ʰk	-	0.5
ç	j	0.5
ç	h	0.5
ˈɛː	ˈeː	0.455
t͡l̥	l	0.444
ˈɔ	ˈuː	0.429
ˈʏː	-	0.4
ˈɪ	ˈʏ	0.4
ˈɪ	ˈɪ	0.4
ˈɔː	-	0.4
ˈɑu̯	ˈɔ	0.4
ˈi	ˈʏ	0.4
ˈɪː	ˈeː	0.375
ˈɪː	-	0.375
ˈaːi̯	-	0.375
j	-	0.35
ʰp	ʰpː	0.333
ʏ	ə	0.333
ˈɛːi̯	ˈœʏ̯	0.3
ˈɔ	ˈʊ	0.286
ˈɔ	-	0.286
ˈɪː	ˈiː	0.25
ˈɛ	-	0.25
ʰt	tː	0.25
ˈoːu̯	-	0.222
a	e	0.222
ˈɪ	-	0.2
ˈiː	ˈyː	0.2
ŋ	ŋ	0.2
j	j	0.2
ˈɛː	ˈɑː	0.182
ˈɛː	ˈæː	0.182
ˈɛː	-	0.182
ɡ̊	-	0.167
ð_#>	d_#>	0.167
ˈaː	-	0.154
j	ˈeː	0.15
θ	d	0.143
ˈʏ	ˈʏ	0.133
ð	ɾ	0.133
ð	d	0.133
ɪ	ə	0.125
v	-	0.125
ˈa	-	0.111
j	ˈʉː	0.1
j	ˈiː	0.1
j	j_ˈœ	0.1
t	ʰtː	0.097
d̥	-	0.095
m	-	0.08
v	v	0.062
