German	Bavarian	probability
a	a	1.0
d	d̥	1.0
eː	eɐ̯	1.0
f	f	1.0
j	j	1.0
kʰ	kʰ	1.0
p͡f	p͡f	1.0
x	x	1.0
z	s	1.0
ŋ	ŋ	1.0
ɡ̊	ɡ̊	1.0
ʁ	r	1.0
ʃ	ʃ	1.0
ʦ	ʦ	1.0
ˈœ	ˈɛ	1.0
ˈɔʏ̯	ˈai̯	1.0
b	b̥	0.821
d̥	d̥	0.971
k	-	0.051
k	k	0.721
n	-	0.051
t	t	0.521
ɐ	a	0.281
ə	ə	0.341
ˈa	ˈɔ	0.151
ˈaʊ̯	ˈau̯	0.451
ˈeː	ˈɛː	0.171
ˈiː	ˈu	0.061
ˈɔ	ˈɔ	0.161
tʰ	t	0.242
ˈaː	ˈɔ	0.092
ˈiː	ˈiː	0.202
ˈoː	ˈɔ	0.052
ˈoː	ˈɛ	0.192
ˈʊ	ˈu	0.882
l	j	0.373
p	p	0.963
ç	ç	0.43
ˈa	ˈɒ	0.153
ˈaː	ˈɒː	0.243
ˈaː	ˈoː	0.33
ˈuː	ˈu	0.083
ˈøː	ˈeː	0.303
ˈøː	ˈi	0.303
ˈɔ	ˈo	0.563
b̥	-	0.174
m	m	0.984
s	s	0.984
ɐ	r	0.114
ə	a	0.494
ɡ	ɡ̊	0.824
ˈøː	ˈe	0.394
ˈɛ	ˈɛ	0.414
ˈʏ	ˈu	0.384
v	-	0.055
v	ʋ	0.945
ç	ɡ̊	0.295
ə	-	0.165
ˈaʊ̯	ˈaː	0.485
ˈaː	ˈo	0.115
ˈeː	ˈe	0.125
ˈiː	ˈiɐ̯	0.245
ˈiː	ˈi	0.315
ˈoː	ˈoɐ̯	0.115
ˈoː	ˈoː	0.325
ˈyː	ˈiɐ̯	0.545
ˈɔ	ˈoɐ̯	0.235
ˈɛː	ˈɑː	0.105
b̥	b̥	0.826
ɐ	ɐ	0.476
ɡ	ŋ	0.176
ˈa	ˈa	0.376
ˈaɪ̯	ˈoɐ̯	0.456
ˈiː	ˈeɐ̯	0.06
ˈuː	ˈeɐ̯	0.16
ˈɛ	ˈe	0.466
ˈɛː	ˈɛː	0.706
ˈʏ	ˈʏ	0.616
h	h	0.967
l	l	0.597
t	d̥	0.477
ɪ	-	0.147
ɪ	i	0.397
ˈaɪ̯	ˈai̯	0.507
ˈaː	ˈa	0.07
ˈaː	ˈaː	0.137
ˈeː	ˈeː	0.557
ˈoː	ˈou̯	0.317
ˈuː	ˈuɐ̯	0.757
ˈyː	ˈu	0.207
k	ɡ̊	0.228
tʰ	d̥	0.758
ç	x	0.258
ɐ	-	0.118
ɪ	ɪ	0.228
ɪ	ŋ	0.228
ˈa	ˈo	0.218
ˈyː	ˈi	0.08
ˈyː	ˈeɐ̯	0.128
ˈɛ	ˈɒ	0.08
b	m	0.179
n	n	0.949
ˈa	ˈɒː	0.09
ˈeː	ˈeɐ̯	0.119
ˈiː	ˈe	0.089
ˈɛː	ˈɛ	0.189
ˈɪ	ˈi	0.909
ˈʊ	ˈuɐ̯	0.09
