Aromanian	Ligurian	probability
ˈo_k	ˈø	1.0
ˈi_r	ˈiː	1.0
ˈi_m	ˈe_ŋ	1.0
ˈa_v	ˈɔː	1.0
ˈa_t	ˈɛː	1.0
ˈa_r	ˈaː	1.0
ˈa_l	ˈaː	1.0
ʧ	s	1.0
ʤ	z	1.0
ʣ_ˈə	d	1.0
ʎ	ʤ	1.0
ɲ	m	1.0
ɡ	ɡ	1.0
ŋ	ŋ	1.0
ç	f	1.0
z	-	1.0
u	u	1.0
t_o̯ˈa	ɔː	1.0
t_i	e	1.0
t_a	ɥ	1.0
r_ə	a	1.0
r_u	u	1.0
r_n	r_n	1.0
r_i	ˈaː	1.0
p_t	t	1.0
o̯ˈa_p	ˈø	1.0
k_ʎ	ʤ	1.0
k_r	k_r	1.0
f_l	ʃ	1.0
e̯a	-	1.0
a_ʤ	a_ʤ	1.0
a	r	1.0
s	s	0.914
f	f	0.876
ˈɨ	ˈa	0.864
d	d	0.849
l	l	0.778
t	t	0.728
b	b	0.718
ə	a	0.704
p	p	0.651
i	e	0.651
m	m	0.638
w	v	0.608
ʣ	z	0.604
u_r	r	0.517
e̯ˈa	ˈe	0.515
n	ŋ	0.507
ʎ_i	ʤ_a	0.5
ʎ_i	a	0.5
ɨ	ˈa	0.5
ɨ	-	0.5
e	e	0.5
e	-	0.5
u_r	w	0.483
k	k	0.473
ˈe	ˈeː	0.435
r	-	0.435
ˈu	ˈu	0.402
w	-	0.392
j	ˈiː	0.366
j	-	0.36
ˈe	ˈe	0.352
o̯ˈa	ˈuː	0.347
ʃ	ʃ	0.342
ʃ	-	0.339
ˈa	ˈa	0.334
r	r	0.332
ʦ	ʒ	0.331
ʦ	s	0.331
ˈi	ˈi	0.329
ˈi	ˈe	0.327
n	n	0.318
e̯ˈa	-	0.318
o̯ˈa	-	0.309
m	-	0.306
ʣ	d	0.293
b	-	0.282
j	v	0.274
t	-	0.272
ʃ	s	0.27
ˈo	ˈøː	0.268
ˈa	ˈɛː	0.25
k	ɡ	0.243
ˈo	w	0.229
l	-	0.222
p	v	0.217
ˈe	ˈɛː	0.213
ˈa	ˈaː	0.212
r	j	0.194
ˈo	ˈɔː	0.185
o̯ˈa	ˈɔː	0.181
ˈi	-	0.175
e̯ˈa	ˈeː	0.167
ˈo	ˈɔ	0.166
o̯ˈa	ˈɔ	0.163
ˈu	ˈuː	0.162
ˈo	-	0.151
d	-	0.151
ˈu	-	0.145
ˈu	ˈy	0.143
ʦ	-	0.141
ə	e	0.14
ˈɨ	-	0.136
p	-	0.132
ˈi	ˈiː	0.131
k	p	0.125
i	i	0.124
f	-	0.124
i	-	0.119
ˈa	ˈeː	0.114
ʦ	k	0.114
ʣ	ʤ	0.103
ˈu	ˈyː	0.098
ˈa	-	0.091
n	-	0.089
n	ɲ	0.087
s	-	0.086
ʦ	t	0.082
k	s	0.082
i	u	0.078
ə	-	0.073
m	ŋ	0.056
k	ʤ	0.052
