Swiss German	Swiss German	probability
χː_ə	ʃ	1.0
ˈøː	ˈeː	1.0
ˈø	ˈɛ	1.0
ˈæː	-	1.0
ˈyə̯_n	ˈĩː	1.0
ˈoː_n	ˈõː	1.0
ˈoː	ˈoː	1.0
ˈiə̯	ˈiː	1.0
ˈeː	ˈeː	1.0
ˈei̯	-	1.0
ˈe	ˈɛ	1.0
ˈau̯	ˈɑː	1.0
ʦ	ʣ̥	1.0
ʒ̊	ʃ	1.0
ʋ	β	1.0
ʃː	ʃ	1.0
ɡ̊_r	ɡ̊_r	1.0
ə_r	ɐ	1.0
æ	eː	1.0
z̥	s	1.0
w	l	1.0
v̥	f	1.0
tː_ə	r	1.0
tː_r	d̥_r	1.0
sː	s	1.0
r_n	ɐ_n	1.0
pː	b̥	1.0
n_d̥	n	1.0
n	n	1.0
m	m	1.0
l_b̥	l	1.0
l	l	1.0
j	j	1.0
h	h	1.0
fː	f	1.0
d̥_r	d̥_r	1.0
b̥_ə	β	1.0
<#_r	<#_r	1.0
#>	n_d̥_#>	1.0
tː	d̥	0.941
b̥	b̥	0.926
ˈuː	ˈau̯	0.917
ˈɒ	ˈɑ	0.867
ɣ̊	kʰ	0.846
ˈiː	ˈaɪ̯	0.833
ˈi	ˈɪ	0.833
kː	ɡ̊	0.833
d̥	d̥	0.833
ˈuə̯	ˈuː	0.818
ˈo	ˈɔ	0.786
ˈæ	ˈɛ	0.727
ŋ	ŋ	0.727
ə	ə	0.719
ˈy	ˈɪ	0.7
ˈæi̯	ˈɛː	0.667
i	ɪ	0.667
ˈu	ˈu	0.632
r	ɐ	0.619
ˈɒː	ˈɑː	0.583
χː	x	0.5
ˈɒː_#>	ˈɑ_n_#>	0.5
ˈɒː_#>	#>	0.5
ˈøi̯	ˈɛː	0.5
ˈøi̯	-	0.5
ˈyə̯	ˈiː	0.5
ˈyə̯	-	0.5
p͡f	b̥	0.5
ɡ̊	ɡ̊	0.394
ˈɒː	ˈoː	0.333
ˈæi̯	-	0.333
ˈyː	ˈiː	0.333
ˈyː	ˈaɪ̯	0.333
p͡f	f	0.333
i	-	0.333
χː	ʃ	0.318
r	r	0.31
ɡ̊	ʃ	0.303
ˈy	-	0.3
ŋ	n_d̥	0.273
ˈu	ˈɔ	0.263
ə	-	0.263
ˈo	ˈoː	0.214
χː	ɡ̊	0.182
ˈæ	ˈɛː	0.182
ˈuə̯	ˈu	0.182
ˈiː	-	0.167
ˈi	-	0.167
p͡f	pʰ	0.167
kː	-	0.167
d̥	r	0.167
ɣ̊	ɡ̊	0.154
ˈɒ	ˈɑː	0.133
ˈyː	ˈɪ	0.133
ˈyː	-	0.133
ɡ̊	-	0.121
ˈu	ˈɪ	0.105
ˈæ	-	0.091
ɡ̊	x	0.091
ɡ̊	j	0.091
ˈɒː	ˈo	0.083
ˈuː	ˈau̯̯	0.083
b̥	β	0.074
r	ˈɛ_ɐ	0.071
ˈyː	ˈi	0.067
tː	r	0.059
