Northern Low Saxon	Northern Low Saxon	probability
ˈɛː	ˈɪ	1.0
ˈɛɪ̯	-	1.0
ˈɛ_l	ˈɛ_ɾ	1.0
ˈɛ	-	1.0
ˈɔː	ˈʏ_r	1.0
ˈœː	-	1.0
ˈø	-	1.0
ˈuː_d	ɾ	1.0
ˈeɪ̯	ˈeː	1.0
ˈaʊ̯_d	ˈœ_ɾ	1.0
ʒ	j	1.0
ɪ	ɪ	1.0
ə	-	1.0
ɐ_#>	#>	1.0
ŋ	ŋ	1.0
z̥_#>	s_#>	1.0
x	x	1.0
v̥	f	1.0
tʰ	tʰ	1.0
s	s	1.0
pʰ	pʰ	1.0
p	p	1.0
n_n	nʲ	1.0
l_ˈaɪ̯	l	1.0
l	l	1.0
kʰ	kʰ	1.0
i	ɪ_ç	1.0
h	h	1.0
f	f	1.0
d_n	t	1.0
b_m	p	1.0
b_#>	p_#>	1.0
b	b	1.0
aɪ̯	aɪ̯	1.0
<#_ˈa	<#_ˈɔː	1.0
z	s	0.944
m	m	0.929
r	r	0.92
ɐ	ɐ	0.861
t	t	0.818
ˈɔʏ̯	-	0.778
v	v	0.759
ˈuː	ˈʏ	0.75
l_d	l	0.75
n	n	0.672
ˈøː	-	0.667
n_d	n	0.667
ˈiː	ˈɪ	0.625
ç	ç	0.615
ˈa	ˈa	0.6
ʃ	s_k	0.545
ˈœ	ˈɛ	0.5
ˈœ	-	0.5
ˈyː	ˈʏ	0.5
ˈyː	ˈyː	0.5
ˈaː	ˈɔa̯_l	0.5
ˈaː	ˈaː_r	0.5
ˈʊ	ˈʊ	0.462
ˈʏ	ˈɛ	0.455
ʃ	s	0.455
ˈaɪ̯	ˈiː	0.444
ˈɪ	ˈɪ	0.44
ˈoː	ˈɔː	0.429
ɡ	ɡ	0.4
ɡ	k	0.4
ˈaɪ̯	-	0.389
ˈɔ	ˈɔ	0.375
ˈɔ	-	0.375
d	t	0.354
ˈøː	ˈøː	0.333
n_d	nʲ	0.333
d	d	0.323
ˈɪ	ˈɛ	0.32
ˈeː	ˈiː	0.3
ˈeː	ˈeː	0.3
ˈaʊ̯	ˈɔa̯	0.276
ˈʏ	ˈœ	0.273
ˈʏ	-	0.273
ˈɔ	ˈɔː	0.25
ˈuː	ˈyː	0.25
ˈiː	ˈiː	0.25
l_d	lʲ	0.25
ˈaʊ̯	ˈoː	0.241
ˈoː	-	0.238
ˈʊ	ˈɔ	0.231
ç	-	0.231
ˈɔʏ̯	ˈeː	0.222
ˈaʊ̯	ˈuː	0.207
ˈeː	ˈɛ	0.2
ˈeː	-	0.2
d	ɾ	0.2
t	-	0.182
v	-	0.172
ˈaɪ̯	ˈeː	0.167
ˈɪ	ˈʊ	0.16
n	-	0.156
ˈʊ	ˈœ	0.154
ˈʊ	-	0.154
ç	ŋ	0.154
ˈoː	ˈeː	0.143
ɡ	ç	0.133
ˈiː	ˈʏ	0.125
d	tʰ	0.108
ˈaʊ̯	ˈɔ	0.103
ˈaʊ̯	-	0.103
ˈa	ˈʏ	0.1
ˈa	ˈʊ	0.1
ˈa	ˈœ	0.1
ˈa	ˈeː	0.1
ˈoː	ˈuː	0.095
ˈoː	ˈiː	0.095
ɐ	ɐ_x	0.083
ˈɪ	-	0.08
r	-	0.08
n	ə	0.078
m	ə_f	0.071
ˈaʊ̯	ˈʊ	0.069
v	v_ˈʊ	0.069
ɡ	-	0.067
ɐ	-	0.056
z	z	0.056
