German	Swabian	probability
a	a	1.0
b	b	0.951
d	d	1.0
eː	eə̯	1.0
f	f	1.0
h	h	0.966
j	j	1.0
k	ɡ	0.975
kʰ	kʰ	0.982
l	l	1.0
m	m	0.957
n	n	0.632
n	-	0.179
n	a	0.166
p	b	0.85
p	b̥	0.119
p͡f	b̥͡f	0.445
p͡f	p͡f	0.374
p͡f	b	0.181
s	s	0.889
s	ʃ	0.111
t	d	0.904
t	t	0.051
tʰ	d	1.0
v	ʋ	0.942
v	m	0.058
x	x	1.0
z	s	1.0
ç	ɡ	0.521
ç	ç	0.411
ç	x	0.068
ŋ	ŋ	1.0
ɐ	-	0.576
ɐ	ʌ	0.395
ə	a	0.627
ə	e	0.273
ə	ə	0.065
ɡ	ɡ	1.0
ɪ	ɪ	0.593
ɪ	i	0.296
ɪ	-	0.111
ʁ	ʁ	0.994
ʃ	ʃ	1.0
ʦ	ʦ	1.0
ˈa	ˈa	0.819
ˈa	ˈaː	0.085
ˈa	ˈɔː	0.051
ˈaɪ̯	ˈɔe̯	0.505
ˈaɪ̯	ˈəi̯	0.363
ˈaɪ̯	ˈae̯	0.132
ˈaʊ̯	ˈao̯	0.838
ˈaʊ̯	ˈoː	0.108
ˈaː	ˈaː	0.456
ˈaː	ˈɔː	0.432
ˈaː	ˈa	0.065
ˈeː	ˈɛː	0.31
ˈeː	ˈeː	0.267
ˈeː	ˈeə̯	0.21
ˈeː	ˈɛ	0.086
ˈeː	ˈa	0.077
ˈiː	ˈiə̯	0.433
ˈiː	ˈiː	0.353
ˈiː	ˈi	0.214
ˈoː	ˈoː	0.84
ˈoː	ˈo	0.109
ˈoː	ˈao̯	0.051
ˈuː	ˈuə̯	0.715
ˈuː	ˈɔə̯	0.2
ˈuː	ˈuː	0.085
ˈyː	ˈiə̯	0.436
ˈyː	ˈeə̯	0.222
ˈyː	ˈi	0.211
ˈyː	ˈiː	0.13
ˈøː	ˈeː	1.0
ˈœ	ˈe	1.0
ˈɔ	ˈo	0.499
ˈɔ	ˈɔ	0.47
ˈɔʏ̯	ˈae̯	0.649
ˈɔʏ̯	ˈəi̯	0.351
ˈɛ	ˈɛ	0.854
ˈɛ	ˈe	0.094
ˈɛː	ˈɛː	1.0
ˈɪ	ˈi	0.296
ˈɪ	ˈe	0.264
ˈɪ	ˈɪ	0.217
ˈɪ	ˈeː	0.093
ˈɪ	ˈɛ	0.093
ˈʊ	ˈo	0.837
ˈʊ	ˈao̯	0.089
ˈʊ	ˈu	0.074
ˈʏ	ˈu	0.405
ˈʏ	ˈɛ	0.271
ˈʏ	ˈɪ	0.267
ˈʏ	ˈɔ	0.057
